Player,Pos,Tm,Total,avg,gtd,gtd_avg,gtd_pct,OTC_IDs
Denzel Ward,CB,Browns,"$29,165,356","$7,291,339","$29,165,356","$7,291,339",100.00%,denzel-ward/6889/
Mitchell Trubisky,QB,Bears,"$29,032,436","$7,258,109","$29,032,436","$7,258,109",100.00%,mitchell-trubisky/5586/
Cole Beasley,WR,Bills,"$29,000,000","$7,250,000","$10,700,000","$2,675,000",36.90%,cole-beasley/613/
Teddy Bridgewater,QB,Saints,"$7,250,000","$7,250,000","$7,250,000","$7,250,000",100.00%,teddy-bridgewater/2971/
Brian Winters,RG,Jets,"$29,000,000","$7,250,000","$15,000,000","$3,750,000",51.70%,brian-winters/2310/
Matt Ioannidis,34DE,Redskins,"$21,750,000","$7,250,000","$11,225,000","$3,741,667",51.60%,matt-ioannidis/4865/
Kiko Alonso,43OLB,Dolphins,"$28,910,000","$7,227,500","$16,000,000","$4,000,000",55.30%,kiko-alonso/2256/
Solomon Thomas,43DE,49ers,"$28,154,382","$7,038,596","$28,154,382","$7,038,596",100.00%,solomon-thomas/5587/
Danny Trevathan,ILB,Bears,"$28,000,000","$7,000,000","$13,500,000","$3,375,000",48.20%,danny-trevathan/13/
DaQuan Jones,34DE,Titans,"$21,000,000","$7,000,000","$14,000,000","$4,666,667",66.70%,daquan-jones/3051/
Ryan Tannehill,QB,Titans,"$7,000,000","$7,000,000","$6,750,000","$6,750,000",96.40%,ryan-tannehill/717/
Terrell Suggs,34OLB,Cardinals,"$7,000,000","$7,000,000","$700,000","$700,000",10.00%,terrell-suggs/1402/
Bryce Callahan,CB,Broncos,"$21,000,000","$7,000,000","$10,000,000","$3,333,333",47.60%,bryce-callahan/4211/
K.J. Wright,43OLB,Seahawks,"$14,000,000","$7,000,000","$6,500,000","$3,250,000",46.40%,k-j-wright/1552/
Zach Fulton,LG,Texans,"$28,000,000","$7,000,000","$13,000,000","$3,250,000",46.40%,zach-fulton/3132/
Billy Turner,LG,Packers,"$28,000,000","$7,000,000","$9,000,000","$2,250,000",32.10%,billy-turner/3006/
Patrick Chung,S,Patriots,"$7,000,000","$7,000,000","$4,000,000","$4,000,000",57.10%,patrick-chung/1237/
Jared Goff,QB,Rams,"$27,937,672","$6,984,418","$27,937,672","$6,984,418",100.00%,jared-goff/4714/
Bradley Chubb,34OLB,Broncos,"$27,271,240","$6,817,810","$27,271,240","$6,817,810",100.00%,bradley-chubb/6890/
Robert Woods,WR,Rams,"$34,000,000","$6,800,000","$10,000,000","$2,000,000",29.40%,robert-woods/2428/
Cameron Brate,TE,Buccaneers,"$40,800,000","$6,800,000","$7,000,000","$1,166,667",17.20%,cameron-brate/3770/
Leonard Fournette,RB,Jaguars,"$27,150,882","$6,786,894","$27,150,882","$6,787,721",100.00%,leonard-fournette/5588/
Dean Lowry,34DE,Packers,"$20,325,000","$6,775,000","$6,000,000","$2,000,000",29.50%,dean-lowry/4850/
Bryan Bulaga,RT,Packers,"$33,750,000","$6,750,000","$8,000,000","$1,600,000",23.70%,bryan-bulaga/1092/
Bobby McCain,S,Dolphins,"$27,000,000","$6,750,000","$9,982,000","$2,495,500",37.00%,bobby-mccain/3993/
