"Player","Team","Pos","doBest","doECR","doSD","doWorst","dpBest","dpECR","dpSD","dpWorst","roBest","roECR","rookBest","rookECR","rookSD","rookWorst","roSD","roWorst","rpBest","rpECR","rpSD","rpWorst","woBest","woECR","woSD","woWorst","wpBest","wpECR","wpSD","wpWorst","ScrapeDate"
"Joey Bosa","LAC","DL",,,,,,,,,2,7.4,,,,,2.8,187,1,2.9,0.8,13,5,16.6,6.6,120,1,4.1,1,10,2019-09-05
"JJ Watt","HOU","DL",,,,,,,,,1,8.7,,,,,3.5,112,1,3.1,1.5,8,6,16.2,1.7,45,2,4.3,1.4,8,2019-09-05
"Julio Jones","ATL","WR",9,15.8,2.2,25,5,8.1,1.4,13,4,9,,,,,2.8,18,1,3.7,1.5,8,4,15.1,3.1,45,1,6.4,1.8,25,2019-09-05
"Leighton Vander Esch","DAL","LB",,,,,,,,,2,9.6,,,,,11.4,79,1,4.9,2.2,39,1,2.4,1,17,1,3,2.1,9,2019-09-05
"David Johnson","ARI","RB",6,15.8,5.2,34,5,8.1,2.4,15,1,9.7,,,,,4.1,37,1,5.6,1.5,17,5,10.3,4.6,29,4,6.4,2,13,2019-09-05
"Travis Kelce","KCC","TE",8,20.6,4.2,31,1,1.1,0.3,3,7,9.9,,,,,2.5,25,1,1,0.1,2,13,19.9,6,55,1,1.3,0.6,5,2019-09-05
"Danielle Hunter","MIN","DL",,,,,,,,,6,9.9,,,,,1.9,151,3,4.2,0.6,6,7,12.6,3.4,43,2,3,1.1,7,2019-09-05
"Michael Thomas","NOS","WR",3,8.3,1.4,12,2,3.8,0.9,6,4,10.4,,,,,2.9,19,1,4.3,1.4,9,4,5.4,2.2,10,1,1.7,1.1,4,2019-09-05
"Odell Beckham","CLE","WR",1,5.8,2.7,13,1,3.1,1.4,7,4,11.1,,,,,3.7,27,1,4.9,1.8,12,4,9.7,4.1,23,1,4,1.8,10,2019-09-05
"Myles Garrett","CLE","DL",,,,,,,,,2,12,,,,,9.6,194,1,4,2.2,15,5,20,8.1,132,1,4.1,2,12,2019-09-05
"JuJu Smith-Schuster","PIT","WR",2,7.4,2.3,18,1,3.2,1.5,9,4,12,,,,,4.2,26,1,5.1,1.9,11,4,12.9,3.3,20,2,5.4,1.6,26,2019-09-05
"CJ Mosley","NYJ","LB",,,,,,,,,3,13.2,,,,,3.1,20,2,7.8,1.8,15,10,14.6,3.8,20,6,9.1,1.9,18,2019-09-05
"Jamal Adams","NYJ","DB",,,,,,,,,8,13.2,,,,,3.9,27,1,1.3,0.8,7,10,12.2,1.6,29,1,1.4,0.5,2,2019-09-05
"James Conner","PIT","RB",7,21.4,6.4,47,6,10.9,3.2,22,3,13.2,,,,,4.1,41,3,7,1.8,20,3,14.7,6.5,34,3,8.3,2.1,21,2019-09-05
"Roquan Smith","CHI","LB",,,,,,,,,2,13.5,,,,,4.3,48,2,8.2,2,12,9,15,4.6,27,8,10,1.8,15,2019-09-05
"Landon Collins","WAS","DB",,,,,,,,,10,14.1,,,,,1.5,17,1,2.2,0.4,4,10,14.2,1.7,32,1,1.9,0.6,3,2019-09-05
"Blake Martinez","GBP","LB",,,,,,,,,7,14.3,,,,,4.1,41,3,7.6,1.3,16,8,12.6,2.8,19,6,8,1.4,19,2019-09-05
"LeVeon Bell","NYJ","RB",15,23.6,5.5,46,9,12.1,2.1,20,2,14.6,,,,,4,40,2,7.7,2,19,1,18.6,7.7,42,1,9.4,2.2,15,2019-09-05
"Tyreek Hill","KCC","WR",4,18.3,8,47,1,7.8,2,19,6,16.1,,,,,5.1,93,2,7.3,2.1,16,7,20,3.7,47,3,9.8,2.5,27,2019-09-05
"Nick Chubb","CLE","RB",5,13.5,3.4,24,4,6.8,1.6,11,3,16.5,,,,,4.8,51,3,8.5,2.2,24,3,12.4,7.1,42,3,7.1,2.1,15,2019-09-05
"Dalvin Cook","MIN","RB",9,16.4,2.9,21,5,8.9,1.7,15,8,16.6,,,,,5,40,5,8.7,2.2,19,1,7.9,4.9,29,1,5.2,2.1,14,2019-09-05
"Mike Evans","TBB","WR",8,11.9,2.6,26,4,6.3,1.1,9,10,18.4,,,,,3.5,31,4,8.4,1.6,16,6,13.8,3.7,30,2,5.7,1.9,16,2019-09-05
"Calais Campbell","JAC","DL",,,,,,,,,10,19.1,,,,,3,90,1,6.2,0.6,11,16,31,6.7,97,6,7.9,1,11,2019-09-05
"Tremaine Edmunds","BUF","LB",,,,,,,,,8,19.2,,,,,12.1,57,5,9.4,2.8,26,6,8.6,2.2,23,5,6.6,0.9,12,2019-09-05
"Joe Mixon","CIN","RB",8,12.2,3.1,24,5,6.4,1.6,11,8,19.9,,,,,5.4,39,5,10.2,2.2,18,11,37.1,7.6,69,7,14.2,2,22,2019-09-05
"Keenan Allen","LAC","WR",11,21.5,5.9,35,5,10.2,2.4,20,11,20.4,,,,,4.1,32,5,9,2,16,10,19.3,3.1,35,4,9.1,2.2,20,2019-09-05
"Todd Gurley","LAR","RB",5,17.8,9.3,45,2,8.5,3,18,2,21.7,,,,,7.4,41,4,11,3.1,20,5,27,10.2,59,4,11.6,2.7,20,2019-09-05
"Cameron Jordan","NOS","DL",,,,,,,,,2,21.9,,,,,7.6,176,2,7,1.5,10,8,22.4,7.2,64,3,5.6,1.3,8,2019-09-05
"Cory Littleton","LAR","LB",,,,,,,,,3,22.8,,,,,18.5,81,3,10.7,3.4,40,3,6.8,1.9,15,3,6.7,1.9,12,2019-09-05
"Keanu Neal","ATL","DB",,,,,,,,,14,23.2,,,,,3.6,73,1,4.2,2.1,40,19,21.4,1.5,35,2,3.1,0.3,5,2019-09-05
"Lavonte David","TBB","LB",,,,,,,,,10,24.1,,,,,11,452,6,12.5,4,111,17,22.4,3.4,45,7,14.4,3,27,2019-09-05
"Adam Thielen","MIN","WR",22,31.4,5.5,71,11,15,2.6,23,15,25.3,,,,,5.1,49,7,11.4,2.3,22,10,20.1,3.6,37,4,9.7,2.4,22,2019-09-05
"Demarcus Lawrence","DAL","DL",,,,,,,,,18,25.8,,,,,4.8,450,6,8.2,1.3,118,6,29.8,11.2,68,2,6,1.3,12,2019-09-05
"Stefon Diggs","MIN","WR",14,21.6,3.7,29,7,10.9,1.6,14,17,26.7,,,,,5.1,45,7,12.1,2.3,20,13,23.2,4,38,5,12.1,2.4,22,2019-09-05
"George Kittle","SFO","TE",14,26.4,4,41,1,2,0.5,3,9,27.5,,,,,6.4,52,1,2.4,0.6,5,17,28.3,8.3,77,1,2.1,0.9,9,2019-09-05
"Kerryon Johnson","DET","RB",21,28.8,4.5,42,11,13,1.7,18,15,27.8,,,,,7,55,8,13.5,2.6,24,5,29.5,8.5,69,4,12.1,2.3,22,2019-09-05
"Jaylon Smith","DAL","LB",,,,,,,,,17,28.1,,,,,16.7,83,10,14.9,3.8,41,14,19.8,3.4,40,11,13.4,1.7,24,2019-09-05
"Kwon Alexander","SFO","LB",,,,,,,,,5,28.3,,,,,8.4,52,3,15.2,3.2,29,13,20.6,5.2,44,9,13,2.3,26,2019-09-05
"John Johnson","LAR","DB",,,,,,,,,11,28.7,,,,,6.1,44,1,5.5,4.3,31,27,30.6,1.9,44,1,4.3,0.5,8,2019-09-05
"Amari Cooper","DAL","WR",12,21.1,4.9,36,7,9.6,1.7,22,17,29.3,,,,,6.7,54,7,13.4,3,24,15,25.5,4.8,49,6,13.6,3,25,2019-09-05
"Leonard Fournette","JAC","RB",15,35.6,8.9,65,7,15.5,3,32,8,29.6,,,,,7.6,57,5,14.2,3.1,25,3,19.4,8.8,43,3,9.4,2.5,16,2019-09-05
"Myles Jack","JAC","LB",,,,,,,,,12,29.9,,,,,8.3,56,8,15.4,3.8,28,26,32.8,2.9,41,15,19.7,3.1,31,2019-09-05
"Aaron Jones","GBP","RB",21,35.8,8,57,11,16.4,3.9,33,14,31.1,,,,,7.4,54,8,14.9,3,24,29,54.3,10.2,86,12,19.1,2.9,30,2019-09-05
"Christian Kirksey","CLE","LB",,,,,,,,,17,32.3,,,,,11.3,64,9,18,4.4,32,23,35.2,7.7,50,17,21.1,3.6,28,2019-09-05
"Zach Ertz","PHI","TE",22,37,8.8,70,2,3.1,0.6,5,20,32.4,,,,,6.6,61,2,2.9,0.6,5,16,37.2,7.4,57,1,2.9,0.7,5,2019-09-05
"Joe Schobert","CLE","LB",,,,,,,,,12,32.5,,,,,13,69,11,18.5,4.9,31,12,24.8,3.7,35,12,16.9,2.5,24,2019-09-05
"Devonta Freeman","ATL","RB",31,52.6,13.8,92,13,21.9,4.2,34,13,33.1,,,,,8.1,64,6,15.6,3.3,28,22,58.4,10.8,84,10,20.1,3.1,31,2019-09-05
"Brandin Cooks","LAR","WR",18,28.7,5.9,43,10,13.7,2.2,20,20,33.1,,,,,6.6,64,9,15.3,2.7,29,19,30.9,3.8,48,9,17,2.7,28,2019-09-05
"Julian Edelman","NEP","WR",54,97.5,24.7,166,26,44.9,11.3,68,18,33.5,,,,,8.7,63,8,15,3.6,29,13,24.8,3.7,56,5,12.9,2.4,33,2019-09-05
"Robert Woods","LAR","WR",31,41.9,7.5,131,14,21.7,4.8,42,18,35.1,,,,,7.2,58,8,15.9,2.8,26,19,31.5,3.4,41,9,17.7,2.5,30,2019-09-05
"Zach Cunningham","HOU","LB",,,,,,,,,23,35.2,,,,,7.9,51,12,19.9,3.6,34,25,30.2,4.7,41,14,19.6,3.3,33,2019-09-05
"DeForest Buckner","SFO","DL",,,,,,,,,19,35.2,,,,,9.2,224,7,11.8,3.2,28,28,41.2,4.7,119,7,9.6,0.5,16,2019-09-05
"Antonio Brown","OAK","WR",14,26.1,5.8,40,8,13,2.8,21,11,35.5,,,,,22.5,115,5,15.6,9,48,15,41,42.5,231,6,21.9,22.6,120,2019-09-05
"Chris Godwin","TBB","WR",26,39.8,8.3,79,10,18,3.5,32,17,37.2,,,,,9.2,79,7,16.6,3.6,32,4,28.5,4.7,41,1,15.2,3,23,2019-09-05
"Chris Carson","SEA","RB",29,69,20.4,111,13,27.7,6.7,40,20,37.7,,,,,9.7,68,10,17.5,4,30,2,18.1,10.9,58,2,9,3.1,19,2019-09-05
"Budda Baker","ARI","DB",,,,,,,,,27,38.4,,,,,6.8,55,4,8.2,3.1,22,21,37.4,5,44,3,8.4,5.8,23,2019-09-05
"Patrick Mahomes","KCC","QB",6,29.9,5.5,47,1,1,0,1,19,38.9,,,,,8.5,69,1,1.2,0.4,4,,,,,1,2.7,1.9,10,2019-09-05
"Demario Davis","NOS","LB",,,,,,,,,31,39.4,,,,,7.3,57,15,22.1,2.7,45,16,31.4,4.5,39,15,19.7,2.5,30,2019-09-05
"Khalil Mack","CHI","LB",,,,,,,,,18,39.9,,,,,9.3,168,8,22.2,7.4,58,23,28.4,3.3,56,13,21,4.3,41,2019-09-05
"Devin White","TBB","LB",,,,,,,,,20,40.3,,,,,41.4,175,12,16.6,7.4,61,9,19.8,4.6,34,9,13.1,1.8,19,2019-09-05
"Josh Jacobs","OAK","RB",22,36.1,7,53,10,16.1,3.4,27,21,40.4,1,1.4,0.6,4,17,201,11,18,3.5,30,11,65.1,14.3,91,7,22.1,4.4,32,2019-09-05
"Shawn Williams","CIN","DB",,,,,,,,,28,42.1,,,,,6.5,51,5,10.8,7.8,53,41,46.8,3.7,53,5,8.6,1,11,2019-09-05
"Harrison Smith","MIN","DB",,,,,,,,,9,42.6,,,,,9.9,63,2,8.5,2.7,32,34,47.6,7.6,55,5,9.1,2.3,22,2019-09-05
"Kenny Golladay","DET","WR",18,32.1,6.9,45,10,15.7,2.7,23,24,42.9,,,,,9.2,94,11,19.1,3.7,39,18,30.9,4.3,66,8,16.8,2.8,38,2019-09-05
"Jordan Hicks","ARI","LB",,,,,,,,,9,43,,,,,11.3,73,9,23.8,6.1,44,15,26.8,4,36,15,18,1.9,22,2019-09-05
"Damien Williams","KCC","RB",42,66.5,13.7,102,18,26.3,5.3,41,20,44.1,,,,,15,103,10,20.4,5.7,36,22,50,14.1,102,10,18.3,4.2,34,2019-09-05
"Tyler Lockett","SEA","WR",26,61.9,15.2,118,13,28.2,6,52,22,44.2,,,,,12,88,10,19.5,4.7,36,16,29.9,4.4,47,7,16.2,3,27,2019-09-05
"Jordan Poyer","BUF","DB",,,,,,,,,29,45.3,,,,,9.2,58,4,11.3,5.2,23,29,34.4,3.4,44,4,6.6,2.1,16,2019-09-05
"TY Hilton","IND","WR",24,41.8,9.5,79,13,20.5,4,35,10,45.4,,,,,13.9,117,4,20.4,5.4,43,20,42.5,7.7,66,10,24.2,4.2,38,2019-09-05
"Earl Thomas","BAL","DB",,,,,,,,,21,45.6,,,,,23.8,75,4,27,11.9,51,,,,,30,41,4.3,50,2019-09-05
"Marlon Mack","IND","RB",26,49.6,9.4,70,12,21,3.7,32,21,45.6,,,,,12.8,100,11,21,4.8,36,42,74.6,8.9,90,15,25.8,3.3,33,2019-09-05
"Reshad Jones","MIA","DB",,,,,,,,,13,45.8,,,,,10.7,65,2,10.6,4.4,36,39,57,7,181,7,17,8.3,82,2019-09-05
"Alec Ogletree","NYG","LB",,,,,,,,,10,46.1,,,,,11.2,63,6,23.3,4.9,31,37,41.2,2.7,67,22,26.9,2.7,37,2019-09-05
"Jayon Brown","TEN","LB",,,,,,,,,33,46.7,,,,,9.8,71,20,26,3.3,33,35,43.6,5.9,57,20,24.7,1.9,39,2019-09-05
"Eric Weddle","LAR","DB",,,,,,,,,19,47,,,,,28,75,6,40.3,4.6,46,,,,,31,45.4,2.7,74,2019-09-05
"Anthony Hitchens","KCC","LB",,,,,,,,,33,47.5,,,,,10.2,75,18,26.2,4.5,36,36,48.8,6.4,63,19,27.3,3.7,38,2019-09-05
"David Montgomery","CHI","RB",23,45.7,12.8,102,12,19.6,5.2,34,15,47.6,1,2.5,0.5,7,21.1,230,8,20.9,5.2,36,12,57.4,14.4,103,8,19.9,4.4,35,2019-09-05
"Eric Reid","CAR","DB",,,,,,,,,23,47.8,,,,,14.6,60,8,32.1,13.7,57,,,,,8,41.6,1.9,48,2019-09-05
"Derrick Henry","TEN","RB",38,54.1,7.1,96,12,21.8,3,31,21,47.8,,,,,9,79,9,22,3.4,35,50,72.5,7.2,105,18,24.8,3.2,37,2019-09-05
"Trey Flowers","DET","DL",,,,,,,,,25,48.1,,,,,12.4,240,8,14.8,4.8,36,24,56.4,6.5,149,8,13.7,2.2,20,2019-09-05
"Mark Ingram","BAL","RB",57,81.4,12.6,122,24,31.9,3.8,41,20,48.3,,,,,11,95,10,21.9,4.3,40,9,44.2,11.7,84,6,15.9,3.2,29,2019-09-05
"Justin Reid","HOU","DB",,,,,,,,,32,48.7,,,,,5.4,58,5,17.2,13.4,52,38,50,4,58,6,11,2.6,16,2019-09-05
"Danny Trevathan","CHI","LB",,,,,,,,,30,48.8,,,,,12.8,69,18,26.8,4.8,35,28,47.6,12.6,61,23,30.9,3.6,43,2019-09-05
"Sony Michel","NEP","RB",20,45.2,7.1,82,11,18.1,2.5,31,23,49.7,,,,,9.8,75,13,22.7,3.6,32,29,62.8,10.7,91,12,21.5,3.3,32,2019-09-05
"Nick Vigil","CIN","LB",,,,,,,,,28,49.8,,,,,11.8,73,17,32.4,10.6,61,27,38,6.6,76,16,26.3,6.1,43,2019-09-05
"Cooper Kupp","LAR","WR",28,42.8,6.3,126,13,21.1,3.6,37,27,49.8,,,,,10.8,95,12,22.1,4.2,39,26,37.8,5.4,58,14,21.7,3,31,2019-09-05
"Tyler Boyd","CIN","WR",34,57.5,12.7,129,20,27.9,5.1,47,24,50.1,,,,,10.2,109,11,22.2,4,44,23,36.4,6.9,68,12,20.4,4.2,40,2019-09-05
"Lamarcus Joyner","OAK","DB",,,,,,,,,36,52,,,,,16,68,14,55.8,17.6,76,,,,,57,77,20,97,2019-09-05
"OJ Howard","TBB","TE",21,52.1,10.2,70,2,4.2,0.8,6,25,52.9,,,,,9.5,92,2,4.9,1,9,17,51.7,6.8,90,1,4.7,1.1,10,2019-09-05
"Evan Engram","NYG","TE",27,58.6,8.2,81,4,4.9,0.7,11,22,53.1,,,,,11.1,116,2,4.8,1.1,11,27,54.4,4.9,77,2,5.3,1.1,9,2019-09-05
"Antoine Bethea","NYG","DB",,,,,,,,,14,53.1,,,,,12.7,76,3,12.8,4.6,31,25,43,7.5,67,5,9.1,3,21,2019-09-05
"James White","NEP","RB",69,92.7,15.2,137,23,33.8,4.8,50,23,53.8,,,,,12.2,91,12,24,4.9,39,24,66.1,13.2,93,11,23.3,4.2,34,2019-09-05
"Bradley McDougald","SEA","DB",,,,,,,,,29,54.9,,,,,7.7,70,5,15.7,5,56,45,55.8,6.1,63,7,12,2.2,25,2019-09-05
"Tyrann Mathieu","KCC","DB",,,,,,,,,13,55.2,,,,,7.5,65,4,15.9,4.3,29,52,64,8.6,80,10,14.1,2,24,2019-09-05
"Hasean Clinton-Dix","CHI","DB",,,,,,,,,38,55.3,,,,,8.4,67,7,15.5,4.9,27,61,76.4,6,111,13,17.7,2.2,46,2019-09-05
"Jerome Baker","MIA","LB",,,,,,,,,34,55.3,,,,,17.8,86,20,30.2,9.8,49,20,48.6,7.6,114,11,24.7,6.2,60,2019-09-05
"Eric Kendricks","MIN","LB",,,,,,,,,18,55.3,,,,,20.2,100,11,27.3,5.2,45,20,54.8,8.4,76,20,30.7,3.9,43,2019-09-05
"Frank Clark","KCC","DL",,,,,,,,,17,55.7,,,,,52.8,216,9,12,4.3,29,14,42.4,2.4,104,6,9.4,1.2,11,2019-09-05
"Raekwon McMillan","MIA","LB",,,,,,,,,34,56,,,,,22,78,22,47.8,8.9,68,,,,,44,52.3,5.8,59,2019-09-05
"Carlos Dunlap","CIN","DL",,,,,,,,,33,56.8,,,,,13.4,201,11,16,3.3,25,68,78,3.8,173,13,19.6,1,22,2019-09-05
"Deshaun Watson","HOU","QB",30,47.8,7.2,63,2,2.3,0.5,4,36,57.2,,,,,9.4,267,1,2.2,0.7,7,,,,,1,1.6,1.2,7,2019-09-05
"Calvin Ridley","ATL","WR",29,45.2,10.1,80,15,19.7,3.7,28,28,57.3,,,,,10.9,93,13,25,4.1,41,39,51.7,6.6,82,18,29.4,3.5,44,2019-09-05
"DJ Moore","CAR","WR",16,33.9,8.3,77,9,16.5,3.9,30,27,57.5,,,,,13.6,134,12,25.2,4.8,55,33,45.4,5.6,69,19,25.9,3.3,43,2019-09-05
"Allen Robinson","CHI","WR",34,56.1,10.8,96,18,26.5,4,45,31,58.4,,,,,13.4,101,15,25.5,5,42,26,40.7,7.6,92,15,23.2,3.6,40,2019-09-05
"Malcolm Jenkins","PHI","DB",,,,,,,,,40,58.9,,,,,11.2,84,8,15.5,3.9,51,38,49.4,6.1,63,6,11.6,2.4,17,2019-09-05
"Jessie Bates","CIN","DB",,,,,,,,,35,59.1,,,,,8,75,9,18,6.8,54,57,69.8,4.2,82,12,17.3,2.3,23,2019-09-05
"Phillip Lindsay","DEN","RB",32,62.9,11.8,93,15,24,3.6,33,33,59.2,,,,,12.4,104,16,26.3,4.1,39,37,66.2,12,193,9,22.6,3.9,63,2019-09-05
"Alshon Jeffery","PHI","WR",44,76.6,12.2,119,18,36.1,6.9,56,39,59.3,,,,,11.1,97,17,26,4.3,41,31,42.1,6.1,80,17,24.2,3.3,37,2019-09-05
"Kevin Byard","TEN","DB",,,,,,,,,20,60.2,,,,,3.6,69,3,15.4,4.5,29,43,67.6,8.5,79,9,16.7,3.1,22,2019-09-05
"Fred Warner","SFO","LB",,,,,,,,,45,60.4,,,,,14.1,96,23,32.5,5.6,44,36,55.6,10.5,66,30,33.8,2.5,39,2019-09-05
"Duke Johnson","HOU","RB",55,106.5,25.1,271,21,36.6,7,76,23,60.6,,,,,21.8,162,12,25.9,7,61,34,69.6,18.8,154,13,23.8,5.1,48,2019-09-05
"Damarious Randall","CLE","DB",,,,,,,,,38,62.4,,,,,15.4,84,11,27.2,8.5,40,71,85,6.1,90,20,27.1,5.8,45,2019-09-05
"Melvin Gordon","LAC","RB",8,20.6,5.5,40,5,9.3,2.3,17,6,62.7,,,,,27.6,200,5,28,9.7,66,37,105.4,57.9,211,29,82.1,16.6,131,2019-09-05
"Hunter Henry","LAC","TE",41,70.4,10.7,99,4,6,0.8,9,25,62.8,,,,,14.9,120,2,5.8,1.3,12,27,54.8,6.2,78,2,5.3,1.1,9,2019-09-05
"Tevin Coleman","SFO","RB",57,77.4,11.3,116,23,29.9,3.3,40,26,63,,,,,11.2,94,13,27.5,4.2,39,37,78.4,11.2,110,14,27,4,38,2019-09-05
"Clayton Geathers","IND","DB",,,,,,,,,52,63.4,,,,,7.3,78,11,21.2,8.4,42,55,74.6,5.8,84,13,18.4,2.5,27,2019-09-05
"Tony Jefferson","BAL","DB",,,,,,,,,42,63.8,,,,,16.5,84,15,29.2,8.2,68,66,74.5,8.5,83,18,31.3,5.8,40,2019-09-05
"Chris Jones","KCC","DL",,,,,,,,,31,64.2,,,,,58.9,230,9,15.6,6.8,29,41,52.2,4.6,167,10,13.3,2.9,20,2019-09-05
"Jarrad Davis","DET","LB",,,,,,,,,23,64.8,,,,,21.9,109,14,34.8,8,51,,,,,35,45.3,9,57,2019-09-05
"Jarvis Landry","CLE","WR",41,61.9,12.5,124,21,28.3,3.8,50,24,65.5,,,,,14.6,126,11,28.4,5.3,50,38,50.8,8.9,132,22,29.2,4.3,70,2019-09-05
"Melvin Ingram","LAC","DL",,,,,,,,,11,65.6,,,,,51.1,232,7,12.8,3.1,30,43,62.6,6.5,162,9,15.4,2.3,20,2019-09-05
"Mike Williams","LAC","WR",29,48.4,10.4,76,14,23.3,4.6,38,32,65.7,,,,,13.5,100,13,27.9,5.1,41,31,49.4,6,81,17,28.4,3.2,42,2019-09-05
"Aaron Rodgers","GBP","QB",42,66,14.4,112,2,4.8,1.6,12,36,66.8,,,,,11.1,268,1,3.6,1.3,11,,,,,3,11.2,3.6,22,2019-09-05
"Tarik Cohen","CHI","RB",50,73.5,11.2,143,22,29,3.5,51,21,67,,,,,13.7,141,11,29.8,5,54,43,79.5,12,139,17,28.1,3.7,43,2019-09-05
"Akiem Hicks","CHI","DL",,,,,,,,,40,67.9,,,,,39.7,192,12,15.8,2.1,25,54,73.2,9.1,161,14,16.9,2,25,2019-09-05
"Austin Ekeler","LAC","RB",74,111.3,15.8,151,31,39.4,4.9,51,29,68.1,,,,,16.6,140,14,29.5,5.6,53,12,56.3,20.2,105,8,19.7,5.7,37,2019-09-05
"Miles Sanders","PHI","RB",32,50.9,12.4,104,13,21,4.4,36,38,68.7,1,2.8,1,9,27.7,250,18,28.9,6.4,66,44,89.5,11.4,134,17,31.1,3.4,42,2019-09-05
"Zach Brown","PHI","LB",,,,,,,,,21,69.8,,,,,23.9,133,13,33,5.3,48,40,46.6,3.9,62,20,28.9,3.3,34,2019-09-05
"Minkah Fitzpatrick","MIA","DB",,,,,,,,,39,71,,,,,21.7,100,15,30.2,6.4,46,52,87.7,21.8,126,11,24.4,3.5,53,2019-09-05
"Tahir Whitehead","OAK","LB",,,,,,,,,16,71.8,,,,,30.1,95,12,40.1,7.7,57,26,63.4,19.8,82,25,35.4,4.5,49,2019-09-05
"Robby Anderson","NYJ","WR",46,86,15.4,140,22,38.2,8.5,67,43,72,,,,,11.6,109,18,30.6,4.3,44,45,64.1,8.4,90,25,36.7,4.3,48,2019-09-05
"Kenyan Drake","MIA","RB",54,85.4,15.5,126,22,32.2,5.5,55,23,72.1,,,,,14.8,158,12,31.5,5,60,64,96.2,9.7,137,23,33.4,2.6,43,2019-09-05
"Benardrick McKinney","HOU","LB",,,,,,,,,40,72.2,,,,,21.9,97,23,44.2,9.7,61,63,75,12,87,30,47.3,5.4,58,2019-09-05
"Kyle Van Noy","NEP","LB",,,,,,,,,59,74,,,,,15,89,31,48.2,4.6,57,31,60.3,17.1,74,28,39.6,9.7,57,2019-09-05
"Dede Westbrook","JAC","WR",54,93.6,16.6,134,26,42.6,7.1,83,27,74.2,,,,,20,130,12,31,7.4,52,21,41.9,9.4,83,11,23.6,5.4,45,2019-09-05
"Josh Gordon","NEP","WR",67,131.9,46,229,28,55,19.6,103,31,74.7,,,,,28.9,252,15,31.3,10.9,106,26,56.4,17.3,192,14,31.9,9.1,98,2019-09-05
"Derrius Guice","WAS","RB",23,56.6,12.2,88,12,21.3,4.2,35,21,75.7,,,,,18.2,138,11,32.8,5.9,52,59,103.1,15,152,20,36.1,4.9,58,2019-09-05
"Devin Bush","PIT","LB",,,,,,,,,6,75.8,,,,,144.9,552,5,17.4,9.5,155,4,17.8,3.7,36,4,13,3.9,45,2019-09-05
"DJ Swearinger","ARI","DB",,,,,,,,,62,76.3,,,,,13.8,95,9,31.9,10.1,48,51,83,21.1,108,9,25.7,8.8,44,2019-09-05
"Latavius Murray","NOS","RB",70,122.8,19.3,166,27,42.4,5.9,66,38,76.4,,,,,13,138,18,33.4,4.5,52,67,94.8,10.8,139,23,33.2,3.2,51,2019-09-05
"AJ Green","CIN","WR",23,48.5,18.5,93,11,22.9,7.2,46,22,76.7,,,,,21.2,137,12,32.6,7.7,57,,,,,,,,,2019-09-05
"Baker Mayfield","CLE","QB",31,49.8,5.2,62,2,3.2,1,9,36,76.8,,,,,14.1,272,1,4.9,1.9,16,,,,,2,7.6,3,28,2019-09-05
"Todd Davis","DEN","LB",,,,,,,,,17,76.8,,,,,8.1,83,13,39.5,6.2,53,59,63.4,2.9,68,31,35,3.7,42,2019-09-05
