"Player","Team","Pos","doBest","doECR","doSD","doWorst","dpBest","dpECR","dpSD","dpWorst","roBest","roECR","rookBest","rookECR","rookSD","rookWorst","roSD","roWorst","rpBest","rpECR","rpSD","rpWorst","ScrapeDate"
"Kenny Stills","HOU","WR",124,166.2,25.8,245,51,71.6,8.8,97,136,211.5,,,,,45.9,257,56,74.5,11.7,86,2019-09-13
"Ryquell Armstead","JAC","RB",125,203.6,34.4,283,44,65.5,7.2,80,197,212,23,34.8,5.5,53,15,227,65,70,5,75,2019-09-13
"Philadelphia","PHI","DST",218,278.1,38.6,353,8,9.6,1.6,17,177,212.5,,,,,44.6,287,,,,,2019-09-13
"Kareem Hunt","CLE","RB",29,83,25.3,203,15,31.9,8.5,64,201,214.3,,,,,10.1,225,67,70,2.5,73,2019-09-13
"TJ Yeldon","BUF","RB",124,200.3,45.5,310,51,67,10.3,95,209,215.3,,,,,5.8,223,69,70.3,1.2,72,2019-09-13
"Dontrell Hilliard","CLE","RB",210,273.3,41.2,328,59,86.4,12.1,107,208,215.3,,,,,7.1,225,68,70.3,1.9,73,2019-09-13
"Rashard Higgins","CLE","WR",102,220.2,43.6,298,68,91,12.2,118,202,215.8,,,,,11.8,234,70,74,3.7,80,2019-09-13
"Preston Williams","MIA","WR",117,204.2,32.2,249,38,83.9,10.7,101,152,216.3,14,34.8,9.8,58,59.1,282,62,78.8,15.4,96,2019-09-13
"Paul Richardson","WAS","WR",171,240.5,20.1,268,64,101.3,8.5,120,156,217.5,,,,,38.1,260,64,77.3,9,89,2019-09-13
"Matt Prater","DET","K",214,267.4,28,303,6,9.2,2,19,186,219.3,,,,,30.5,254,,,,,2019-09-13
"Cole Beasley","BUF","WR",157,262.1,34.4,294,60,113.4,15.3,150,149,220,,,,,63.5,296,61,81,17.9,103,2019-09-13
"Chris Conley","JAC","WR",184,256,32,305,70,103.9,12.4,123,131,220.3,,,,,52.5,266,53,77.3,14.3,90,2019-09-13
"Greg Olsen","CAR","TE",140,227,45.6,344,16,30.2,4.8,40,151,220.5,,,,,44.9,264,16,20.5,3.2,24,2019-09-13
"Willie Snead","BAL","WR",149,231.8,30.9,274,54,98.4,12.9,138,194,221,,,,,30.2,267,67,75.5,9.8,91,2019-09-13
"Joe Flacco","DEN","QB",137,252.3,36.9,303,28,33.2,2.5,39,224,225,,,,,1.7,228,28,28.3,0.4,29,2019-09-13
"Tennessee","TEN","DST",135,253.2,71.4,352,16,18.4,2.2,29,207,225,,,,,15.4,244,,,,,2019-09-13
"Kyle Rudolph","MIN","TE",83,178.2,22.9,234,13,20.8,3.6,31,204,225.8,,,,,28.7,274,17,19.8,3.3,25,2019-09-13
"Hunter Renfrow","OAK","WR",186,269.2,49,393,76,106,14.4,137,216,226.7,26,45.5,6.4,56,7.6,233,73,76.7,2.6,79,2019-09-13
"Brian Hill","ATL","RB",170,282.9,64.5,445,53,86.8,19.2,125,226,230,,,,,5,237,74,75.7,1.7,78,2019-09-13
"Cody Latimer","NYG","WR",216,317.6,69.2,434,96,136,12.1,148,230,230,,,,,0,230,78,78,0,78,2019-09-13
"Michael Crabtree","ARI","WR",173,271.7,43.5,331,68,110.8,14.5,140,203,232,,,,,25,264,71,78.7,7,88,2019-09-13
"Nelson Agholor","PHI","WR",119,194.8,25.6,269,45,86.2,10.5,113,203,234,,,,,25.3,265,71,80,7.3,89,2019-09-13
"Mike Boone","MIN","RB",246,317.2,55.8,398,74,92.5,10.9,111,225,234.3,,,,,6.6,239,73,77,2.8,79,2019-09-13
"Damiere Byrd","ARI","WR",,,,,,,,,236,236,,,,,0,236,82,82,0,82,2019-09-13
"CJ Prosise","SEA","RB",335,335,0,335,88,107.5,11.3,142,232,238.3,,,,,9,251,77,78.7,2.4,82,2019-09-13
"Ryan Fitzpatrick","MIA","QB",145,279,18.1,318,31,37,3.2,44,228,239.3,,,,,6.5,244,29,30.5,1.1,32,2019-09-13
"Gardner Minshew","JAC","QB",148,255.7,80.4,341,32,45.9,6.4,59,228,239.7,45,60.3,11.9,79,8.3,247,29,30.7,1.2,32,2019-09-13
"Tyler Eifert","CIN","TE",141,239.6,46.5,347,17,31.2,4.3,40,221,240,,,,,25.5,283,20,22,2.9,27,2019-09-13
"Wayne Gallman","NYG","RB",266,308.2,15,320,62,94.8,10.6,120,227,240,,,,,16.3,263,75,79.7,5.9,88,2019-09-13
"Zay Jones","BUF","WR",129,182.7,29.7,267,50,80.8,15.6,130,196,240.7,,,,,31.7,266,69,81.7,9.1,90,2019-09-13
"Chris Herndon","NYJ","TE",93,133.4,14.9,182,8,14.1,2.2,19,211,241.5,,,,,27,285,19,21.8,2.6,26,2019-09-13
"Jordan Wilkins","IND","RB",197,256.4,37.9,359,64,81.2,7.4,96,237,241.7,,,,,6.6,251,78,79.3,1.9,82,2019-09-13
"KeeSean Johnson","ARI","WR",128,214.3,61.5,427,39,84.5,19.5,145,203,242.3,17,32.8,7.6,50,29.8,287,71,83,9.7,98,2019-09-13
"Phillip Dorsett","NEP","WR",181,243.7,25,287,81,103.4,14.4,153,203,242.5,,,,,23.2,259,71,82.5,6.7,88,2019-09-13
"Eli Manning","NYG","QB",150,277.1,25.6,317,30,37.7,3.1,45,238,242.8,,,,,3.2,247,30,30.5,0.9,32,2019-09-13
"Jason Myers","SEA","K",254,256.5,2.5,259,12,14.7,2.5,18,191,242.8,,,,,32.4,280,,,,,2019-09-13
"DaeSean Hamilton","DEN","WR",87,144,16.6,197,39,59,6.3,90,231,244.7,,,,,11,258,78,83,3.7,87,2019-09-13
"Theo Riddick","DEN","RB",230,278.5,39.3,382,67,83.9,10.1,104,232,245,,,,,9.2,252,77,80.7,2.6,83,2019-09-13
"Green Bay","GBP","DST",193,236.3,34.3,277,9,19.6,3,24,180,245.3,,,,,52.6,297,,,,,2019-09-13
"Dallas Goedert","PHI","TE",68,111.7,18.4,153,7,11.2,3,23,211,245.8,,,,,21.5,269,19,22.3,1.9,24,2019-09-13
"Nick Foles","JAC","QB",125,216.8,34.5,280,24,29.5,2.5,35,224,246,,,,,17.8,273,28,32,2.9,36,2019-09-13
"Benny Snell","PIT","RB",67,205.7,46,317,34,64.6,9.8,87,230,247.3,23,35.9,6.7,50,17.9,272,76,81.7,5.4,89,2019-09-13
"Devontae Booker","DEN","RB",248,296,30.4,346,72,92.9,12.3,125,240,249,,,,,9,258,80,83,3,86,2019-09-13
"Dexter Williams","GBP","RB",139,234.6,54.2,375,52,71.1,12,102,239,249,21,39,5.9,49,7.8,258,79,82,2.9,86,2019-09-13
"New York","NYJ","DST",173,282.3,78.5,354,18,21.2,3.2,27,212,249,,,,,32.8,301,,,,,2019-09-13
"Case Keenum","WAS","QB",232,281.1,22.1,324,32,38.2,3,46,228,249.8,,,,,15.6,270,29,32,2.1,34,2019-09-13
"Richie James","SFO","WR",331,407,76,483,128,155.3,21.4,186,250,250,,,,,0,250,87,87,0,87,2019-09-13
"Justin Hardy","ATL","WR",,,,,159,160.5,1.5,162,251,251,,,,,0,251,88,88,0,88,2019-09-13
"Elijah McGuire","CLE","RB",122,213.4,45,313,49,74.3,13,101,240,251.5,,,,,11.5,263,80,84,4,88,2019-09-13
"Devin Funchess","IND","WR",114,164.4,24.1,215,47,67.5,9.4,89,218,252.5,,,,,38.8,315,75,87.5,13.1,107,2019-09-13
"Jack Doyle","IND","TE",99,172,25.4,211,10,21.9,3.8,30,205,254,,,,,32.2,288,18,23.8,4.1,29,2019-09-13
"Bilal Powell","NYJ","RB",263,306,43,349,85,105.1,12.8,131,252,254.5,,,,,2.5,257,83,84,1,85,2019-09-13
"Josh Rosen","MIA","QB",131,197.1,32.1,264,23,28.6,2.2,34,243,255.3,,,,,15.6,282,33,33.5,0.9,35,2019-09-13
"Matt Gay","TBB","K",,,,,,,,,189,255.5,,,,,66.5,322,,,,,2019-09-13
"Deebo Samuel","SFO","WR",58,110.3,25.8,183,33,48.8,10,74,229,256,6,12.8,3.5,21,15.8,268,77,87.3,6.3,93,2019-09-13
"DErnest Johnson","CLE","RB",,,,,,,,,252,257,,,,,5,262,83,85,2,87,2019-09-13
"Corey Clement","PHI","RB",241,286.9,33.3,367,58,88.5,11.8,123,253,257.5,,,,,4.5,262,84,85.5,1.5,87,2019-09-13
"Noah Fant","DEN","TE",59,111.2,25.4,212,5,11.1,4,25,205,258,7,13.4,3.8,27,35.7,305,18,24,4.1,29,2019-09-13
"Josh Reynolds","LAR","WR",129,194.4,23.3,234,53,86.4,15.8,134,245,260,,,,,12.7,276,84,87.7,4.5,94,2019-09-13
"Ameer Abdullah","MIN","RB",285,313.5,28.5,342,80,102.5,13.6,140,250,261,,,,,11,272,81,85,4,89,2019-09-13
"Parris Campbell","IND","WR",75,110.5,27.1,215,32,47.7,10.1,69,256,261.3,5,11.4,4,20,4.5,267,85,87.7,2.5,91,2019-09-13
"Deon Cain","IND","WR",168,242.1,31.5,310,75,97,10.1,114,262,262,,,,,0,262,91,91,0,91,2019-09-13
"Carolina","CAR","DST",223,276.7,45.3,357,5,15.6,3.4,21,212,264,,,,,31.9,295,,,,,2019-09-13
"Miles Boykin","BAL","WR",85,170.4,38.8,333,40,70.9,13.1,115,233,264.5,16,24.1,4.1,42,28.1,294,79,91.3,10.1,104,2019-09-13
"Andy Isabella","ARI","WR",85,125.3,29.3,202,38,57.9,12.3,95,217,265.7,13,18,3.2,33,34.4,290,74,90.3,11.6,100,2019-09-13
"Mike Weber","DAL","RB",209,302.4,24.3,332,62,91.5,8.7,115,257,266,35,50.2,6.7,63,9,275,85,87.5,2.5,90,2019-09-13
"Michael Badgley","LAC","K",238,285.7,59.8,370,6,11.3,3.1,14,255,266,,,,,6.7,273,,,,,2019-09-13
"Dwayne Haskins","WAS","QB",103,183.9,33.2,261,16,24.7,3.2,31,247,266.3,12,28.3,5.5,45,13.2,283,32,34.8,1.6,36,2019-09-13
"David Moore","SEA","WR",142,211.3,19,243,67,90.5,6.7,106,254,267.3,,,,,10.1,277,90,92.8,2.3,95,2019-09-13
"Taylor Gabriel","CHI","WR",174,227.4,21,274,65,97.1,11.8,127,234,267.7,,,,,23.8,285,80,92,8.6,100,2019-09-13
"Marqise Lee","JAC","WR",132,206,29.4,267,57,87.3,10.8,105,241,269,,,,,23.3,298,82,93.5,8.4,102,2019-09-13
"John Kelly","LAR","RB",210,290.9,37.7,377,69,86,10.5,109,250,269.3,,,,,13.7,279,81,88.3,5.2,92,2019-09-13
