"Player","Team","Pos","doBest","doECR","doSD","doWorst","dpBest","dpECR","dpSD","dpWorst","roBest","roECR","rookBest","rookECR","rookSD","rookWorst","roSD","roWorst","rpBest","rpECR","rpSD","rpWorst","ScrapeDate"
"Spencer Ware","IND","RB",231,281.7,26.4,338,71,83.6,7.7,100,,,,,,,,,,,,,2019-09-13
"Bruce Anderson","IND","RB",246,301.2,39.4,379,68,90.9,11.2,121,,,29,59.9,12.8,86,,,,,,,2019-09-13
"Zach Pascal","IND","WR",329,387.5,58.5,446,118,161,15.7,185,,,,,,,,,,,,,2019-09-13
"Daurice Fountain","IND","WR",338,355,17,372,133,147.8,11.3,162,,,,,,,,,,,,,2019-09-13
"Brian Hoyer","IND","QB",,,,,59,61.3,1.8,63,,,,,,,,,54,54,0,54,2019-09-13
"Mo Alie-Cox","IND","TE",,,,,29,54,9.1,68,,,,,,,,,59,59,0,59,2019-09-13
"Chad Kelly","IND","QB",,,,,33,47.3,10.6,72,,,,,,,,,50,50,0,50,2019-09-13
"Seth DeValve","JAC","TE",,,,,66,74.3,5.9,79,,,,,,,,,,,,,2019-09-13
"James OShaughnessy","JAC","TE",,,,,67,71.5,4.5,76,,,,,,,,,,,,,2019-09-13
"Terrelle Pryor","JAC","WR",,,,,121,143,25.2,196,,,,,,,,,,,,,2019-09-13
"Devine Ozigbo","JAC","RB",252,317,85.7,494,52,92.9,18.2,139,,,40,51.7,9,67,,,,,,,2019-09-13
"Joshua Dobbs","JAC","QB",,,,,42,53.3,8.6,65,,,,,,,,,,,,,2019-09-13
"Alfred Blue","JAC","RB",256,307,32.8,347,77,105.4,11.3,122,,,,,,,,,,,,,2019-09-13
"Terry Godwin","JAC","WR",,,,,,,,,,,56,78.5,15,96,,,,,,,2019-09-13
"Alex Barnes",,"RB",,,,,,,,,,,35,63.3,10.2,79,,,,,,,2019-09-13
"Chad Henne","KCC","QB",,,,,44,50.3,4.5,54,,,,,,,,,,,,,2019-09-13
"Darrel Williams","KCC","RB",270,336.6,44.7,410,63,95.2,12.3,116,,,,,,,,,,,,,2019-09-13
"Blake Bell","KCC","TE",,,,,50,62.3,10.7,76,,,,,,,,,,,,,2019-09-13
"Cody Thompson","KCC","WR",,,,,,,,,,,80,83,3,86,,,,,,,2019-09-13
"Anthony Johnson","LAC","WR",,,,,95,154.3,43.7,199,,,49,74.6,16.7,94,,,,,,,2019-09-13
"Dontrelle Inman","LAC","WR",264,333.6,46.8,390,104,143,16.2,163,,,,,,,,,,,,,2019-09-13
"Detrez Newsome","LAC","RB",,,,,114,131.5,13.2,147,,,,,,,,,,,,,2019-09-13
"Virgil Green","LAC","TE",,,,,56,72.3,10.2,84,,,,,,,,,,,,,2019-09-13
"Easton Stick","LAC","QB",,,,,48,50,2,52,,,51,78.8,18.4,102,,,,,,,2019-09-13
"Tyre Brady",,"WR",,,,,,,,,,,82,90.7,7.8,101,,,,,,,2019-09-13
"Miami","MIA","DST",326,344.5,18.5,363,23,26.6,2,29,,,,,,,,,,,,,2019-09-13
"Isaiah Ford","MIA","WR",,,,,171,175.5,4.5,180,,,,,,,,,,,,,2019-09-13
"Jason Sanders","MIA","K",,,,,27,30.5,3.5,34,,,,,,,,,,,,,2019-09-13
"Mark Walton","MIA","RB",262,314.3,37.2,369,66,97,10.7,116,,,,,,,,,,,,,2019-09-13
"LJ Scott",,"RB",,,,,,,,,,,53,55.3,2.6,59,,,,,,,2019-09-13
"Dillon Mitchell","MIN","WR",,,,,94,131,37,168,,,41,69.3,13.2,95,,,,,,,2019-09-13
"DaMarkus Lodge",,"WR",,,,,,,,,,,31,57.6,10.5,77,,,,,,,2019-09-13
"Cameron Meredith","NEP","WR",257,306,12,326,92,117.1,8.2,129,,,,,,,,,,,,,2019-09-13
"Jarrett Stidham","NEP","QB",139,276.4,26.5,304,32,41.1,5.6,57,,,38,54.5,8.2,72,,,,,,,2019-09-13
"Dan Arnold","NOS","TE",320,385,49.2,439,45,55,5.3,63,,,,,,,,,56,56,0,56,2019-09-13
"Alize Mack","NOS","TE",,,,,30,52.4,11.7,72,,,52,72.8,7.3,79,,,57,57,0,57,2019-09-13
"Emmanuel Butler","NOS","WR",,,,,111,138,24.8,172,,,43,60,15.3,81,,,,,,,2019-09-13
"Dwayne Washington","NOS","RB",,,,,92,120.8,17,145,,,,,,,,,,,,,2019-09-13
"LilJordan Humphrey","NOS","WR",287,333,46,379,98,146.2,31.7,184,,,44,57.8,8,73,,,,,,,2019-09-13
"Josh Hill","NOS","TE",389,405,16,421,46,66.6,13.5,82,,,,,,,,,49,49,0,49,2019-09-13
"Austin Carr","NOS","WR",,,,,,,,,,,,,,,,,130,130,0,130,2019-09-13
"CJ Conrad","NYG","TE",,,,,62,62,0,62,,,93,95.7,1.9,97,,,,,,,2019-09-13
"Corey Coleman","NYG","WR",267,334.7,57.4,459,109,127.9,15.8,157,,,,,,,,,,,,,2019-09-13
"David Sills","NYG","WR",294,316.7,16.8,334,90,143.8,17.7,166,,,36,59.9,9,79,,,,,,,2019-09-13
"Paul Perkins","NYG","RB",,,,,96,116.3,13.2,133,,,,,,,,,,,,,2019-09-13
"Darius Slayton","NYG","WR",244,317.8,80.8,484,96,138.4,25.6,181,,,39,51.6,11.1,75,,,129,129,0,129,2019-09-13
"Russell Shepard","NYG","WR",,,,,146,160,13.1,181,,,,,,,,,,,,,2019-09-13
"Elijhaa Penny","NYG","RB",,,,,115,122.7,8.8,135,,,,,,,,,,,,,2019-09-13
"Jalin Moore","NYJ","RB",,,,,89,98,9,107,,,72,87,9.7,99,,,,,,,2019-09-13
"Ryan Griffin","NYJ","TE",,,,,51,60.8,5.8,66,,,,,,,,,,,,,2019-09-13
"Josh Bellamy","NYJ","WR",,,,,147,160.8,13.7,179,,,,,,,,,,,,,2019-09-13
"Quincy Enunwa","NYJ","WR",103,175.5,29.1,282,40,78.5,13.3,107,,,,,,,,,,,,,2019-09-13
"Trevon Wesco","NYJ","TE",,,,,47,62.3,11.3,74,,,78,86,6.2,93,,,,,,,2019-09-13
"Trevor Siemian","NYJ","QB",,,,,54,58.7,3.4,62,,,,,,,,,,,,,2019-09-13
"Trenton Cannon","NYJ","RB",221,303.6,47.3,347,71,105.6,11.6,126,,,,,,,,,,,,,2019-09-13
"Braxton Berrios","NYJ","WR",281,365.7,91,492,125,141.8,12.9,168,,,,,,,,,,,,,2019-09-13
"Luke Falk","NYJ","QB",,,,,48,54,4.3,58,,,,,,,,,,,,,2019-09-13
"Josh Adams","NYJ","RB",144,254.1,57.1,376,54,85.3,13.5,117,,,,,,,,,,,,,2019-09-13
"Ryan Grant","OAK","WR",260,301.8,32.7,342,106,130.9,17,157,,,,,,,,,,,,,2019-09-13
"Foster Moreau","OAK","TE",151,313.2,71.4,431,28,45,5.6,57,,,30,59,7.1,76,,,,,,,2019-09-13
"Isaiah Crowell","OAK","RB",237,310,42.3,385,71,90.5,9.4,107,,,,,,,,,,,,,2019-09-13
"JJ Nelson","OAK","WR",353,387.5,34.5,422,135,150.4,10.7,165,,,,,,,,,,,,,2019-09-13
"Mike Glennon","OAK","QB",,,,,,,,,,,,,,,,,51,51,0,51,2019-09-13
"Nathan Peterman","OAK","QB",,,,,57,61,3.3,65,,,,,,,,,,,,,2019-09-13
"Marcell Ateman","OAK","WR",280,380,100,480,124,150.6,8.9,161,,,,,,,,,,,,,2019-09-13
"DeShone Kizer","OAK","QB",,,,,42,50.2,6,68,,,,,,,,,,,,,2019-09-13
"Eric Saubert","OAK","TE",,,,,65,72.5,7.5,80,,,,,,,,,,,,,2019-09-13
"Keelan Doss","OAK","WR",,,,,,,,,,,44,58.8,12.7,80,,,,,,,2019-09-13
"Mack Hollins","PHI","WR",298,373.8,67.1,482,112,150,11.7,164,,,,,,,,,,,,,2019-09-13
"Kyle Lauletta","PHI","QB",,,,,49,58,7.3,67,,,,,,,,,,,,,2019-09-13
"Nate Sudfeld","PHI","QB",,,,,,,,,,,,,,,,,53,53,0,53,2019-09-13
"Boston Scott","PHI","RB",341,367.5,26.5,394,102,114.2,13,138,,,,,,,,,,,,,2019-09-13
"Josh McCown","PHI","QB",,,,,45,50.8,3.7,54,,,,,,,,,52,52,0,52,2019-09-13
"Ed Dickson","SEA","TE",,,,,50,57.7,5.4,68,,,,,,,,,,,,,2019-09-13
"Jacob Hollister","SEA","TE",,,,,33,61,17.2,79,,,,,,,,,,,,,2019-09-13
"Travis Homer","SEA","RB",265,322.3,55.6,413,77,95,11.2,116,,,42,63.8,10.2,84,,,,,,,2019-09-13
"Jazz Ferguson","SEA","WR",,,,,119,139.8,18.4,171,,,47,63.8,14.5,83,,,133,133,0,133,2019-09-13
"Garrett Celek","SFO","TE",,,,,62,68.3,5.1,75,,,,,,,,,,,,,2019-09-13
"Jeff Wilson","SFO","RB",,,,,87,105.9,11.4,129,,,,,,,,,,,,,2019-09-13
"Kyle Juszczyk","SFO","RB",,,,,97,119.1,14.4,146,,,,,,,,,,,,,2019-09-13
"Kaden Smith","SFO","TE",,,,,48,58,10.8,73,,,54,74,13.8,98,,,,,,,2019-09-13
"Andrew Jacas","SFO","K",,,,,22,25,3.3,30,,,,,,,,,,,,,2019-09-13
"CJ Beathard","SFO","QB",,,,,41,51.1,4.3,62,,,,,,,,,,,,,2019-09-13
"Jerick McKinnon","SFO","RB",78,147,39.8,228,34,55.4,12.9,80,,,,,,,,,,,,,2019-09-13
"Wes Hills",,"RB",,,,,,,,,,,54,82.8,17.2,99,,,,,,,2019-09-13
"TJ Logan","TBB","RB",,,,,130,133,3,136,,,,,,,,,,,,,2019-09-13
"Emanuel Hall","TBB","WR",204,307.2,20.8,342,90,120.4,15.4,151,,,37,49.8,6.8,65,,,,,,,2019-09-13
"Jordan Leggett","TBB","TE",,,,,50,64,8.3,72,,,,,,,,,,,,,2019-09-13
"Anthony Firkser","TEN","TE",,,,,49,68,7.3,78,,,,,,,,,,,,,2019-09-13
"Tajae Sharpe","TEN","WR",329,402,73,475,103,140.9,14.2,160,,,,,,,,,,,,,2019-09-13
"Wendell Smallwood","WAS","RB",,,,,73,101.9,11.1,121,,,,,,,,,,,,,2019-09-13
"Alex Smith","WAS","QB",234,293.5,36.3,332,33,46.9,6.9,64,,,,,,,,,,,,,2019-09-13
"Colt McCoy","WAS","QB",263,306,43,349,41,50.5,6.7,67,,,,,,,,,,,,,2019-09-13
"Bryce Love","WAS","RB",114,219.2,46,343,47,68.6,8.9,96,,,19,38.8,6.7,50,,,,,,,2019-09-13
"Jeremy Sprinkle","WAS","TE",,,,,61,66,3.7,70,,,,,,,,,,,,,2019-09-13
"Kelvin Harmon","WAS","WR",118,214.6,47.3,376,50,89.3,15.1,131,,,18,33.4,6.5,44,,,128,128,0,128,2019-09-13
"James Williams",,"RB",,,,,,,,,,,38,58.9,11.4,78,,,,,,,2019-09-13
