Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
112,,Jared CookJ. Cook OAK,TE10,,64,139,109.9,20.3
113,,Gus EdwardsG. Edwards BAL,RB39,,84,186,110.2,6.6
114,,Marquise GoodwinM. Goodwin SF,WR48,,99,183,111.9,11.4
115,,Delanie WalkerD. Walker TEN,TE11,,93,136,112.1,9.4
116,,Robert FosterR. Foster BUF,WR49,,88,151,115.8,9.5
117,,Dion LewisD. Lewis TEN,RB40,,111,130,116.9,5.6
118,,Jimmy GaroppoloJ. Garoppolo SF,QB18,,74,157,134.7,13.2
119,,Dak PrescottD. Prescott DAL,QB19,,70,150,120.4,14.1
120,,Jack DoyleJ. Doyle IND,TE12,,92,135,108.9,11.5
121,,Austin HooperA. Hooper ATL,TE13,,58,192,130.4,11.3
122,,John BrownJ. Brown BAL,WR50,,107,174,130.4,11.8
123,,Geronimo AllisonG. Allison GB,WR51,,58,209,130.9,24.0
124,,Kareem HuntK. Hunt FA,RB41,,51,149,115.2,15.0
Tier 9,
125,,Kirk CousinsK. Cousins MIN,QB20,,67,152,134.1,13.3
126,,Trey BurtonT. Burton CHI,TE14,,92,142,122.9,12.9
127,,Larry FitzgeraldL. Fitzgerald ARI,WR52,,68,223,125.9,10.9
128,,Jamison CrowderJ. Crowder WAS,WR53,,111,203,127.4,8.8
129,,Nyheim HinesN. Hines IND,RB42,,103,156,128.3,8.1
130,,Rex BurkheadR. Burkhead NE,RB43,,93,183,131.4,18.0
131,,Chris Herndon IVC. Herndon NYJ,TE15,,106,140,133.6,4.6
132,,Duke JohnsonD. Johnson CLE,RB44,,88,178,135.4,15.2
133,,Josh AllenJ. Allen BUF,QB21,,77,172,150.8,10.4
134,,Antonio CallawayA. Callaway CLE,WR54,,128,160,139.0,11.1
135,,Ronald Jones IIR. Jones TB,RB45,,100,259,139.1,21.3
136,,Jordan ReedJ. Reed WAS,TE16,,127,153,139.1,6.2
137,,D'Onta ForemanD. Foreman HOU,RB46,,125,230,139.4,16.6
138,,Chicago (CHI)CHI DST,DST1,,75,160,139.9,0.3
139,,John RossJ. Ross CIN,WR55,,128,218,141.9,20.4
140,,Greg OlsenG. Olsen CAR,TE17,,100,142,125.4,10.2
141,,Latavius MurrayL. Murray MIN,RB47,,109,194,142.3,16.7
142,,Kenny StillsK. Stills MIA,WR56,,123,208,143.9,8.9
143,,Kyle RudolphK. Rudolph MIN,TE18,,106,174,144.9,10.7
144,,Josh AdamsJ. Adams PHI,RB48,,119,185,130.2,14.8
145,,Baltimore (BAL)BAL DST,DST2,,76,165,147.6,3.3
146,,Isaiah CrowellI. Crowell NYJ,RB49,,112,185,147.6,15.4
147,,DaeSean HamiltonD. Hamilton DEN,WR57,,75,193,148.4,22.5
