PLAYERID,DRAFTYEAR,POSITION,NAME,COLLEGE,ROUND,PICK,TEAM,NOTES,ATRAS,RAS,,"NOTE: RAS WILL BE INCORRECT FOR MOST 2019 PROSPECTS DUE TO RECENT UPDATES, THIS WILL EVEN OUT OVER TIME"
15437,2018,WR,Brodrick Umblance,Tulsa,,,,,3.93,3.95,,
15438,2018,QB,Brogan Roback,Eastern Michigan,,,,,2.38,2.42,,
15439,2018,DT,Bruce Hector,South Florida,,,,,7.83,7.84,,
15440,2018,LB,Bryan Jones,Saginaw Valley State,,,,,6.23,6.24,,
15441,2018,QB,Bryan Schor,James Madison,,,,,2.69,2.76,,
15442,2018,SS,Bryan Williams,Georgia State,,,,,1.87,1.46,,
15443,2018,QB,Bryant Shirreffs,Connecticut,,,,No Mez,,,,
15444,2018,CB,Bryce Alley,Montana State,,,,,1.93,1.94,,
15445,2018,WR,Bryce Bobo,Colorado,,,,,1.52,1.54,,
15446,2018,FS,Bryce Canady,Florida International,,,,,7.32,7.39,,
15447,2018,OT,Bryce Johnson,St. Cloud State,,,Cowboys,No Mez,,,,
15448,2018,OT,Bryce Sweeney,Northern Iowa,,,,No Mez,,,,
15449,2018,RB,Bryce Vieira,Ottawa,,,,CFL Regional Combine,2.55,2.59,,
15450,2019,LB,Bryson Allen-Williams,South Carolina,,,,2019COMBINE,0.97,0.97,,
15451,2018,FS,Bryson McCabe,Montana State,,,,,8.19,8.29,,
15452,2018,RB,Bubba Jenkins,Morningside,,,,,,,,
15453,2018,DE,Bunmi Rotimi,Old Dominion,,,Bears,,2.3,2.29,,
15454,2018,LB,Byron Evans,Northern Arizona,,,,,2.96,2.97,,
15455,2018,CB,Byron Fields,Duke,,,,,6.43,6.44,,
15456,2018,WR,Byron Pringle,Kansas State,,,,,7.28,7.28,,
15457,2018,WR,C.J. Duncan,Vanderbilt,,,,,4.71,4.73,,
15458,2018,FS,C.J. Hampton,Mississippi,,,,,0.22,0.21,,
15459,2018,LS,C.J. Keller,Stanford,,,,,1.27,1.31,,
15460,2018,SS,C.J. Reavis,Marshall,,,,,3.36,2.88,,
15461,2018,RB,Calan Crowder,Missouri State,,,,,,,,
15462,2018,LB,Caleb Bailey,Western Michigan,,,,,5.38,5.49,,
15463,2018,LB,Caleb Caston,Arkansas State,,,,,2.47,2.48,,
15464,2018,FB,Caleb Fuller,Appalachian State,,,,,2.18,2.2,,
15465,2018,WR,Caleb Scott,Vanderbilt,,,,,9.43,9.45,,
15466,2018,LB,Caleb Tucker,Louisiana-Monroe,,,,,4.41,4.46,,
15467,2018,RB,Calen Campbell,Lindenwood,,,,,,,,
