PLAYERID,DRAFTYEAR,POSITION,NAME,COLLEGE,ROUND,PICK,TEAM,NOTES,ATRAS,RAS,,"NOTE: RAS WILL BE INCORRECT FOR MOST 2019 PROSPECTS DUE TO RECENT UPDATES, THIS WILL EVEN OUT OVER TIME"
3174,1994,DE,Gabe Wilkins,Gardner-Webb,4,126,Packers,,4.1,6.89,,
3175,1994,OT,Gary Brown,Georgia Tech,5,148,Steelers,,,,,
3176,1994,RB,Gary Downs,North Carolina State,3,95,Giants,,5.83,8.3,,
3177,1994,OT,George Hegamin,North Carolina State,3,102,Cowboys,,0.69,0.92,,
3178,1994,OC,Glen Cavanaugh,Stanford,,,,,5.92,7.75,,
3179,1994,QB,Glenn Foley,Boston College,7,208,Jets,,,,,
3180,1994,RB,Glenn Starks,Central Oklahoma,,,,,2.45,4.91,,
3181,1994,RB,Greg Hill,Texas A&M,1,25,Chiefs,,6.7,9.06,,
3182,1994,QB,Gus Frerotte,Tulsa,7,197,Redskins,|ProBowl|,1.37,3.01,,
3183,1994,TE,Harold Bishop,Louisiana State,3,69,Buccaneers,,3.22,7.07,,
3184,1994,WR,Harrison Houston,Florida,5,138,Falcons,,1.68,2.93,,
3185,1994,QB,Heath Shuler,Tennessee,1,3,Redskins,,,,,
3186,1994,DE,Henry Ford,Arkansas,1,26,Texans,,6.49,8.82,,
3187,1994,DE,Herman Carroll,Mississippi State,5,142,Saints,,1.87,4.29,,
3188,1994,DE,Horace Morris,Tennessee,5,152,Jets,,7.71,9.13,,
3189,1994,DT,Hurvin Mccormack,Indiana,,,,,3.22,4.17,,
3190,1994,RB,Irving Spikes,Louisiana-Monroe,,,,,1.94,3.97,,
3191,1994,WR,Isaac Bruce,Memphis,2,33,Rams,|ProBowl|,6.35,8.84,,
3192,1994,OG,Isaac Davis,Arkansas,2,43,Chargers,,5.65,5.86,,
3193,1994,CB,Issac Booth,California,5,141,Browns,,,,,
3194,1994,FS,Jaime Mendez,Kansas State,,,,,3.85,7.29,,
3195,1994,QB,Jake Kelchner,West Virginia,,,,,0.69,1.71,,
3196,1994,FB,Jamal Anderson,Utah,7,201,Falcons,|ProBowl|1.25kRUSH-1998|1kRUSH-1996;1997;1998;2000|750RUSH-1996;1997;1998;2000|,4.21,5.65,,
3197,1994,RB,James Bostic,Auburn,3,83,Rams,,7.38,9.29,,
3198,1994,CB,James Burton,Frenso State,5,151,Chiefs,,1.08,3.03,,
3199,1994,LB,James Folston,Louisiana-Monroe,2,52,Raiders,,8,9.55,,
3200,1994,DT,James Gregory,Alabama,,,,,,,,
3201,1994,LB,Jamir Miller,UCLA,1,10,Cardinals,|ProBowl|12.5SACK-2001|10SACKS-2001|7.5SACK-2001|,,,,
3202,1994,LB,Jason Gildon,Oklahoma State,3,88,Steelers,"|ProBowl|12.5SACK-2000|7.5SACK-1998,1999,2000,2001,2002|",3.38,4.84,,
3203,1994,OG,Jason Jones,Hampton,,,,,1.57,1.88,,
3204,1994,OT,Jason Mathews,Texas A&M,3,67,Colts,,7.1,8.92,,
3205,1994,FS,Jason Sehorn,Southern California,2,59,Giants,,7.15,9.43,,
3206,1994,DE,Jason Simmons,Ohio State,,,,,3.28,6.15,,
3207,1994,OG,Jason Winrow,Ohio State,6,186,Giants,,1.36,1.28,,
3208,1994,CB,Jay Bellamy,Rutgers,,,,,1.3,3.4,,
3209,1994,QB,Jay Fiedler,Dartmouth,,,,,6.2,8.37,,
3210,1994,WR,Jay Kearney,West Virginia,6,169,Packers,,4.25,8.09,,
3211,1994,QB,Jay Walker,Howard,7,198,Patriots,,,,,
3212,1994,OT,Jed Devries,Utah State,,,,,6.76,8.65,,
3213,1994,QB,Jeff Brohm,Louisville,,,,,,,,
3214,1994,CB,Jeff Burris,Notre Dame,1,27,Bills,,4.61,8.16,,
3215,1994,FB,Jeff Cothran,Ohio State,3,66,Bengals,,3.09,3.91,,
3216,1994,DE,Jeremy Nunley,Alabama,2,60,Texans,,3.83,6.4,,
3217,1994,LB,Jermaine Younger,Utah State,,,,,1.99,3,,
3218,1994,OT,Jerry Reynolds,Nevada Las Vegas,6,184,Bengals,,2.7,4.7,,
3219,1994,QB,Jewel Walker,Howard,,,,,3.12,5.61,,
3220,1994,QB,Jim Ballard,Mount Union,,,,,3.26,5.85,,
3221,1994,DT,Jim Flanigan,Notre Dame,3,74,Bears,"|10SACKS-1995|7.5SACK-1995,1998|",8.67,9.82,,
3222,1994,DE,Jim Hanna,Louisville,,,,,,,,
3223,1994,QB,Jim Miller,Michigan State,6,178,Steelers,,1.23,2.03,,
3224,1994,OC,Jim Pyne,Virginia Tech,7,200,Buccaneers,,4.48,5.73,,
3225,1994,OT,Jim Reid,Virginia,5,161,Texans,,,,,
3226,1994,QB,Jimmy Klingler,Houston,,,,,2.75,5.69,,
3227,1994,CB,Jocelyn Borgella,Cincinnati,6,183,Lions,,1.19,2.99,,
3228,1994,OC,Joe Burch,Texas Southern,3,90,Patriots,,4.87,6.29,,
3229,1994,DE,Joe Johnson,Louisville,1,13,Saints,"|ProBowl|10SACKS-2000|7.5SACK-1996,1997,2000,2001|",5.4,7.7,,
3230,1994,OG,Joe Panos,Wisconsin,3,77,Eagles,,,,,
3231,1994,OG,Joe Patton,Alabama A&M,3,97,Redskins,,,,,
3232,1994,OG,Joel Crisman,Southern California,,,,,0.16,0.23,,
3233,1994,TE,John Burke,Virginia Tech,4,121,Patriots,,1.08,2.24,,
3234,1994,SS,John Covington,Notre Dame,5,133,Colts,,6.68,8.49,,
3235,1994,TE,John Davis,Emporia State,5,,Cowboys,,,,,
3236,1994,CB,John Reece,Nebraska,4,113,Cardinals,,6.24,8.65,,
3237,1994,DE,John Thierry,Alcorn State,1,11,Bears,,9.59,9.94,,
3238,1994,WR,Johnnie Morton,USC,1,21,Lions,|1kREC-1997;1998;1999;2001|750REC-1997;1998;1999;2000;2001;2004|,,,,
3239,1994,SS,Johnny Dixon,Mississippi,,,,,1.25,0.96,,
3240,1994,OG,Josh Dunning,Washington State,,,,,5.8,6.92,,
3241,1994,LB,Juan Long,Mississippi State,,,,,0.63,0.59,,
3242,1994,LB,Keith Burns,Oklahoma State,7,210,Broncos,,0.66,1.05,,
3243,1994,RB,Keith Elias,Princeton,,,,,3.72,6.43,,
3244,1994,FS,Keith Lyle,Virginia,3,71,Rams,,6.33,9.14,,
3245,1994,FS,Kelvin Knight,Mississippi State,,,,,,,,
3246,1994,LB,Ken Alexander,Florida State,,,,,3.27,4.74,,
3247,1994,DT,Kenny Lopez,Miami,,,,,2.11,2.21,,
3248,1994,CB,Kevin Gaines,Louisville,,,,,2.06,3.65,,
3249,1994,WR,Kevin Knox,Florida State,6,192,Bills,,4.32,7.28,,
3250,1994,WR,Kevin Lee,Alabama,2,35,Patriots,,5.43,8.9,,
3251,1994,OC,Kevin Mawae,Louisiana State,2,36,Seahawks,|ProBowl|,7.4,7.98,,
3252,1994,LB,Kevin Mitchell,Syracuse,2,53,49ers,,,,,
3253,1994,DE,Kevin Patrick,Miami,,,,,1.06,2.55,,
3254,1994,DT,Kimo von Oelhoffen,Boise State,6,162,Bengals,|7.5SACK-2003|,,,,
3255,1994,TE,Kurt Haws,Utah,4,105,Redskins,,3.9,8.03,,
3256,1994,WR,Lake Dawson,Notre Dame,3,92,Chiefs,,3.29,6,,
3257,1994,DT,Lamar Mills,Indiana,,,,,1.67,1.6,,
3258,1994,FB,Lamar Smith,Houston,3,73,Seahawks,|1kRUSH-2000|750RUSH-2000;2001|,7.19,8.7,,
3259,1994,RB,Lamont Warren,Colorado,6,164,Colts,,5.1,7.59,,
3260,1994,OT,Lance Lundberg,Nebraska,7,213,Saints,,,,,
3261,1994,DE,Lance Teichelman,Texas A&M,7,196,Colts,,1.93,2.98,,
3262,1994,OG,Larry Allen,Sonoma State,2,46,Cowboys,|HOF|ProBowl|,4.01,3.83,,
3263,1994,LB,Larry Blue,Iowa,,,,,0.94,1.29,,
3264,1994,SS,Larry Whigham,Louisiana-Monroe,4,110,Seahawks,|ProBowl|,6.01,8.08,,
3265,1994,WR,Lee Gissendaner,Northwestern,6,187,Texans,,,,,
3266,1994,LB,Lee Woodall,West Chester,6,182,49ers,|ProBowl|,,,,
3267,1994,LB,Lemanski Hall,Alabama,7,220,Texans,,,,,
3268,1994,DT,Leonard Ray,Louisville,,,,,4.42,5.83,,
3269,1994,RB,LeShon Johnson,NIU,3,84,Packers,,,,,
3270,1994,RB,Lindsey Chapman,California,,,,,5.38,7.37,,
3271,1994,WR,Lloyd Hill,Texas Tech,6,170,Bears,,,,,
3272,1994,TE,Lonnie Johnson,Florida State,2,61,Bills,,3.64,7.21,,
3273,1994,DT,Lou Benfatti,Penn State,3,94,Jets,,3.86,4.79,,
3274,1994,WR,Malcolm Floyd,Fresno State,3,101,Texans,|750REC-2009;2011;2012;2014|,,,,
3275,1994,WR,Malcolm Seabron,Frenso State,,,,,2.53,4.87,,
3276,1994,SS,Malik Jackson,Rutgers,,,,,1.83,1.1,,
3277,1994,CB,Marcus Durgin,Samford,,,,,2.58,5.78,,
3278,1994,OT,Marcus Spears,Northwestern State,2,39,Bears,,3.97,6.59,,
3279,1994,RB,Mario Bates,Arizona State,2,44,Saints,|750RUSH-1995|,9.69,9.91,,
3280,1994,WR,Mario Henry,Rutgers,,,,,5.21,7.76,,
3281,1994,OG,Mark Dixon,Virginia,,,,,0.73,0.6,,
3282,1994,RB,Mark Montgomery,Wisconsin,7,206,Eagles,,,,,
3283,1994,LB,Marlo Perry,Jackson State,3,81,Bills,,3.59,5.89,,
3284,1994,RB,Marshall Faulk,San Diego State,1,2,Colts,|HOF|ProBowl|1.25kRUSH-1994;1998;1999;2000;2001|1kRUSH-1994;1995;1997;1998;1999;2000;2001|750RUSH-1994;1995;1997;1998;1999;2000;2001;2002;2003;2004|1kREC-1999|750REC-1998;1999;2000;2001|,,,,
3285,1994,LB,Marty Moore,Kentucky,7,222,Patriots,,2.07,3.59,,
3286,1994,RB,Marvin Courtney,Mississippi,,,,,2.11,3.79,,
3287,1994,CB,Marvin Goodwin,UCLA,5,144,Eagles,,,,,
3288,1994,QB,Marvin Graves,Syracuse,,,,,0.17,1.14,,
3289,1994,DT,Matt Steeple,Morgan State,,,,,1.64,1.66,,
3290,1994,DE,Matt Werner,UCLA,,,,,5.29,6.34,,
3291,1994,OT,Matthew Campbell,South Carolina,,,,,5.81,7.19,,
3292,1994,OT,Max Lane,Navy,6,168,Patriots,,,,,
3293,1994,OG,Michael Batiste,Tulane,,,,,5.49,6.77,,
3294,1994,SS,Michael Davis,Cincinnati,,,,,7.91,9.32,,
3295,1994,CB,Mike Davis,Cincinnati,4,119,Texans,,,,,
3296,1994,OG,Mike Empey,Brigham Young,,,,,2.95,3.38,,
3297,1994,DT,Mike Wells,Iowa,4,125,Vikings,,6.41,8.34,,
3298,1994,P,Mitch Berger,Colorado,6,193,Eagles,|ProBowl|,,,,
3299,1994,LB,Mitch Davis,Georgia,4,118,Falcons,,0.9,1.57,,
3300,1994,SS,Myron Bell,Michigan State,5,140,Steelers,,,,,
3301,1994,WR,Orlando Parker,Troy,4,117,Jets,,,,,
3302,1994,P,Pat O'Neill,Syracuse,5,135,Patriots,,,,,
3303,1994,LB,Patrick Scott,South Carolina State,,,,,5.8,8.08,,
3304,1994,QB,Paul Burmeister,Iowa,,,,,2.55,5.28,,
3305,1994,LB,Paul Duckworth,Connecticut,6,190,Packers,,,,,
3306,1994,CB,Paul White,Miami,,,,,3.41,6.27,,
3307,1994,CB,Perry Carter,Southern Mississippi,4,107,Cardinals,,6.1,8.85,,
3308,1994,QB,Perry Klein,LIU-CW Post,4,111,Falcons,,7.63,9.76,,
3309,1994,LB,Pete Bercich,Notre Dame,7,211,Vikings,,2.2,3.28,,
3310,1994,OT,Pete Pierson,Washington,5,136,Buccaneers,,2.51,4.81,,
3311,1994,RB,Phil Brown,Texas,,,,,0.82,1.74,,
3312,1994,OC,Quentin Neujahr,Kansas State,,,,,4.8,6.18,,
3313,1994,DE,Ramondo Stallings,San Diego State,7,195,Bengals,,,,,
3314,1994,CB,Randy Fuller,Tennessee State,4,123,Broncos,,1.82,4.55,,
3315,1994,DE,Ray Jacobs,North Carolina,,,,,5.25,7.2,,
3316,1994,RB,Raymont Harris,Ohio State,4,114,Bears,|1kRUSH-1997|750RUSH-1997|,7.35,9.2,,
3317,1994,OG,Rich Braham,West Virginia,3,76,Cardinals,,4.74,6.09,,
3318,1994,LB,Richard Cruz,Portland State,,,,,0.62,0.38,,
3319,1994,TE,Rickey Brady,Oklahoma,6,167,Rams,,4.63,8.1,,
3320,1994,LB,Rob Fredrickson,Michigan State,1,22,Raiders,,9.18,9.86,,
3321,1994,LB,Rob Holmberg,Penn State,7,217,Raiders,,,,,
3322,1994,DT,Rob Waldrop,Arizona,5,156,Chiefs,,2.47,2.15,,
3323,1994,QB,Robert Cobb,Louisiana-Monroe,,,,,,,,
3324,1994,RB,Robert Strait,Baylor,6,171,Browns,,,,,
3325,1994,OG,Rod Smith,Ohio State,,,,,2.05,2.11,,
3326,1994,TE,Roderick Lewis,Arizona,5,157,Texans,,7.73,9.8,,
3327,1994,SS,Rodney Harrison,Western Illinois,5,145,Chargers,|ProBowl|,,,,
3328,1994,DT,Romeo Bandison,Oregon,3,75,Browns,,4.48,5.64,,
3329,1994,RB,Ron Rivers,Frenso State,,,,,2.48,4.38,,
3330,1994,LB,Ron Woolfork,Colorado,,,,,,,,
3331,1994,OT,Ronald Edwards,North Carolina A&T,6,189,Rams,,0.84,1.78,,
3332,1994,LB,Ronnie Woolfork,Colorado,4,112,Dolphins,,,,,
3333,1994,OG,Roosevelt Patterson,Alabama,5,159,Raiders,,,,,
3334,1994,TE,Ross Hales,Indiana,,,,,3.6,6.67,,
3335,1994,OG,Rudy Barber,Miami,,,,,6.04,7.67,,
3336,1994,LB,Ruffin Hamilton,Tulane,6,175,Packers,,,,,
3337,1994,LB,Ryan Mccoy,Houston,6,174,Eagles,,0.62,0.66,,
3338,1994,WR,Ryan Yarborough,Wyoming,2,41,Jets,,4.18,8.03,,
3339,1994,DT,Sam Adams,Texas A&M,1,8,Seahawks,|ProBowl|,,,,
3340,1994,LB,Sam Rogers,Colorado,2,64,Bills,,,,,
3341,1994,RB,Scott Schulte,Hillsdale,,,,,6.8,8.93,,
3342,1994,CB,Sean Crocker,North Carolina,4,130,Bills,,3.71,7.17,,
3343,1994,CB,Sean Hill,Montana State,7,214,Dolphins,,,,,
3344,1994,RB,Sean Jackson,Florida State,4,129,Texans,,4.4,6.74,,
3345,1994,DT,Shane Bonham,Tennessee,3,93,Lions,,7.94,9.08,,
3346,1994,TE,Shannon Mitchell,Georgia,,,,,0.13,0.48,,
3347,1994,LB,Shante Carver,Arizona State,1,23,Cowboys,,1.25,1.99,,
3348,1994,LB,Shawn Smith,San Diego State,,,,,7.91,9.3,,
3349,1994,CB,Shelly Hammonds,Penn State,5,134,Vikings,,0.51,1.72,,
3350,1994,OG,Stacy Seegars,Clemson,,,,,2.64,2.41,,
3351,1994,FS,Steve Hawkins,Western Michigan,6,166,Patriots,,8.89,10,,
3352,1994,QB,Steve Matthews,Memphis,7,199,Chiefs,,,,,
3353,1994,LB,Steve Shine,Northwestern,3,86,Bengals,,7.43,9.41,,
3354,1994,DE,Ta'ase Faumui,Hawaii,4,122,Steelers,,4.75,7.27,,
3355,1994,LB,Terry Irving,McNeese State,4,115,Cardinals,,,,,
3356,1994,WR,Terry Mickens,Florida A&M,5,146,Packers,,1.87,4.12,,
3357,1994,RB,Terry Richardson,Syracuse,,,,,7.91,9.42,,
3358,1994,TE,Terry Samuels,Kentucky,6,172,Cardinals,,,,,
3359,1994,WR,Terry Smith,Clemson,,,,,1.83,3.91,,
3360,1994,WR,Thomas Lewis,Indiana,1,24,Giants,,3.13,6.33,,
3361,1994,CB,Thomas Randolph,Kansas State,2,47,Giants,,6.9,8.61,,
3362,1994,DT,Tim Bowens,Ole Miss,1,20,Dolphins,|ProBowl|,,,,
3363,1994,OG,Tim Ruddy,Notre Dame,2,65,Dolphins,|ProBowl|,,,,
3364,1994,SS,Tito Wooten,Louisiana Monroe,4,,Giants,,,,,
3365,1994,SS,Toby Wright,Nebraska,2,49,Rams,,3.8,4.66,,
3366,1994,WR,Todd Dixon,Wake Forest,,,,,2.61,5.19,,
3367,1994,OG,Todd Norman,Notre Dame,,,,,1.41,1.8,,
3368,1994,OT,Todd Steussie,California,1,19,Vikings,|ProBowl|,,,,
3369,1994,DE,Toddrick Mcintosh,Florida State,7,216,Cowboys,,0.92,2.61,,
3370,1994,LB,Tom Beer,Wayne State,7,215,Lions,,,,,
3371,1994,OT,Tom Gallagher,Washington,,,,,7.16,9.3,,
3372,1994,OC,Tom Nalen,Boston College,7,218,Broncos,|ProBowl|,5.81,6.52,,
3373,1994,LB,Tony Peterson,Notre Dame,5,153,49ers,,,,,
3374,1994,OT,Tony Semple,Memphis,5,154,Lions,,,,,
3375,1994,RB,Tony Vinson,Towson,5,160,Chargers,,5.64,8.08,,
3376,1994,TE,Tracy Greene,Grambling State,7,219,Chiefs,,0.56,0.88,,
3377,1994,OT,Tre' Johnson,Temple,2,31,Redskins,|ProBowl|,5.09,6.86,,
3378,1994,QB,Trent Dilfer,Fresno State,1,6,Buccaneers,|ProBowl|,,,,
3379,1994,OT,Trent Pollard,Eastern Washington,5,132,Bengals,,0.85,1.24,,
3380,1994,LB,Trev Alberts,Nebraska,1,5,Colts,,,,,
3381,1994,WR,Turhon OBannon,New Mexico,,,,,5.45,8.66,,
3382,1994,WR,Tydus Winans,Frenso State,3,68,Redskins,,6.48,8.51,,
3383,1994,WR,Tyler Anderson,Brigham Young,,,,,0.35,0.87,,
3384,1994,LB,Tyler Lawrence,North Carolina State,,,,,1.02,1.15,,
3385,1994,DT,Tyoka Jackson,Penn State,,,,,5.3,5.15,,
3386,1994,CB,Tyronne Drakeford,Virginia Tech,2,62,49ers,,2.52,5.86,,
3387,1994,CB,Van Malone,Texas,2,57,Lions,,,,,
3388,1994,CB,Vaughn Bryant,Stanford,4,124,Lions,,,,,
3389,1994,OG,Vaughn Parker,UCLA,2,63,Chargers,,2.74,3.46,,
3390,1994,TE,Walter Rasby,Wake Forest,,,,,1.07,2.72,,
3391,1994,OT,Wayne Gandy,Auburn,1,15,Rams,,,,,
3392,1994,RB,William Bell,Georgia Tech,,,,,6,8.57,,
3393,1994,FB,William Floyd,Florida State,1,28,49ers,,6.08,8.41,,
3394,1994,DE,William Gaines,Florida,5,147,Dolphins,,1.27,2.8,,
3395,1994,CB,Willie Clark,Notre Dame,3,82,Chargers,,3.87,6.72,,
3396,1994,FB,Willie English,Central Florida,,,,,0.68,0.87,,
3397,1994,WR,Willie Jackson,Florida,4,109,Cowboys,|1kREC-2001|750REC-2001|,8.17,9.88,,
3398,1994,DE,Willie Mcginest,Southern California,1,4,Patriots,"|ProBowl|10SACKS-1995|7.5SACK-1995,1996,1999,2004|",9.52,10,,
3399,1994,FS,Willie Nelson,Ohio State,,,,,2.49,5.71,,
3400,1994,TE,Willie Stubbins,Texas Southern,,,,,1.74,3.4,,
3401,1994,LB,Winfred Tubbs,Texas,3,79,Saints,|ProBowl|,,,,
3402,1994,LB,Zane Beehn,Kentucky,7,207,Chargers,,,,,
3403,1995,WR,A.C. Tellison,Miami,7,231,Browns,,,,,
3404,1995,RB,Aaron Hayden,Tennessee,4,104,Chargers,,,,,
3405,1995,OG,Adam Timmerman,South Dakota State,7,230,Packers,,,,,
3406,1995,DB,Alundis Brice,Mississippi,4,129,Cowboys,,,,,
3407,1995,TE,Andre President,Angelo State,,,,,1.47,3.96,,
3408,1995,OG,Andrew Greene,Indiana,2,53,Dolphins,,5.08,7.22,,
3409,1995,OT,Andrew Peterson,Washington,5,171,Panthers,,,,,
3410,1995,DB,Anthony Bridges,North Texas,6,205,Cardinals,,,,,
3411,1995,OT,Anthony Brown,Utah,,,,,2.14,3.35,,
3412,1995,DT,Anthony Cook,South Carolina State,2,35,Texans,|7.5SACK-1996|,,,,
3413,1995,RB,Anthony Shelman,Louisville,,,,,4,6.06,,
3414,1995,LB,Antonio Armstrong,Texas A&M,6,201,49ers,,,,,
3415,1995,WR,Antonio Freeman,Virginia Tech,3,90,Packers,|ProBowl|1.25kREC-1998|1kREC-1997;1998;1999|750REC-1996;1997;1998;1999;2000;2001|,,,,
3416,1995,OT,Arnold Vaitai,UTEP,,,,,1.02,2.41,,
3417,1995,WR,Aubrey Hill,Florida,,,,,0.68,1.5,,
3418,1995,OG,Barret Robbins,Texas Christian,2,49,Raiders,|ProBowl|,3.77,4.17,,
3419,1995,OT,Barrett Brooks,Kansas State,2,58,Eagles,,3.58,6.84,,
3420,1995,CB,Barron Miles,Nebraska,6,199,Steelers,,0.21,0.49,,
3421,1995,DE,Ben Talley,Tennessee,4,133,Giants,,3.41,5.59,,
3422,1995,OT,Billy Milner,Houston,1,25,Dolphins,,5.25,8.35,,
3423,1995,WR,Billy Williams,Tennessee,7,212,Cardinals,,1.38,3.87,,
3424,1995,OT,Blake Brockermeyer,Texas,1,29,Panthers,,,,,
3425,1995,RB,Bobby Phillips,Virginia Union,,,,,5.7,8.05,,
3426,1995,DB,Bobby Taylor,Notre Dame,2,50,Dolphins,|ProBowl|,,,,
3427,1995,WR,Brandon Harrison,Howard Payne,6,183,Chargers,,,,,
3428,1995,OG,Brendan Stai,Nebraska,3,91,Steelers,,,,,
3429,1995,OG,Brenden Stai,Nebraska,,,,,9.72,10,,
3430,1995,RB,Brent Moss,Wisconsin,,,,,0.45,0.69,,
3431,1995,OG,Brian Bravy,Georgia Tech,,,,,0.95,0.42,,
3432,1995,OT,Brian Demarco,Michigan State,2,40,Jaguars,,1.94,2.78,,
3433,1995,LB,Brian Gelzheiser,Penn State,6,187,Colts,,,,,
3434,1995,RB,Brian Pruitt,Central Michigan,,,,,,,,
3435,1995,FS,Brian Robinson,Auburn,,,,,1.18,1.88,,
3436,1995,OT,Brian Thure,California,6,176,Redskins,,,,,
3437,1995,LB,Brian Williams,Southern California,3,73,Packers,,4.98,7.5,,
3438,1995,DE,Bronzell Miller,Utah,7,239,Rams,,0.64,1.86,,
3439,1995,DT,Bryan Proby,Arizona State,6,202,Chiefs,,2.73,3.9,,
3440,1995,LB,Bryan Schwartz,Augustana,2,64,Jaguars,,6.28,8.73,,
3441,1995,P,Bryne Diehl,Alabama,7,225,Giants,,,,,
3442,1995,WR,Burt Thornton,Purdue,,,,,2.09,3.9,,
3443,1995,TE,Byron Chamberlain,Wayne State,7,222,Broncos,|ProBowl|,4.75,7.68,,
3444,1995,SS,C J Richardson,Miami,,,,,0.73,0.51,,
3445,1995,DB,C.J. Richardson,Miami,7,211,Texans,,,,,
3446,1995,DB,Carl Greenwood,UCLA,5,142,Jets,,,,,
3447,1995,FS,Carl Kidd,Arkansas,,,,,2.99,6.13,,
3448,1995,DE,Carl Reeves,North Carolina State,6,198,Bears,,,,,
3449,1995,OG,Carlos Cosby,Jackson State,,,,,,,,
3450,1995,DB,Carlos Yancy,Georgia,7,234,Patriots,,,,,
3451,1995,RB,Casey Mcbeth,Toledo,,,,,2.17,4.07,,
3452,1995,CB,Cedric Davis,Tennessee State,5,150,Cardinals,,1.54,3.63,,
3453,1995,DB,Chad Cota,Oregon,7,209,Panthers,,,,,
3454,1995,DT,Chad Eaton,Washington State,7,241,Cardinals,,1.58,2.03,,
3455,1995,QB,Chad May,Kansas State,4,111,Vikings,,,,,
3456,1995,RB,Charles Way,Virginia,6,206,Giants,,,,,
3457,1995,WR,Charlie Simmons,Georgia Tech,6,173,Packers,,,,,
3458,1995,DB,Charlie Williams,Bowling Green,3,92,Cowboys,,,,,
3459,1995,LB,Chris Cowart,Florida,4,100,Chargers,,,,,
3460,1995,DB,Chris Hudson,Colorado,3,71,Jaguars,,,,,
3461,1995,WR,Chris Jones,Miami,3,78,Eagles,|750REC-1996|,2.88,5.46,,
3462,1995,OC,Chris ONeal,Northern Illinois,,,,,,,,
3463,1995,WR,Chris Sanders,Ohio State,3,67,Texans,|750REC-1995;1996|,5.95,8.83,,
3464,1995,SS,Chris Shelling,Auburn,,,,,2.31,2.44,,
3465,1995,TE,Christian Fauria,Colorado,2,39,Seahawks,,,,,
3466,1995,CB,Claudius Wright,Arizona,,,,,4.69,7.75,,
3467,1995,DB,Clifton Abraham,Florida State,5,143,Buccaneers,,,,,
3468,1995,FB,Clifton Groce,Texas A&M,,,,,1.84,2.57,,
3469,1995,WR,Clyde Mccoy,Arizona State,,,,,2.34,4.79,,
3470,1995,K,Cole Ford,USC,7,247,Steelers,,,,,
3471,1995,CB,Corey Fuller,Florida State,2,55,Vikings,,2.33,5.09,,
3472,1995,DE,Corey Swinson,Hampton,7,233,Dolphins,,1.35,1.53,,
3473,1995,OC,Cory Raymer,Wisconsin,2,37,Redskins,,4.17,6.06,,
3474,1995,RB,Cory Schlesinger,Nebraska,6,192,Lions,,,,,
3475,1995,CB,Craig Newsome,Arizona State,1,32,Packers,,0.35,0.97,,
3476,1995,LB,Craig Powell,Ohio State,1,30,Browns,,,,,
3477,1995,QB,Craig Whelihan,Pacific,6,197,Chargers,,,,,
3478,1995,WR,Curtis Ceaser,Grambling State,7,217,Jets,,,,,
3479,1995,RB,Curtis Johnson,North Carolina,,,,,2.37,5.49,,
3480,1995,WR,Curtis Marsh,Utah,7,219,Jaguars,,2.29,4.07,,
3481,1995,RB,Curtis Martin,Pittsburgh,3,74,Patriots,|HOF|ProBowl|1.25kRUSH-1995;1998;199;2001;2003;2004|1kRUSH-1995;1996;1997;1998;1999;2000;2001;2002;2003;2004|750RUSH-1995;1996;1997;1998;1999;2000;2001;2002;2003;2004|,8.75,9.35,,
3482,1995,DE,Dameian Jeffries,Alabama,4,108,Saints,,,,,
3483,1995,LB,Damien Covington,North Carolina State,3,96,Bills,,1.18,2.09,,
3484,1995,LB,Dana Howard,Illinois,5,168,Cowboys,,,,,
3485,1995,RB,Darick Holmes,Portland State,7,244,Bills,,,,,
3486,1995,DT,Darius Holland,Colorado,3,65,Packers,,,,,
3487,1995,LB,Darnell Stephens,Clemson,,,,,0.54,0.6,,
3488,1995,DT,Darren Benson,Trinity Valley,3,,Cowboys,,,,,
3489,1995,LB,Darryl Major,Missouri,,,,,4.55,6.17,,
3490,1995,FS,Darryl Pounds,Nicholls State,3,68,Redskins,,2.43,4.38,,
3491,1995,QB,Dave Barr,California,4,119,Eagles,,,,,
3492,1995,OC,Dave Wohlabaugh,Syracuse,4,112,Patriots,,8.21,8.83,,
3493,1995,WR,David Dunn,Fresno State,5,139,Bengals,,,,,
3494,1995,WR,David Rhodes,Central Florida,,,,,0.83,1.98,,
3495,1995,TE,David Sloan,New Mexico,3,70,Lions,|ProBowl|,5.81,8.72,,
3496,1995,OT,Derek West,Colorado,5,149,Colts,,4.32,6.75,,
3497,1995,DE,Derrick Alexander,Florida State,1,11,Vikings,|7.5SACK-1998|,,,,
3498,1995,LB,Derrick Brooks,Florida State,1,28,Buccaneers,,,,,
3499,1995,FS,Devin Bush,Florida State,1,26,Falcons,,,,,
3500,1995,RB,Dino Philyaw,Oregon,6,195,Patriots,,4.13,6.34,,
3501,1995,DE,Don Sasa,Washington State,3,93,Chargers,,0.28,0.34,,
3502,1995,LB,Donta Jones,Nebraska,4,125,Steelers,,6.92,8.77,,
3503,1995,OC,Duane Conway,Eastern Illinois,,,,,2.83,4.57,,
3504,1995,LB,Dwayne Harris,Nebraska,,,,,0.91,1.71,,
3505,1995,QB,Ed Daniels,Langston,,,,,1.09,2.84,,
3506,1995,WR,Eddie Goines,North Carolina State,6,203,Seahawks,,,,,
3507,1995,LB,Eddie Mason,North Carolina,6,178,Jets,,,,,
