PLAYERID,40,20,10,BENCH,VERTICAL,BROAD,SHUTTLE,CONE,ARMLENGTH,HANDSIZE
11557,4.5,2.67,1.6,22,35.5,1003,4.35,7.44,,
11558,4.4,2.59,1.56,,,,4.37,7.04,32.875,9.875
11559,4.73,2.79,1.68,16,29,905,4.42,6.9,31.375,9
11560,4.43,2.6,1.56,14,38.5,1007,4.23,6.95,,
11561,5.09,2.83,1.72,28,31,905,4.38,7.29,33,9.5
11562,4.88,2.78,1.68,25,32,902,4.57,7.52,33.125,9
11563,,,,,,,,,30.75,9
11564,4.38,2.6,1.52,16,33,1000,4.13,7.02,,
11565,4.69,2.65,1.55,24,32,910,4.12,6.75,,
11566,,,,,,,,,,
11567,4.91,2.84,1.74,,29,900,4.59,7.35,,
11568,4.45,2.59,1.55,,,,4.19,6.69,32.375,8.625
11569,4.72,2.71,1.58,19,36,910,4.34,6.91,,
11570,4.52,2.61,1.58,24,40,1100,4.23,7.07,,
11571,,,,,,,,,32.75,10.25
11572,4.66,2.78,1.61,21,34.5,906,4.37,7.15,,
11573,,,,,,,,,34.75,10
11574,4.54,2.6,1.66,19,34,1001,,,32,9.5
11575,4.43,2.58,1.55,,41,1003,4.21,6.97,,
11576,4.53,2.6,1.57,11,30.5,905,4.65,7.83,,
11577,,,,,,,,,,
11578,5.2,3,1.88,21,25.5,811,4.9,7.77,,
11579,4.4,2.47,1.5,17,40,1005,4.21,6.84,,
11580,4.85,2.84,1.64,21,30,809,4.6,7.44,32.75,10.125
11581,,,,,,,,,33.875,9.25
11582,4.71,2.73,1.65,19,31,903,4.5,7.15,,
11583,4.79,2.76,1.63,,,,,,33,9.25
11584,,,,16,30.5,,4.57,7.04,32.5,10.25
11585,,,,,,,4.53,7.51,30.5,9.875
11586,4.52,2.63,1.53,8,32.5,1001,,,30.125,8.5
11587,4.79,2.68,1.68,15,31.5,911,4.4,7.13,,
11588,,,,,,,4.44,7.28,31,9.125
11589,,,,11,,1002,4.56,7.01,31,9
11590,4.76,2.72,1.62,25,33,911,4.45,7.13,33,10.5
11591,4.72,2.75,1.66,17,30,902,4.63,7.24,,
11592,,,,,,,,,,
11593,,,,,,,4.58,7.33,33.5,9.375
11594,4.43,2.56,1.55,,,,,,31.625,8.625
11595,4.5,2.68,1.65,22,40.5,1005,4.13,6.68,,
11596,,,,,,,,,,
11597,,,,15,36.5,,,,31,9.25
11598,4.56,2.61,1.55,,,,4.31,7.28,,
11599,4.9,2.84,1.68,32,28,804,,7.9,32.25,10.25
11600,4.97,2.93,1.73,,,,,7.69,31.625,9.625
11601,,,,,,,,,33.375,9.375
11602,4.87,2.68,1.68,24,35,910,4.23,6.93,,
11603,4.59,2.69,1.62,,35.5,,4.39,7.25,31.125,8.75
11604,,,,,,,,,31.625,9.625
11605,5.11,2.91,1.69,,31,809,4.45,7.32,,
11606,4.5,2.56,1.56,21,38.5,1005,4.45,6.98,,
11607,,,,,,,,,,
11608,4.46,2.64,1.58,9,41,1010,4.23,6.96,,
11609,4.41,2.56,1.49,15,40,1009,4.56,7.14,,
11610,4.56,2.65,1.63,16,37,908,4.51,7.4,,
11611,,,,,,806,4.77,8.16,34,9.5
11612,4.5,2.56,1.57,7,32.5,906,4.31,7.07,,
11613,4.62,2.75,1.69,24,36,1001,4.61,7.37,,
11614,,,,,,,,,,
11615,4.43,2.58,1.55,,41,1003,4.21,6.97,31.875,9.75
11616,,,,,,,,,33.125,10
11617,4.62,2.72,1.65,,,,,,31.375,9.75
11618,,,,,,,,,30,9
11619,4.82,2.8,1.67,,,,,,33.875,11.125
11620,4.66,2.74,1.66,26,30.5,909,,,32.25,9.5
11621,,,,,33,905,4.31,7.01,31,9.375
11622,5.24,2.97,1.81,28,,902,4.74,8.06,,
11623,,,,,,,,,,
11624,4.78,2.76,1.7,8,26.5,902,4.37,6.94,,
11625,5.16,3.05,1.81,23,23.5,802,4.89,8.17,,
11626,,,,,,,,,34.125,10
11627,,,,,,,,,,
11628,4.52,2.57,1.62,11,36.5,1005,4.47,7.28,,
11629,,,,15,,,,,30.25,9
11630,5.15,3,1.81,27,29,904,4.67,7.38,,
11631,,,,,,,,,31.5,9.25
11632,4.52,2.7,1.63,14,33.5,904,4.15,6.8,,
11633,,,,,,,,,,
11634,4.88,2.83,1.78,23,28.5,902,4.42,7.26,33,9.375
11635,5.17,3.02,1.75,40,30.5,902,4.66,7.95,,
11636,4.85,2.78,1.63,,31.5,909,4.37,,32.5,9.5
11637,,,,,,,,,33,10.625
11638,5.02,2.9,1.68,20,30,811,4.62,7.2,,
11639,4.6,2.68,1.62,,,,4.38,7.13,31.25,9.25
11640,4.56,,,18,,,,,30,10
11641,4.85,2.83,1.7,23,33.5,1000,4.39,7.15,32.5,10.375
11642,4.49,2.66,1.59,13,35,910,4.42,7.12,,
11643,4.44,2.55,1.56,,32,906,4.41,,,
11644,,,,,,,,,33.125,10.25
11645,,,,,,,,,33.375,9.25
11646,,,,,,,,,34.625,9.875
11647,4.59,2.73,1.62,17,37.5,905,4.53,7.04,31,9.625
11648,5.24,3.03,1.84,,,,4.59,7.7,31.25,10
11649,5.38,3.05,1.87,23,28,805,4.69,7.88,,
11650,4.56,2.57,1.49,,36,911,4.38,7.18,33,10.25
11651,4.9,2.85,1.7,16,30.5,902,4.79,7.41,33.625,10.25
11652,4.97,2.94,1.75,26,26,807,4.46,7.93,33.375,9.375
11653,4.8,2.75,1.65,21,32,911,4.33,6.99,32.75,9.625
11654,,,,,,,,,31.75,9.5
11655,5.3,3.12,1.72,30,25.5,807,4.82,7.55,,
11656,4.5,2.65,1.5,13,34,900,4.12,6.92,,
11657,,,,,,,5.5,,33.25,10.25
11658,,,,,,,,,,
11659,,,,,,,,,33.75,9.75
11660,,,,,,,,,32.375,9.75
11661,,,,,,,,,33.75,9.625
11662,4.73,2.76,1.7,14,33,908,4.41,7.26,,
11663,4.78,2.74,1.67,21,30.5,900,4.33,7.05,31,9.375
11664,4.68,2.74,1.63,4,36,910,4.3,7.07,,
11665,,,,,,,,,32.875,9.5
11666,4.7,2.66,1.64,17,32,911,4.48,6.89,,
11667,,,,30,32.5,901,,,32.625,10.25
11668,4.72,2.72,1.68,,,,4.51,6.99,30.5,9.5
11669,4.75,2.7,1.61,24,34,907,4.29,6.99,,
11670,4.87,2.56,1.7,14,29,903,4.36,7.2,31,9
11671,4.7,2.7,1.64,,33,905,4.33,7.59,,
11672,4.53,2.64,1.59,14,32.5,1002,4.32,6.96,,
11673,,,,,,,,,,
11674,,,,,,,5,,33.75,10.375
11675,,,,,,,,,,
11676,4.39,2.59,1.54,21,,,,,32.25,9.125
11677,,,,,,,,,,
11678,4.4,2.5,1.53,14,37.5,1002,4.07,6.71,31.5,9
11679,4.43,2.61,1.59,20,37.5,1002,4.39,7.08,,
11680,5.45,3.13,1.89,,24,707,,,33.375,10.25
11681,4.59,2.69,1.65,20,,911,,,32,10.125
11682,4.5,2.6,1.59,,,,,,32.125,9.125
11683,4.65,2.68,1.64,15,31,1000,4.25,7.13,,
11684,4.63,2.69,1.59,12,35,1005,4.59,7.16,,
11685,,,,,,,,,33.375,10
11686,4.66,2.72,1.57,15,36,1007,4.51,7.18,,
11687,,,,,,,4.48,7.52,31.75,9.5
11688,,,,,34,,,,31.5,10
11689,4.78,2.76,1.67,,,,,,32.75,9.625
11690,4.55,2.63,1.48,,,,,,30,8.625
11691,4.44,2.56,1.57,12,37.5,1003,4.09,6.93,,
11692,,,,,,,,,,
11693,,,,23,,,,7.51,33.5,10
11694,,,,,,,,,,
11695,4.52,2.7,1.53,12,,,4.34,6.96,,
11696,,,,,,,,,34.375,10.625
11697,,,,,,,,,32.75,10.25
11698,4.97,2.86,1.72,21,,,,,33.75,9.75
11699,4.93,2.87,1.75,,29,810,4.41,7.45,31.625,9.625
11700,,,,,,,,,33.5,10.125
11701,,,,,,,,,,
11702,,,,,,,,,32,9.25
11703,4.63,2.65,1.52,,,,4.56,7.03,31.5,8.5
11704,5.3,2.83,1.8,25,27.5,902,4.87,7.59,,
11705,,,,,35,1007,4.38,7.19,30.75,9.25
11706,5.48,3.09,1.84,,25.5,804,5.38,8.4,34.125,10.875
11707,,,,,,,,,33,10.5
11708,4.81,2.77,1.75,17,34,906,4.75,7.56,,
11709,5.34,3.03,1.72,26,22.5,803,5.18,8.39,,
11710,5.17,2.83,1.71,,34,811,4.53,7.65,,
11711,5.27,3.01,1.81,,,,4.79,7.77,32.875,10
11712,4.35,2.56,1.51,21,39.5,1005,4.21,6.98,,
11713,4.99,2.89,1.73,27,30.5,902,,,,
11714,4.5,2.65,1.56,20,,,,,30,9
11715,,,,,,,,,33,9.75
11716,,,,,,,,,32,10
11717,5.05,2.79,1.73,24,31.5,1003,4.25,7.22,,
11718,,,,19,,,,,30.75,9
11719,4.79,2.78,1.69,16,30,908,4.52,7.32,32.625,10.75
11720,,,,,,,,,33,9
11721,5.22,3.06,1.84,23,27,801,4.79,7.92,,
11722,,,,,,,,,,
11723,,,,18,,,,,33.125,10
11724,4.91,2.8,1.7,20,33,903,4.18,7.1,,
11725,,,,,,909,,7.15,31.5,9
11726,5.61,3.22,1.96,22,27,711,5.15,8.08,33,10.125
11727,,,,,,,,,30.5,9
11728,5,2.85,1.73,24,31.5,902,,,34.625,11
11729,4.78,2.8,1.68,27,32,907,4.3,7.09,,
11730,4.54,2.59,1.63,11,38,1003,4.04,6.8,,
11731,,,,,,,,,,
11732,,,,,,,,,34.25,9.25
11733,4.62,2.65,1.63,22,33.5,909,4.33,7.06,,
11734,,,,,,,,,,
11735,4.49,2.58,1.55,19,38,1006,4.47,7.28,,
11736,,,,22,32.5,811,4.57,7.18,33.375,11
11737,,,,,,,,,,
11738,4.51,2.68,1.55,23,37,910,4.43,7.18,,
11739,4.54,2.61,1.6,,,,,,30.25,9
11740,,,,,,,,,,
11741,4.87,2.81,1.69,20,33.5,902,4.22,7.09,,
11742,4.26,2.35,1.51,18,36.5,1007,,,32,9.25
11743,5.51,3.1,1.84,17,26.5,900,,,32,9
11744,,,,,,,,,32.125,10.5
11745,4.77,2.75,1.7,18,25.5,811,4.42,7.02,,
11746,4.89,2.76,1.7,23,35.5,1002,4.37,7.23,34.75,10.375
11747,4.75,2.64,1.58,25,38.5,911,4.4,7.03,,
11748,4.51,2.62,1.58,14,37.5,1002,4.23,6.65,,
11749,4.76,2.72,1.67,28,33,909,4.42,7.29,,
11750,4.47,2.53,1.53,25,38.5,1003,4.3,7.33,,
11751,,,,,,,,,31,9.5
11752,,,,,,,,,,
11753,4.47,2.58,1.5,15,43,1100,4.27,7,,
11754,,,,,,,,,31.375,9
11755,,,,,,,,,31.875,10
11756,4.53,2.64,1.59,18,34.5,1000,4.38,6.88,,
11757,,,,,,,,,,
11758,4.43,2.52,1.5,18,,,,,32,10
11759,4.56,2.6,1.56,17,34.5,1003,4.24,6.97,,
11760,4.62,2.65,1.58,19,31,910,4.57,7.22,,
11761,,,,,,,,,33.5,10.125
11762,,,,,,,4.25,,29.625,8.875
11763,,,,,,,,,33.625,9.625
11764,,,,,,,,,34.125,10.375
11765,5.32,3.06,1.84,19,24.5,806,4.97,8.16,,
11766,4.8,2.83,1.68,29,35,908,4.07,6.93,,
11767,4.49,2.57,1.51,14,39,1007,4.12,6.71,,
11768,5.68,3.26,1.85,19,24,709,5.01,8.37,,
11769,4.57,2.66,1.58,14,32.5,903,4.32,7,,
11770,,,,28,,,,,34.625,11
11771,4.76,2.76,1.68,,38,1003,4.54,7.51,,
11772,4.77,2.7,1.65,19,36.5,910,4.22,6.97,,
11773,4.86,2.75,1.71,24,30.5,1000,4.55,7.51,,
11774,,,,,,,,,35.875,10
11775,,,,,,,,,33.375,9.75
11776,4.46,2.64,1.58,21,40.5,1002,4.28,6.94,,
11777,4.97,2.86,1.7,19,30,904,4.63,7.58,34,9.375
11778,5.13,3.03,1.9,25,29.5,810,4.74,7.91,,
11779,4.39,2.58,1.51,17,39.5,1105,4.17,7.08,,
11780,,,,,,,,,31.375,8.75
11781,5.44,3.07,1.83,24,24.5,711,4.94,7.9,,
11782,,,,,,,,,33.375,10.875
11783,4.73,2.7,1.62,21,36,911,4.48,7.24,,
11784,,,,,,,,,,
11785,,,,,,,,,33.75,9.875
11786,4.57,2.59,1.5,2,33.5,905,4.22,7.27,,
11787,4.68,2.69,1.6,11,,,,7.03,31.5,9.875
11788,4.9,2.79,1.68,24,30.5,903,4.43,7.43,33.25,10
11789,4.97,2.88,1.75,28,29,905,,,,
11790,,,,,,,,,,
11791,5.04,2.9,1.72,25,28.5,902,5.08,8.09,,
11792,5.19,3,1.83,28,28,811,4.55,7.96,,
11793,,,,,,,,,31.625,9.125
11794,,,,,,,,,34,10.25
11795,,,,,,,,,31.375,9.5
11796,4.52,2.58,1.58,12,,,,,32.625,9.125
11797,4.98,2.91,1.73,20,27,810,4.75,7.41,,
11798,5.36,3.04,1.71,28,28,807,4.65,7.92,,
11799,,,,,,,,,31.25,8.375
11800,,,,,,,,,,
11801,5.11,2.97,1.78,17,,,,,34.5,9.25
11802,4.28,2.52,1.57,22,37,1007,4.08,7,,
11803,5.34,3.06,1.87,,31,900,4.81,8.4,35.625,10.75
11804,5.38,3.16,1.92,25,25,707,4.92,7.84,,
11805,,,,,,,,,29.75,9.25
11806,4.71,2.68,1.59,21,36,1005,4.42,7.25,,
11807,5.5,3.12,1.74,14,24,804,4.84,8.22,,
11808,4.56,2.6,1.56,17,34.5,1003,4.24,6.97,,
11809,,,,,,,,,33.625,10
11810,5.55,,,10,23.5,707,,,33.75,9.875
11811,,,,,35,,,,30.25,8.625
11812,4.6,2.63,1.58,21,36,1004,4.6,7.44,,
11813,,,,,,,4.2,6.98,31,8.875
11814,,,,,,,,,33.75,9.375
11815,4.27,2.54,1.51,13,42,1011,4.09,6.59,,
11816,5,2.9,1.77,26,27,807,4.61,7.43,,
11817,4.6,2.7,1.58,11,31.5,908,4.18,6.86,,
11818,5.26,2.92,1.76,25,33,808,4.72,7.95,,
11819,,,,,36.5,1010,4.35,6.95,34.25,10.5
11820,,,,,,,,,,
11821,,,,,,,,,32,10.25
11822,,,,,,,,,33.75,9.5
11823,4.47,2.63,1.5,,37,1003,4.29,6.95,,
11824,5.17,2.99,1.83,33,24,800,4.65,7.49,33.125,9.625
11825,4.94,2.93,,,,,4.75,7.53,32.375,9.5
11826,,,,,,,,,,
11827,5.46,3.08,1.82,22,28.5,807,4.99,7.88,,
11828,,,,,,,,,33.25,9
11829,5.29,3.16,1.9,16,22.5,806,4.84,7.73,33,9.75
11830,5.07,,,6,35.5,802,4.63,7.6,34.5,10.375
11831,4.38,2.5,1.48,23,39,1101,4.06,6.66,,
11832,,,,,,,,,,
11833,,,,,,,,8.18,35,9.75
11834,4.53,2.56,1.54,,39.5,1101,4.35,6.81,31.25,9
11835,5.12,2.87,1.71,27,30,900,4.78,8.12,,
11836,4.73,2.72,1.69,,,,4.55,7.01,31.625,9.375
11837,4.84,2.82,1.69,13,38,1008,4.52,7.27,,
11838,,,,,,,,,,
11839,4.74,2.68,1.64,24,34.5,905,4.31,7.15,,
11840,,,,,,,,,31,9.875
11841,4.57,2.6,1.52,,,,,,31.25,9.75
11842,,,,,33.5,906,,,31,8.75
11843,4.44,2.53,1.45,17,38.5,1006,3.8,6.64,,
11844,,,,,,,,,32.625,11
11845,4.43,2.59,1.53,,36,1001,,,31,9.125
11846,,,,,,,,,29.75,9
11847,4.95,2.8,1.7,31,34,904,4.32,7.26,,
11848,4.66,2.71,1.59,28,31,911,4.32,7.07,,
11849,4.4,2.53,1.53,20,37,1001,4.22,7.03,,
11850,,2.65,1.61,30,33,,,,31.875,9.5
11851,4.57,2.52,1.52,10,34.5,1004,4.23,7.02,,
11852,5.34,2.97,1.81,23,31,807,4.85,8.02,,
11853,4.62,2.64,1.59,13,34,,,,31,9.5
11854,,,,,,,,,33,10.5
11855,5.25,3.01,1.8,18,31,907,4.65,7.73,,
11856,4.62,2.6,1.57,19,35.5,1003,4.24,7.43,,
11857,,,,,,,,,33.625,9.125
11858,4.61,2.61,1.58,18,34,1003,4.44,6.95,29.75,9
11859,5.07,2.94,1.71,28,30,809,4.66,7.7,,
11860,4.56,2.62,1.59,15,38,1010,4.27,6.78,,
11861,4.46,2.58,1.56,13,32.5,1003,4.28,7.21,,
11862,4.73,2.59,1.61,26,39.5,1003,4.47,7,30.75,9.125
11863,,,,,,,,,31.25,8.875
11864,4.58,2.52,1.56,14,37.5,1100,4.32,7.24,,
11865,4.57,2.65,1.54,,,,,,32.375,9.5
11866,,,,,,,,,33.25,9.25
11867,4.5,2.6,1.57,,,,4.48,6.98,33.5,9.75
11868,,,,,,,,6.83,31,9
11869,4.43,2.56,1.56,10,40.5,1102,4.56,6.96,,
11870,4.46,2.4,1.56,,37,1004,,,,
11871,4.84,2.73,1.65,,33,908,4.57,7.23,,
11872,4.88,2.86,1.69,20,31,901,4.63,7.52,36,9.375
11873,4.53,2.59,1.55,16,37.5,1002,4.51,6.8,,
11874,,,,,,,,,,
11875,5.24,2.99,1.73,23,26,801,4.76,7.63,,
11876,4.42,2.56,1.57,21,,1001,,,30.375,8.125
11877,4.63,2.72,1.62,,32.5,901,4.2,7.09,32.375,9.5
11878,4.59,2.69,1.68,13,32.5,1000,4.31,6.97,31.375,9.25
11879,4.4,2.47,1.5,18,35.5,1000,4.4,7.28,,
11880,,,,,,,,,,
11881,5.01,2.91,1.75,,,,,,34.375,10.625
11882,4.45,2.52,1.56,17,36.5,1003,4.22,7.02,,
11883,,,,,35.5,1005,4.19,7.09,30.25,9.375
11884,,,,,33,1000,4.36,,32.5,9
11885,4.48,2.65,1.59,21,35,1004,4.05,6.9,,
11886,4.54,2.67,1.59,,,1001,4.22,6.83,31.625,9.375
11887,4.51,2.57,1.58,18,35,,4.16,6.88,30.375,9.25
11888,4.6,2.63,1.51,,30,908,4.19,6.93,,
11889,4.6,2.63,1.51,,30,908,4.19,6.93,,
11890,5.07,2.91,1.73,43,33.5,902,4.5,7.36,,
11891,4.88,2.81,1.68,22,31.5,902,4.52,7.22,31.125,10.25
11892,5.28,3.03,1.89,19,26,,4.87,7.62,33.125,10.125
11893,,,,,,,,,34,10.25
11894,4.8,2.74,1.66,30,35.5,1000,4.4,7.15,,
11895,,,,24,34.5,,,,33,9.375
11896,4.57,2.62,1.57,19,34.5,909,4.1,6.71,,
11897,,,,,,,,,34.125,9.875
11898,,,,,27,805,,,34.5,9.875
11899,5.15,2.98,1.81,25,23,709,5.16,7.93,,
11900,,,,22,,,4.14,7.14,31,9.625
11901,4.52,2.57,1.56,18,36.5,1002,4.34,7.01,,
11902,,,,,,,,,31.5,9.5
11903,4.77,2.82,1.73,23,31,,4.59,,32.875,10
11904,,,,,,,,,,
11905,4.75,2.83,1.74,22,31.5,1003,4.35,7.91,,
11906,,,,,,,,,,
11907,4.45,2.56,1.6,20,35,1004,4.29,7.03,,
11908,,,,,30.5,810,,,31.125,8.75
11909,4.52,2.57,1.59,17,34,1004,4.46,6.89,,
11910,4.66,2.63,1.58,,,,,,34.375,10.125
11911,4.88,2.78,1.68,21,33.5,904,4.3,7.31,,
11912,4.61,2.62,1.59,23,35.5,1001,4.47,7.26,,
11913,,,,,,,,,32.625,10.75
11914,4.75,2.75,1.62,,34,1001,4.35,6.97,30,10
11915,4.6,2.68,1.59,,,910,,,31.5,10
11916,4.84,2.79,1.62,,35,910,4.65,7.4,33.375,10.25
11917,4.71,2.73,1.66,,35.5,1004,4.58,7.28,,
11918,4.4,2.57,1.56,19,34.5,1003,4.27,7,,
11919,4.78,2.72,1.6,,,,4.56,7.26,32.5,10.75
11920,4.49,2.57,1.56,,,,,,32.25,9.5
11921,4.62,2.71,1.58,,27,901,4.45,7.08,32,9.5
11922,5.12,2.94,1.69,33,30,905,4.63,7.52,32.375,10
11923,,,,,,,,,,
11924,4.65,2.68,1.6,,,,,,29.625,9.125
11925,4.7,2.69,1.58,20,40,1101,4.33,6.78,,
11926,4.66,2.64,1.58,19,35,1002,4.28,7.15,,
11927,4.93,2.77,1.71,20,34.5,904,4.37,7.16,32.5,9.625
11928,4.66,2.72,1.56,,30.5,810,4.4,,31.25,9.625
11929,,,,23,,,,,33.5,9.75
11930,4.68,2.67,1.63,,26.5,809,4.29,7.26,,
11931,5.03,2.82,1.69,,,,4.74,7.85,32.125,10.25
11932,5.14,2.97,1.8,26,27.5,903,4.87,7.9,,
11933,4.52,2.57,1.6,,33,910,4.18,6.83,30.375,10.25
11934,,,,,,,,,30.875,9.625
11935,4.5,2.57,1.54,11,36,1007,4.22,6.89,,
11936,5.24,,,12,24.5,805,,,,
11937,4.59,2.59,1.53,14,34,1004,4.13,6.98,,
11938,4.62,2.72,1.58,17,36.5,1009,4.26,6.89,,
11939,,,,,,,,,31.125,8.25
11940,,,,23,,,4.63,7.32,31.5,9.125
11941,5.12,2.93,1.82,33,31,900,4.78,7.51,32,10.125
11942,4.72,2.75,1.65,17,31,905,4.4,7.12,,
11943,4.63,2.69,1.59,22,36.5,1004,4.43,7.01,,
11944,,,,,,,,,,
11945,4.6,2.65,1.56,,,,,,31.25,8.625
11946,,,,,,,,,30.625,8.625
11947,,,,,,,4.21,7.34,32.5,9
11948,4.64,2.65,1.56,,,,4.38,7.13,31.625,8.875
11949,,,,,,,,,33.75,10.375
11950,,,,,,,,,,
11951,5.08,2.98,1.79,11,30.5,810,4.34,6.99,,
11952,4.54,2.6,1.62,15,31,905,4.26,6.9,,
11953,5.28,3.02,1.79,24,30.5,810,4.86,8.05,,
11954,,,,,,,,,31,9.375
11955,,,,,,,,,32.125,9.375
11956,4.86,2.75,1.63,,,,,,32.75,10.5
11957,4.66,2.69,1.64,,38,1001,4.5,7.48,,
11958,,,,,,,,,32,9.375
11959,,,,,,,,,,
11960,4.68,2.71,1.61,16,35,908,4.38,7.2,31.375,8.875
11961,,,,17,,,4.4,,32,9.5
11962,,,,,,,4.5,7.63,33.375,10.75
11963,4.46,2.58,1.56,,,1003,4.26,6.99,30.375,8.75
11964,5.08,2.95,1.74,,28,807,4.61,7.36,34.375,9.75
11965,,,,,,,,,,
11966,4.5,2.68,1.58,13,33,1003,4.3,7.08,32.375,9.875
11967,4.76,2.74,1.65,11,28.5,905,4.58,7.25,,
11968,,,,,,,,,33.5,9.75
11969,,,,,,,,,31.75,9.375
11970,4.52,2.65,1.56,10,35.5,1008,4.37,6.82,,
11971,,,,,,,,,32,10
11972,4.82,2.79,1.65,15,31,910,4.67,7.18,33.375,11
11973,,,,,,,,,,
11974,4.81,2.75,1.63,,34.5,1000,,,33.25,10.125
11975,4.6,2.66,1.56,,34,810,4.56,7.3,,
11976,,,,,,,,,,
11977,4.57,2.69,1.56,,,,4.26,6.94,,
11978,,,,,27,803,,,33.875,9.5
11979,,,,19,,,4.31,,31.5,8.75
11980,4.5,2.65,1.65,,,,,,31,9.375
11981,4.85,2.77,,10,31,905,4.62,7.47,34.25,10.5
11982,5.28,3.02,1.7,26,30.5,900,4.85,7.41,,
11983,4.69,2.78,1.69,,,,,,33,9.375
11984,4.46,2.59,1.56,24,39.5,1010,4.24,7.07,,
11985,,,,,,,,,,
11986,4.43,2.59,1.57,17,32.5,909,4.17,6.97,,
11987,4.8,2.75,1.55,28,32.5,904,4.28,7.09,31.75,10.25
11988,5.56,3.19,1.83,21,26,710,4.84,7.89,35,9.25
11989,,,,,,,,,31,9.75
11990,5.2,3.13,1.78,,28,810,4.7,7.84,33.25,10.25
11991,4.8,2.74,1.64,33,32,904,4.47,7.07,,
11992,5.32,3.09,1.89,23,,,,,32.375,9.75
11993,4.54,2.7,1.62,26,33,1002,4.68,7.36,,
11994,,,,,,,,,,
11995,,,,,,,,,32,10
11996,4.44,2.61,1.61,18,36,1010,4.08,6.87,,
11997,,,,,,,,,34.75,9.375
11998,4.59,2.64,1.58,,34.5,900,4.32,,32.5,9.375
11999,4.52,2.58,1.57,9,36.5,1002,4.46,6.69,,
12000,,,,,,,,,,
12001,4.48,2.6,1.58,18,38,1004,4.16,6.94,,
12002,4.52,2.48,1.55,,33.5,,,,30.875,8.75
12003,4.67,2.66,1.6,22,29,907,4.34,7.01,,
12004,4.62,2.72,1.66,,,,4.58,7.24,,
12005,,,,,,,,,30.75,9
12006,4.5,2.58,1.52,16,40.5,1006,4.34,7.05,,
12007,5.37,3.09,1.87,21,24.5,710,5.13,,33.125,10
12008,4.48,2.53,1.56,15,37,1006,4.21,7.06,,
12009,4.77,2.67,1.67,19,32,910,4.52,7.5,,
12010,4.48,2.7,1.67,15,,,,,32.375,9.25
12011,4.53,2.61,1.7,26,30.5,910,4.57,7.15,,
12012,,,,,37,,,,31.25,9.375
12013,,,,,,,,,31.25,9
12014,4.63,2.54,1.52,19,37.5,1000,4.15,6.88,,
12015,5.11,3,1.82,28,31.5,800,4.64,7.68,,
12016,4.57,2.62,1.6,,,,,,32.125,10
12017,4.7,2.63,1.6,16,36,1002,4.44,7.31,,
12018,4.45,2.59,1.59,,,,,,30.875,9
12019,,,,,,,,,,
12020,5.14,3,1.8,26,28,808,4.59,7.45,,
12021,5.19,2.97,1.78,34,23,810,4.93,8,,
12022,,,,,,,,,33,9.75
12023,4.63,2.67,1.64,17,35.5,911,4.47,7.05,,
12024,,,,15,,,,,31.125,9.125
12025,5.27,3.05,1.93,25,26,901,4.61,7.39,,
12026,4.66,2.74,1.65,17,35.5,909,4.49,7.23,32,9
12027,4.38,2.54,1.47,,,,,,31.625,9.25
12028,4.6,2.68,1.59,12,33,1000,4.37,7.13,,
12029,4.71,2.71,1.67,16,29,,,,31.25,9.25
12030,,,,,,,,,31,8.375
12031,4.58,2.61,1.56,23,35,909,4.31,7.09,,
12032,4.64,2.65,1.51,,,,4.25,6.86,,
12033,,,,,,,,,32.625,9.25
12034,5.05,2.87,1.66,18,36,907,4.45,7.62,,
12035,,,,,,,,,,
12036,4.86,2.68,1.55,31,38,911,4.36,7.25,,
12037,,,,13,,1003,4.4,,32.25,10.375
12038,,,,,,,,,,
12039,,,,,,,,,30.25,9.25
12040,,,,,,,,,31,9.375
12041,4.75,2.7,1.69,20,31,1001,4.24,7.07,,
12042,5.23,3.02,1.8,25,24,806,4.76,7.55,,
12043,4.49,2.63,1.58,,,911,4.19,6.82,31,9.75
12044,,,,,,,,,33.625,9.5
12045,4.65,2.66,1.58,,,,4.35,6.91,31.5,9.625
12046,,,,,,,,,,
12047,5.22,2.94,1.75,,29,900,4.71,7.77,33.625,10.125
12048,,,,,,,,,31.5,9.375
12049,4.51,2.57,1.57,18,36.5,1008,4.31,7.15,,
12050,,,,,,,,,35.125,10.375
12051,5.29,3,1.86,18,27,809,4.82,7.66,,
12052,,,,,,,,,,
12053,5.18,2.98,1.84,20,,,,,34.125,9.375
12054,,,,,,,,,34.625,10.625
12055,,,,,,,,,32.25,10.25
12056,4.6,2.69,1.68,,34.5,1003,4.19,6.78,,
12057,4.49,2.58,1.54,,,,,,29.75,9
12058,,,,,31,902,,7.24,33,9.875
12059,,,,,,,,,,
12060,,,,21,,,,,31.875,10.125
12061,4.39,2.54,1.54,20,36,1001,4.18,6.89,,
12062,4.86,2.87,1.71,,,,,,34.875,10.5
12063,4.86,2.87,1.71,,,,,,34.5,9.75
12064,4.61,2.63,1.63,18,32,907,4.15,7.05,,
12065,4.51,2.62,1.53,,,,,,32.75,10.25
12066,5.16,2.98,1.76,32,27.5,807,4.89,8,,
12067,4.68,2.74,1.66,19,32,904,4.43,7.14,,
12068,,,,,,,,,32.5,10
12069,4.76,2.72,1.63,25,30.5,910,4.47,7.12,,
12070,4.4,2.61,1.52,12,35,905,4.33,6.85,,
12071,4.91,2.84,1.69,,25.5,811,4.52,7.35,33.5,10.375
12072,,,,,,,,,32,9.875
