PLAYERID,40,20,10,BENCH,VERTICAL,BROAD,SHUTTLE,CONE,ARMLENGTH,HANDSIZE
327,,,,,,,,,28,9.5
328,,,,,,,,,30,10
329,,,,,,,,,,
330,,,,,,,,,,
331,,,,,,,,,,
332,,,,,,,,,,
333,,,,,,,,,,
334,,,,,,,,,31,10.75
335,,,,,,,,,32.5,10.25
336,,,,,,,,,,
337,,,,,,,,,31.5,8.5
338,,,,,,,,,,
339,,,,,,,,,,
340,,,,,,,,,30,9.75
341,,,,,,,,,34,9
342,,,,,,,,,30,9.5
343,,,,,,,,,29.75,8.25
344,,,,,,,,,32.5,9.75
345,,,,,,,,,,
346,,,,,,,,,31.25,9.5
347,,,,,,,,,31.25,9.25
348,,,,,,,,,31.5,8.75
349,,,,,,,,,31.5,9.25
350,,,,,,,,,32,8.75
351,,,,,,,,,32.75,9.5
352,,,,,,,,,29,10
353,,,,,,,,,,
354,,,,,,,,,27.75,9
355,,,,,,,,,31.75,9.5
356,,,,,,,,,32.5,9.5
357,,,,,,,,,31.5,10
358,,,,,,,,,29.5,8.5
359,,,,,,,,,29.75,8.5
360,,,,,,,,,,
361,,,,,,,,,31.75,9.75
362,,,,,,,,,,
363,,,,,,,,,30.75,9
364,,,,,,,,,,
365,,,,,,,,,30,9
366,,,,,,,,,30.5,9.5
367,,,,,,,,,30.5,9.25
368,,,,,,,,,,
369,,,,,,,,,,
370,,,,,,,,,34,10
371,,,,,,,,,30,9.25
372,,,,,,,,,,
373,,,,,,,,,,
374,,,,,,,,,,
375,,,,,,,,,32,9.75
376,,,,,,,,,32,9.5
377,,,,,,,,,32,8.5
378,,,,,,,,,33.5,10
379,,,,,,,,,35,10.25
380,,,,,,,,,31.25,9.5
381,,,,,,,,,32,9.25
382,,,,,,,,,30.75,10
383,,,,,,,,,,
384,,,,,,,,,32.75,8.75
385,,,,,,,,,,
386,,,,,,,,,,
387,,,,,,,,,32.5,9.75
388,,,,,,,,,33.25,9.75
389,,,,,,,,,33,10
390,,,,,,,,,,
391,,,,,,,,,31.5,9.25
392,,,,,,,,,,8.5
393,,,,,,,,,,
394,,,,,,,,,,
395,,,,,,,,,,10.25
396,,,,,,,,,,9.25
397,,,,,,,,,,9.75
398,,,,,,,,,,
399,,,,,,,,,,10
400,,,,,,,,,,9
401,,,,,,,,,,8.75
402,,,,,,,,,,8.25
403,,,,,,,,,,10.25
404,,,,,,,,,,9
405,,,,,,,,,,
406,,,,,,,,,,8.5
407,,,,,,,,,,9.75
408,,,,,,,,,,
409,,,,,,,,,,9.5
410,,,,,,,,,,
411,,,,,,,,,,10
412,,,,,,,,,,
413,,,,,,,,,,
414,,,,,,,,,,8.75
415,,,,,,,,,,8
416,,,,,,,,,,9
417,,,,,,,,,,9.25
418,,,,,,,,,,9.75
419,,,,,,,,,,
420,,,,,,,,,,9.5
421,,,,,,,,,,10
422,,,,,,,,,,
423,,,,,,,,,,9.75
424,,,,,,,,,,9.5
425,,,,,,,,,,9
426,,,,,,,,,,9.25
427,,,,,,,,,,
428,,,,,,,,,,8.75
429,,,,,,,,,,10.25
430,,,,,,,,,,9.25
431,,,,,,,,,,
432,,,,,,,,,,9
433,,,,,,,,,,10
434,,,,,,,,,,9.5
435,,,,,,,,,,
436,,,,,,,,,,
437,,,,,,,,,,10.5
438,,,,,,,,,,
439,,,,,,,,,,9.5
440,,,,,,,,,,
441,,,,,,,,,,
442,,,,,,,,,,
443,,,,,,,,,,9.25
444,,,,,,,,,,
445,,,,,,,,,,
446,,,,,,,,,,8.75
447,,,,,,,,,,
448,,,,,,,,,,9
449,,,,,,,,,,
450,,,,,,,,,,
451,,,,,,,,,,
452,,,,,,,,,,9.25
453,,,,,,,,,,10
454,,,,,,,,,,9.25
455,,,,,,,,,,9.25
456,,,,,,,,,,8.5
457,,,,,,,,,,10
458,,,,,,,,,,9.5
459,,,,,,,,,,8.25
460,,,,,,,,,,
461,,,,,,,,,,9
462,,,,,,,,,,
463,,,,,,,,,,8.75
464,,,,,,,,,,8.75
465,,,,,,,,,,
466,,,,,,,,,,8.5
467,,,,,,,,,,
468,,,,,,,,,,9
469,,,,,,,,,,9.25
470,,,,,,,,,,
471,,,,,,,,,,10
472,,,,,,,,,,
473,,,,,,,,,,9.75
474,,,,,,,,,,8.25
475,,,,,,,,,,9.5
476,,,,,,,,,,
477,,,,,,,,,,9.75
478,,,,,,,,,,
