Rank,WSIT,Overall (Team),Pos,Bye,Age,Best,Worst,Avg,Std Dev,Notes
141,,Ryan TannehillR. Tannehill TEN,QB18,,31,67,155,141.8,10.0
142,,Jared CookJ. Cook NO,TE17,,32,106,173,142.4,12.9
143,,Chase EdmondsC. Edmonds ARI,RB46,,23,109,208,145.2,24.0
144,,Jamaal WilliamsJ. Williams GB,RB47,,24,97,189,145.4,20.2
145,,Damien HarrisD. Harris NE,RB48,,23,86,183,146.7,15.9
146,,Kirk CousinsK. Cousins MIN,QB19,,31,108,167,133.4,12.9
147,,Jordan HowardJ. Howard PHI,RB49,,25,114,186,149.1,18.4
148,,Daniel JonesD. Jones NYG,QB20,,22,102,151,135.3,8.8
149,,Eric EbronE. Ebron IND,TE18,,26,108,177,153.3,13.3
150,,Nyheim HinesN. Hines IND,RB50,,23,137,179,156.5,10.8
151,,Ian ThomasI. Thomas CAR,TE19,,23,118,199,158.4,20.5
152,,Tre'Quan SmithT. Smith NO,WR63,,24,126,201,158.7,16.0
153,,Drew BreesD. Brees NO,QB21,,41,100,195,158.8,16.0
154,,Jaylen SamuelsJ. Samuels PIT,RB51,,23,98,199,163.5,17.6
155,,Miles BoykinM. Boykin BAL,WR64,,23,131,190,164.0,14.6
156,,Will DisslyW. Dissly SEA,TE20,,23,107,208,165.7,23.5
157,,Carlos HydeC. Hyde HOU,RB52,,28,94,195,154.9,21.7
158,,Kenny StillsK. Stills HOU,WR65,,27,128,199,168.0,14.8
159,,Auden TateA. Tate CIN,WR66,,23,123,193,158.4,17.0
160,,Chris Herndon IVC. Herndon NYJ,TE21,,24,149,186,172.7,10.0
161,,Keke CouteeK. Coutee HOU,WR67,,23,122,194,161.5,17.3
162,,Hunter RenfrowH. Renfrow OAK,WR68,,24,110,213,163.3,26.1
163,,DeSean JacksonD. Jackson PHI,WR69,,33,142,178,164.2,10.4
164,,Benny Snell Jr.B. Snell PIT,RB53,,22,158,202,176.4,10.7
165,,Breshad PerrimanB. Perriman TB,WR70,,26,99,205,166.3,29.6
166,,Darwin ThompsonD. Thompson KC,RB54,,23,138,184,167.8,11.1
167,,Allen LazardA. Lazard GB,WR71,,24,150,207,180.9,14.4
