"Player","Team","Pos","doBest","doECR","doSD","doWorst","dpBest","dpECR","dpSD","dpWorst","roBest","roECR","rookBest","rookECR","rookSD","rookWorst","roSD","roWorst","rpBest","rpECR","rpSD","rpWorst","woBest","woECR","woSD","woWorst","wpBest","wpECR","wpSD","wpWorst","ScrapeDate"
"DJ Foster","ARI","RB",,,,,,,,,298,304,,,,,6,310,98,120,21,156,,,,,,,,,2019-08-18
"Brett Hundley","ARI","QB",,,,,51,57,4.3,63,248,313.6,,,,,21.9,338,33,46.6,8.9,65,,,,,,,,,2019-08-18
"Chandler Jones","ARI","DL",,,,,,,,,,,,,,,,,12,19.5,7.5,27,,,,,,,,,2019-08-18
"DJ Swearinger","ARI","DB",,,,,,,,,61,70,,,,,9,79,16,39.5,5.1,49,,,,,,,,,2019-08-18
"Terrell Suggs","ARI","LB",,,,,,,,,,,,,,,,,75,86,7.9,93,,,,,,,,,2019-08-18
"Patrick Peterson","ARI","DB",,,,,,,,,,,,,,,,,40,126.5,86.5,213,,,,,,,,,2019-08-18
"Byron Murphy","ARI","DB",,,,,,,,,,,,,,,,,93,155,62,217,,,,,,,,,2019-08-18
"Andy Isabella","ARI","WR",86,117.7,21.6,178,39,56.3,12.6,95,107,219.9,9,16.2,3,38,48.1,378,46,79.3,12.4,124,119,144.5,2.1,160,63,75.9,2.5,86,2019-08-18
"Wes Hills","ARI","RB",,,,,,,,,,,49,68.3,17.5,89,,,,,,,,,,,,,,,2019-08-18
"Ricky Seals-Jones","ARI","TE",171,243.4,59.2,392,21,34.6,5.1,47,141,297.3,,,,,39.5,391,19,32.6,5.1,50,137,167.8,14,210,24,29,4.3,39,2019-08-18
"Hakeem Butler","ARI","WR",67,137.7,24.2,257,31,62.8,14.2,100,136,281.6,14,20.6,5,37,46,380,56,99.9,13.2,136,166,172.7,7.9,228,85,92.3,8.4,111,2019-08-18
"Zach Allen","ARI","DL",,,,,,,,,,,,,,,,,58,137.5,79.5,217,,,,,,,,,2019-08-18
"Charles Clay","ARI","TE",291,323.5,32.5,356,36,48.3,7.9,65,213,318.4,,,,,38,391,25,38.7,6.6,66,188,197,17.5,236,31,36,7.6,53,2019-08-18
"Robert Alford","ARI","DB",,,,,,,,,,,,,,,,,90,95,5,100,,,,,,,,,2019-08-18
"Corey Peters","ARI","DL",,,,,,,,,,,,,,,,,54,80,26,106,,,,,,,,,2019-08-18
"Arizona","ARI","DST",291,319,32.8,365,15,18.4,3.1,24,174,296.5,,,,,28.1,347,15,24.3,2.3,31,,,,,20,21,0.8,22,2019-08-18
"Brooks Reed","ARI","DL",,,,,,,,,,,,,,,,,38,114,76,190,,,,,,,,,2019-08-18
"Damiere Byrd","ARI","WR",,,,,,,,,,,,,,,,,152,167.8,13,185,,,,,,,,,2019-08-18
"Trent Sherfield","ARI","WR",308,317,9,326,99,123,17,136,345,363,,,,,15.6,383,114,149.4,21.9,182,,,,,,,,,2019-08-18
"Zane Gonzalez","ARI","K",,,,,32,34,2,36,280,317.3,,,,,23.9,350,16,27.9,3.9,36,,,,,30,33,3,36,2019-08-18
"KeeSean Johnson","ARI","WR",173,222.7,29.9,279,69,90.4,15.7,134,138,268.5,23,36.9,7.6,58,63.8,375,55,98.3,20.5,145,,,,,,,,,2019-08-18
"Caleb Wilson","ARI","TE",,,,,53,56.8,2.5,60,,,45,65.3,6.5,78,,,67,76,9,85,,,,,,,,,2019-08-18
"Jordan Hicks","ARI","LB",,,,,,,,,15,54.5,,,,,12.5,86,12,25.4,5.6,44,,,,,,,,,2019-08-18
"Kevin White","ARI","WR",259,271,12,283,106,140.8,10,156,288,358.2,,,,,31.8,396,106,134.8,18.4,174,,,,,,,,,2019-08-18
"Ricardo Allen","ATL","DB",,,,,,,,,,,,,,,,,31,69,38,107,,,,,,,,,2019-08-18
"Atlanta","ATL","DST",205,247.7,45.1,310,9,11.6,2,21,179,276.2,,,,,29.7,314,10,20.4,2.9,26,,,,,8,15.3,6.6,24,2019-08-18
"Foyesade Oluokun","ATL","LB",,,,,,,,,,,,,,,,,38,75.2,29,118,,,,,,,,,2019-08-18
"Justin Hardy","ATL","WR",,,,,,,,,293,369,,,,,11.6,379,113,140.5,17,171,,,,,,,,,2019-08-18
"Vic Beasley","ATL","DL",,,,,,,,,,,,,,,,,27,57,26.4,112,,,,,,,,,2019-08-18
"Desmond Trufant","ATL","DB",,,,,,,,,,,,,,,,,53,73.5,20.5,94,,,,,,,,,2019-08-18
"Ricky Ortiz","ATL","RB",,,,,,,,,,,,,,,,,105,117.5,12.5,130,,,,,,,,,2019-08-18
"Brian Hill","ATL","RB",171,266.8,60.6,348,53,90.4,15.1,121,153,244.9,,,,,61.9,376,57,79.5,15.7,117,,,,,58,65.5,7.5,73,2019-08-18
"Mohamed Sanu","ATL","WR",161,215.2,23.7,259,70,89.5,9.8,111,89,165.5,,,,,37,267,37,63.1,9.9,94,83,87.3,3.5,146,45,50.7,10,76,2019-08-18
"Adrian Clayborn","ATL","DL",,,,,,,,,,,,,,,,,35,88,39.1,128,,,,,,,,,2019-08-18
"Logan Paulsen","ATL","TE",,,,,,,,,,,,,,,,,54,81.4,10.3,94,,,,,,,,,2019-08-18
"Devonta Freeman","ATL","RB",38,52.6,9.9,90,13,22.6,3,34,11,34,,,,,8.1,52,9,15.9,3.1,24,34,65.8,8.5,80,13,21.4,2.2,28,2019-08-18
"Matt Schaub","ATL","QB",,,,,,,,,,,,,,,,,34,58.7,2.7,62,,,,,,,,,2019-08-18
"Grady Jarrett","ATL","DL",,,,,,,,,,,,,,,,,33,40.1,1.8,43,,,,,,,,,2019-08-18
"Deion Jones","ATL","LB",,,,,,,,,2,4.9,,,,,1.7,36,2,3.7,1.1,6,,,,,,,,,2019-08-18
"Damontae Kazee","ATL","DB",,,,,,,,,,,,,,,,,49,102,53,155,,,,,,,,,2019-08-18
"Duke Riley","ATL","LB",,,,,,,,,,,,,,,,,116,116.5,0.5,117,,,,,,,,,2019-08-18
"DeVondre Campbell","ATL","LB",,,,,,,,,,,,,,,,,41,55.8,9.8,66,,,,,,,,,2019-08-18
"Luke Stocker","ATL","TE",,,,,,,,,374,393,,,,,19,412,42,73.3,10,87,,,,,,,,,2019-08-18
"Kenjon Barner","ATL","RB",,,,,,,,,277,337.8,,,,,40.7,389,92,123.4,11.2,136,,,,,,,,,2019-08-18
"Julio Jones","ATL","WR",10,15.5,2.6,25,5,8.1,1.6,13,4,9.2,,,,,2.7,19,1,3.7,1.4,9,10,13.7,0.9,15,4,5.3,0.5,6,2019-08-18
"Austin Hooper","ATL","TE",105,129.7,11,158,10,13,1.7,20,63,109.3,,,,,20.2,211,5,11,2.6,21,85,96,0,108,9,11.9,0.3,15,2019-08-18
"Takkarist McKinley","ATL","DL",,,,,,,,,,,,,,,,,28,55.8,18.8,81,,,,,,,,,2019-08-18
"Russell Gage","ATL","WR",,,,,,,,,,,,,,,,,135,164.9,11.1,186,,,,,,,,,2019-08-18
"Allen Bailey","ATL","DL",,,,,,,,,,,,,,,,,65,76.5,11.5,88,,,,,,,,,2019-08-18
"Ito Smith","ATL","RB",110,157.2,43.2,307,39,51.8,8.4,88,75,147.4,,,,,31.4,243,35,54.2,8.9,81,143,154.3,3.1,158,44,53.7,11.4,81,2019-08-18
"Keanu Neal","ATL","DB",,,,,,,,,14,23,,,,,2.8,75,1,4.3,2.3,41,,,,,,,,,2019-08-18
"Olamide Zaccheaus","ATL","WR",,,,,,,,,,,,,,,,,140,172,32,204,,,,,,,,,2019-08-18
"Giorgio Tavecchio","ATL","K",,,,,13,22,9,31,186,272.9,,,,,54.5,353,5,16.2,6.8,31,,,,,18,25.3,4.3,29,2019-08-18
"Matt Ryan","ATL","QB",70,105.3,11.5,129,7,11.9,2,18,36,83.8,,,,,27.9,278,1,6.2,2.5,17,,,,,6,14.5,3.5,23,2019-08-18
"Qadree Ollison","ATL","RB",183,275.4,60.6,345,64,85.9,7.2,99,150,274.4,35,53.7,8.1,66,45.8,379,56,87,10.7,108,,,,,,,,,2019-08-18
"Calvin Ridley","ATL","WR",30,43.1,9.5,60,11,19.3,3,27,31,58.8,,,,,11,89,15,26,4.1,39,45,49.2,3.1,56,24,28.1,2.2,33,2019-08-18
"Antoine Wesley","BAL","WR",,,,,157,175.5,18.5,194,,,40,71.7,15.2,96,,,,,,,,,,,,,,,2019-08-18
"Earl Thomas","BAL","DB",,,,,,,,,14,32.3,,,,,19.5,65,4,22.7,11,51,,,,,,,,,2019-08-18
"Gus Edwards","BAL","RB",141,234.3,34.6,289,48,78.3,10,92,103,220.9,,,,,36,322,43,72.2,8.7,105,200,205.2,1.3,212,64,67.1,1.5,72,2019-08-18
"Kenneth Dixon","BAL","RB",158,250.9,50.5,349,56,79.5,9.8,98,102,220,,,,,49.7,345,43,73.7,12.2,116,158,188.7,4.7,192,52,62.7,3.5,71,2019-08-18
"Mark Ingram","BAL","RB",50,84.1,11,123,22,32.4,3.4,41,23,52.2,,,,,10.9,84,12,22.9,3.8,33,42,61.7,11.3,74,15,20,2.8,25,2019-08-18
"Justin Tucker","BAL","K",178,220.4,23,246,1,1,0,1,146,184.8,,,,,17,302,1,2.6,1.4,17,,,,,1,4,4.1,11,2019-08-18
"Mark Andrews","BAL","TE",102,142,22.5,184,10,15.5,2.4,25,78,160.8,,,,,52.5,305,7,16.2,4.9,30,126,133.7,5,140,12,21.7,2.2,25,2019-08-18
"Seth Roberts","BAL","WR",,,,,114,146,17.7,163,311,355.3,,,,,31.4,378,120,147.1,17.7,185,,,,,,,,,2019-08-18
"Miles Boykin","BAL","WR",86,180.1,36.6,252,40,73.7,12.6,97,96,244.3,16,25.9,6.5,42,57.2,345,41,88.1,17.9,130,,,,,93,95.5,2.5,98,2019-08-18
"Lamar Jackson","BAL","QB",95,119.2,14.4,162,9,14.8,2.8,21,62,125.2,,,,,29.4,283,3,14.6,3.8,26,,,,,6,13.1,2.7,18,2019-08-18
"Justice Hill","BAL","RB",69,123.8,27.2,167,27,39.7,8.2,83,77,161.8,5,14.5,4.1,33,40,275,36,56,9.9,83,153,192.2,19.3,204,48,61.3,8.4,76,2019-08-18
"Willie Snead","BAL","WR",173,259,31.7,334,79,100.8,10,124,115,244.3,,,,,41.1,370,46,87.7,11.2,122,95,144.2,22.1,167,51,76.7,10,90,2019-08-18
"Nick Boyle","BAL","TE",,,,,,,,,349,353,,,,,2.9,356,37,67.3,10.1,80,,,,,,,,,2019-08-18
"Michael Floyd","BAL","WR",,,,,,,,,,,,,,,,,165,178.3,10.3,190,,,,,,,,,2019-08-18
"Jimmy Smith","BAL","DB",,,,,,,,,,,,,,,,,49,76.5,27.5,104,,,,,,,,,2019-08-18
"Marquise Brown","BAL","WR",70,95.8,15.8,131,28,45.6,7.3,72,64,209.4,5,12.3,4.5,27,52,375,29,74.9,13.9,124,118,173.2,6.4,197,63,86.3,9.2,100,2019-08-18
"Chris Moore","BAL","WR",284,312.3,21.1,334,106,139.7,9.1,155,252,332.1,,,,,32.2,389,92,123.3,15.9,159,,,,,,,,,2019-08-18
"Patrick Onwuasor","BAL","LB",,,,,,,,,32,89,,,,,47.4,148,18,41.5,7.8,52,,,,,,,,,2019-08-18
"Michael Pierce","BAL","DL",,,,,,,,,,,,,,,,,38,70.5,32.5,103,,,,,,,,,2019-08-18
"Robert Griffin","BAL","QB",295,322.5,27.5,350,43,50,3.2,56,282,322,,,,,37.6,397,35,44.3,6.3,55,,,,,41,47.5,6.5,54,2019-08-18
"Hayden Hurst","BAL","TE",106,215.2,50.4,388,11,28.9,6,40,205,295.8,,,,,41.2,393,24,32.2,4.8,47,140,146.5,10.1,193,25,27.1,2.4,33,2019-08-18
"Chris Board","BAL","LB",,,,,,,,,,,,,,,,,62,80.3,18.7,106,,,,,,,,,2019-08-18
"Matt Judon","BAL","LB",,,,,,,,,,,,,,,,,68,78,11.4,94,,,,,,,,,2019-08-18
"Tyus Bowser","BAL","LB",,,,,,,,,,,,,,,,,120,124.5,4.5,129,,,,,,,,,2019-08-18
"Jaleel Scott","BAL","WR",,,,,129,156,20.5,187,,,,,,,,,150,164,11.8,183,,,,,,,,,2019-08-18
"Tony Jefferson","BAL","DB",,,,,,,,,30,59.4,,,,,22.2,86,13,26.5,9.2,66,,,,,,,,,2019-08-18
"Willie Henry","BAL","DL",,,,,,,,,,,,,,,,,76,114,38,152,,,,,,,,,2019-08-18
"Baltimore","BAL","DST",210,281.4,26.3,312,1,7.8,3.2,12,144,175.3,,,,,19.6,242,1,5.4,3.3,21,,,,,1,1.7,0.9,3,2019-08-18
"Kenny Young","BAL","LB",,,,,,,,,,,,,,,,,66,82.8,16.5,109,,,,,,,,,2019-08-18
"Jason Croom","BUF","TE",,,,,61,64,3,67,227,308.8,,,,,50,350,38,61.4,13.1,94,,,,,,,,,2019-08-18
"TJ Yeldon","BUF","RB",108,170.4,30.9,226,41,66.4,13.7,101,106,219,,,,,35.4,331,44,71.8,9.3,94,121,178,8.8,192,40,60.1,5.9,73,2019-08-18
"John Brown","BUF","WR",101,138.5,24.3,199,45,59.5,10,83,63,136.3,,,,,24.4,229,27,55.1,7.3,77,68,94.5,3.3,123,33,49.1,4.2,65,2019-08-18
"Jerry Hughes","BUF","DL",,,,,,,,,81,226.5,,,,,145.5,372,28,38.1,16,83,,,,,,,,,2019-08-18
"Dawson Knox","BUF","TE",159,256.1,45.6,346,23,35.7,6.8,52,180,324.9,37,47.2,8.5,65,46.6,381,25,41.4,10.7,66,,,,,,,,,2019-08-18
"Marcus Murphy","BUF","RB",,,,,95,112.8,11.2,125,272,322.6,,,,,29.7,365,90,111.1,14.4,143,,,,,85,90.2,3,93,2019-08-18
"Tyree Jackson","BUF","QB",,,,,55,55.7,0.9,57,,,55,73.2,11.3,88,,,62,74.3,8.8,82,,,,,,,,,2019-08-18
"Tyler Kroft","BUF","TE",337,368.5,31.5,400,44,51.9,4.2,59,262,336.8,,,,,37,388,29,49,8,70,,,,,24,36.5,12.5,49,2019-08-18
"Matt Milano","BUF","LB",,,,,,,,,81,86.3,,,,,7.5,97,27,44.5,8.3,59,,,,,,,,,2019-08-18
"David Sills","BUF","WR",,,,,122,151,20.7,185,,,36,62,13.3,80,,,,,,,,,,,,,,,2019-08-18
"Isaiah McKenzie","BUF","WR",,,,,,,,,301,354.3,,,,,37.9,385,101,146.3,15.2,170,,,,,,,,,2019-08-18
"TreDavious White","BUF","DB",,,,,,,,,,,,,,,,,49,86.5,28.5,129,,,,,,,,,2019-08-18
"Buffalo","BUF","DST",206,250.7,46.6,315,13,17,1.7,19,164,196.3,,,,,27.5,318,5,12.7,3.9,25,,,,,16,17.7,1.2,19,2019-08-18
"Steven Hauschka","BUF","K",223,304.5,81.5,386,11,15.8,4.8,26,156,309.8,,,,,32.5,342,4,24.3,2.1,30,,,,,23,26,2.2,29,2019-08-18
"Cole Beasley","BUF","WR",229,281.5,30.3,301,97,123.3,13.4,150,124,247.8,,,,,47.9,343,49,88.1,12.8,117,128,178.2,3.8,213,55,88.9,8.7,109,2019-08-18
"Robert Foster","BUF","WR",88,161.9,20.5,218,38,73.4,13.1,114,94,191.8,,,,,53.3,320,39,72.2,15,108,98,118,12.5,145,53,63.4,7.4,75,2019-08-18
"Ray-Ray McCloud","BUF","WR",,,,,,,,,,,,,,,,,153,177.7,16.4,198,,,,,,,,,2019-08-18
"Patrick DiMarco","BUF","RB",,,,,,,,,359,380,,,,,21,401,112,120.5,8.5,129,,,,,,,,,2019-08-18
"Trent Murphy","BUF","DL",,,,,,,,,,,,,,,,,56,82,26,108,,,,,,,,,2019-08-18
"Taron Johnson","BUF","DB",,,,,,,,,,,,,,,,,91,102,11,113,,,,,,,,,2019-08-18
"Matt Barkley","BUF","QB",,,,,50,54,4,58,283,380.4,,,,,11.2,387,36,45.9,2.8,51,,,,,,,,,2019-08-18
"Lee Smith","BUF","TE",,,,,,,,,,,,,,,,,40,64.5,19.8,92,,,,,,,,,2019-08-18
"Josh Allen","BUF","QB",119,144.1,14.7,191,15,19.4,1.7,27,88,149.4,,,,,27.7,291,8,18.9,3.5,27,,,,,10,21.4,1.5,24,2019-08-18
"Andre Roberts","BUF","WR",,,,,,,,,,,,,,,,,135,164.2,16.9,192,,,,,,,,,2019-08-18
"Frank Gore","BUF","RB",191,280,18.2,297,75,92.8,8,110,141,215.7,,,,,35.6,324,47,70.3,8,103,158,184.2,15.6,213,52,61.4,5.2,79,2019-08-18
"Jordan Poyer","BUF","DB",,,,,,,,,29,50.1,,,,,16.4,90,6,12.4,5.9,51,,,,,,,,,2019-08-18
"Shaq Lawson","BUF","DL",,,,,,,,,,,,,,,,,92,107.5,15.5,123,,,,,,,,,2019-08-18
"Kurt Coleman","BUF","DB",,,,,,,,,,,,,,,,,50,158.5,108.5,267,,,,,,,,,2019-08-18
"Lorenzo Alexander","BUF","LB",,,,,,,,,,,,,,,,,49,52,2.7,56,,,,,,,,,2019-08-18
"Devin Singletary","BUF","RB",32,118.5,24.3,163,17,41.8,5.7,57,35,147,5,14.7,3.5,22,41.5,278,16,52.5,9.8,81,175,201,13.2,210,46,66.3,6,74,2019-08-18
"Ed Oliver","BUF","DL",,,,,,,,,,,,,,,,,39,68.6,58.9,224,,,,,,,,,2019-08-18
"Kevin Johnson","BUF","DB",,,,,,,,,,,,,,,,,122,184,62,246,,,,,,,,,2019-08-18
"Micah Hyde","BUF","DB",,,,,,,,,64,146.5,,,,,82.5,229,14,42.5,11.5,126,,,,,,,,,2019-08-18
"Zay Jones","BUF","WR",129,181.6,29.5,252,48,80.8,12.2,102,81,200.1,,,,,44.3,353,36,73.2,12.9,116,122,125.3,1.6,145,64,67.3,3.3,77,2019-08-18
"Tremaine Edmunds","BUF","LB",,,,,,,,,12,22.1,,,,,13.3,56,7,10.7,4,26,,,,,,,,,2019-08-18
"LeSean McCoy","BUF","RB",137,172,16.6,264,43,56.4,5,68,60,107.6,,,,,27,188,26,42.5,7.5,65,93,111,15.5,152,30,37.1,3.5,47,2019-08-18
"Christian McCaffrey","CAR","RB",1,3.1,1.3,6,1,2.5,0.8,5,1,2.2,,,,,1,8,1,2.2,0.8,5,1,2.5,0.8,3,1,2.6,0.7,3,2019-08-18
"Bruce Irvin","CAR","DL",,,,,,,,,,,,,,,,,37,68.3,26.6,102,,,,,,,,,2019-08-18
"Elijah Holyfield","CAR","RB",270,332.2,40.5,385,78,103,8.2,120,209,320.7,24,58,9.1,71,53.7,392,69,115.6,22.4,170,,,,,,,,,2019-08-18
"Ian Thomas","CAR","TE",139,198.8,40.3,330,14,21.9,4.4,35,178,287.5,,,,,41,360,20,30.6,4.3,47,137,181.7,6.1,197,24,29.6,2.3,35,2019-08-18
"Tre Boston","CAR","DB",,,,,,,,,,,,,,,,,15,28,13,41,,,,,,,,,2019-08-18
"Luke Kuechly","CAR","LB",,,,,,,,,2,5.9,,,,,2,26,2,3.8,1.1,6,,,,,,,,,2019-08-18
"Kyle Allen","CAR","QB",,,,,,,,,,,,,,,,,41,61,13.2,78,,,,,,,,,2019-08-18
"Donte Jackson","CAR","DB",,,,,,,,,,,,,,,,,41,50.2,3.8,54,,,,,,,,,2019-08-18
"Terry Godwin","CAR","WR",,,,,,,,,,,73,85,9.1,95,,,,,,,,,,,,,,,2019-08-18
"DJ Moore","CAR","WR",23,35.9,11.4,71,10,17.4,4.6,29,27,56.8,,,,,11.6,88,12,25.4,4,38,45,46.2,0.7,53,25,26.9,1.8,44,2019-08-18
"Shaq Thompson","CAR","LB",,,,,,,,,78,86.7,,,,,6.1,91,36,51.3,18.8,92,,,,,,,,,2019-08-18
"Aldrick Robinson","CAR","WR",,,,,159,170,11,181,,,,,,,,,156,172.5,16.5,189,,,,,,,,,2019-08-18
"Alex Armah","CAR","RB",,,,,,,,,371,381.3,,,,,8.2,391,118,125.8,8,139,,,,,,,,,2019-08-18
"Greg Olsen","CAR","TE",181,230.5,42.5,349,22,30,4.3,41,70,188.3,,,,,50.8,394,8,18.7,5,47,114,119.5,5,136,16,17.9,1,24,2019-08-18
"Brian Burns","CAR","DL",,,,,,,,,,,,,,,,,50,105.7,77.3,215,,,,,,,,,2019-08-18
"Kawann Short","CAR","DL",,,,,,,,,,,,,,,,,28,44.5,2.5,48,,,,,,,,,2019-08-18
"Will Grier","CAR","QB",266,303.6,33.1,343,29,39.9,3.8,48,271,323.5,39,55.1,6.4,67,29.9,386,37,41,3.9,54,,,,,,,,,2019-08-18
"Jordan Scarlett","CAR","RB",200,294.3,59.3,364,68,87.5,7.9,97,164,282,36,59.5,7.7,68,62.8,389,58,96.3,19.7,136,,,,,,,,,2019-08-18
"Chris Manhertz","CAR","TE",,,,,,,,,,,,,,,,,80,101,8.6,114,,,,,,,,,2019-08-18
"Carolina","CAR","DST",225,293.3,55.5,361,5,9.8,2.9,20,177,269.9,,,,,28.9,335,10,19.4,2.5,27,,,,,26,27.3,0.9,28,2019-08-18
"Cameron Artis-Payne","CAR","RB",,,,,85,117.2,11.5,134,236,301.8,,,,,38.7,392,76,95.6,9.9,122,,,,,70,92.8,1.3,95,2019-08-18
"James Bradberry","CAR","DB",,,,,,,,,,,,,,,,,24,44.6,8,57,,,,,,,,,2019-08-18
"Eric Reid","CAR","DB",,,,,,,,,28,39,,,,,11,50,9,33.9,10.9,57,,,,,,,,,2019-08-18
"Torrey Smith","CAR","WR",,,,,148,168,17.4,195,315,350.8,,,,,22.9,383,105,140.1,13,165,,,,,,,,,2019-08-18
"Andrew Wellock","CAR","K",,,,,24,25,1.7,28,,,,,,,,,28,34,4.5,39,,,,,,,,,2019-08-18
"Mario Addison","CAR","DL",,,,,,,,,,,,,,,,,23,35.3,3.2,41,,,,,,,,,2019-08-18
"Graham Gano","CAR","K",188,290.8,67.5,377,3,7,3.7,16,190,259.2,,,,,29.9,315,10,15.9,3,29,,,,,12,13.8,1.9,17,2019-08-18
"Rashaan Gaulden","CAR","DB",,,,,,,,,,,,,,,,,60,145.7,86.4,264,,,,,,,,,2019-08-18
"Cam Newton","CAR","QB",75,100.4,16.2,155,6,10,1.6,17,36,94.1,,,,,26.8,280,1,8.4,3,19,,,,,2,9,2.2,18,2019-08-18
"Taylor Heinicke","CAR","QB",,,,,,,,,364,380.5,,,,,16.5,397,44,60.6,11.1,81,,,,,,,,,2019-08-18
"Curtis Samuel","CAR","WR",56,99.1,20.7,166,28,44.5,6.6,62,49,86.4,,,,,17.9,182,25,36.3,6.6,68,68,80,2.9,90,27,42.9,1.6,48,2019-08-18
"Jarius Wright","CAR","WR",,,,,,,,,256,358.2,,,,,32.7,391,102,125.4,7.1,143,,,,,,,,,2019-08-18
"Gerald McCoy","CAR","DL",,,,,,,,,,,,,,,,,58,78.5,20.5,99,,,,,,,,,2019-08-18
"Chris Hogan","CAR","WR",227,279,27.9,329,89,110.5,8.1,125,178,289.4,,,,,40.2,395,68,103.8,11.7,149,179,194.3,5.2,235,93,100.7,5.7,114,2019-08-18
"Chase Daniel","CHI","QB",,,,,44,49.8,5.6,59,292,358.7,,,,,47.3,397,38,49.3,4.7,59,,,,,,,,,2019-08-18
"Javon Wims","CHI","WR",,,,,,,,,,,,,,,,,134,168.2,40.9,247,,,,,,,,,2019-08-18
"Akiem Hicks","CHI","DL",,,,,,,,,42,78.1,,,,,43.7,184,12,16.4,2.8,25,,,,,,,,,2019-08-18
"Mitch Trubisky","CHI","QB",88,116.4,12.2,143,7,15.4,2.5,20,84,145.4,,,,,28.9,293,9,18.1,3.3,30,,,,,4,17.9,3.1,21,2019-08-18
"Ben Braunecker","CHI","TE",,,,,,,,,,,,,,,,,88,93,4.1,99,,,,,,,,,2019-08-18
"David Montgomery","CHI","RB",16,48.9,12.6,83,8,19.4,4.6,33,14,52.3,2,3,1.4,7,16.4,230,7,22.8,5.5,38,74,95.3,8.3,122,25,34.3,3.6,41,2019-08-18
"Riley Ridley","CHI","WR",158,251.1,38.6,341,82,104.8,12.7,139,178,344.5,23,41.5,8.8,60,44.6,393,67,135.7,19.6,185,,,,,,,,,2019-08-18
"Chicago","CHI","DST",140,203.6,34,238,1,1.2,0.4,3,131,162.8,,,,,15.2,237,1,1.1,0.3,5,,,,,7,9.7,1.9,11,2019-08-18
"Anthony Miller","CHI","WR",75,94.1,8.9,117,25,42.6,4.5,54,82,115.7,,,,,17.9,224,35,47.8,7.2,79,76,88.8,2,97,42,47.9,2.1,54,2019-08-18
"Buster Skrine","CHI","DB",,,,,,,,,,,,,,,,,90,93.5,3.5,97,,,,,,,,,2019-08-18
"Tarik Cohen","CHI","RB",58,72.6,9.7,99,22,28.4,2.9,33,26,65.1,,,,,12.5,112,13,27.9,4,37,44,60.8,3.7,73,17,21,1.4,26,2019-08-18
"Khalil Mack","CHI","LB",,,,,,,,,18,41.8,,,,,9.1,152,10,22,7.3,55,,,,,,,,,2019-08-18
"Trey Burton","CHI","TE",86,136,25.3,188,10,15.1,2.4,22,78,142.3,,,,,35.1,235,7,14.2,2.9,21,70,91.8,9.5,109,8,12.1,1.8,17,2019-08-18
"Danny Trevathan","CHI","LB",,,,,,,,,31,46.6,,,,,16,78,17,26.1,5.4,43,,,,,,,,,2019-08-18
"Elliott Fry","CHI","K",,,,,,,,,,,,,,,,,28,34.9,3,40,,,,,,,,,2019-08-18
"Dax Raymond","CHI","TE",,,,,,,,,,,75,87,8,97,,,88,106,18,124,,,,,,,,,2019-08-18
