Rank,WSID,Wide Receivers (Team),Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
143,,Isaiah McKenzieI. McKenzie BUF,6,121,155,133.4,12.5,139.0,-4.0
144,,Martavis BryantM. Bryant FA,,75,135,107.3,24.7,,
145,,Brice ButlerB. Butler MIA,5,124,161,136.6,13.6,,
146,,Mike WallaceM. Wallace FA,,79,138,112.7,24.8,,
147,,Mack HollinsM. Hollins PHI,10,124,154,137.6,10.8,,
148,,J.J. NelsonJ. Nelson OAK,6,102,142,129.8,16.3,,
149,,Zach PascalZ. Pascal IND,6,119,165,138.6,18.3,141.0,-8.0
150,,Terrance WilliamsT. Williams FA,,76,143,117.0,29.3,,
151,,Maurice HarrisM. Harris NE,10,109,161,132.8,19.5,156.0,+5.0
152,,Chris MooreC. Moore BAL,8,100,115,107.5,7.5,114.0,-38.0
153,,Gary JenningsG. Jennings SEA,11,78,139,108.5,30.5,137.0,-16.0
154,,Dan ArnoldD. Arnold NO,9,106,125,115.5,9.5,,
155,,Russell ShepardR. Shepard NYG,11,114,119,116.5,2.5,,
156,,Torrey SmithT. Smith CAR,7,118,127,122.5,4.5,,
157,,Tajae SharpeT. Sharpe TEN,11,129,178,149.5,18.2,136.0,-21.0
158,,Andre RobertsA. Roberts BUF,6,106,146,126.0,20.0,,
159,,Trent SherfieldT. Sherfield ARI,12,139,181,152.3,16.8,,
160,,Seth RobertsS. Roberts BAL,8,111,148,129.5,18.5,131.0,-29.0
161,,Kevin WhiteK. White ARI,12,105,159,132.0,27.0,110.0,-51.0
162,,Aldrick RobinsonA. Robinson FA,,131,136,133.5,2.5,144.0,-18.0
163,,Austin CarrA. Carr NO,9,135,168,153.3,13.4,,
164,,Noah BrownN. Brown DAL,8,141,166,153.3,10.9,,
Tier 12,
165,,Richie JamesR. James SF,4,140,179,157.5,16.5,164.0,-1.0
166,,Emanuel HallE. Hall CHI,6,112,189,150.5,38.5,99.0,-67.0
167,,DeAndre CarterD. Carter HOU,10,142,154,148.0,6.0,,
168,,Cody LatimerC. Latimer NYG,11,132,167,149.5,17.5,,
169,,Josh BellamyJ. Bellamy NYJ,4,147,162,154.5,7.5,,
170,,Alex EricksonA. Erickson CIN,9,153,163,158.0,5.0,,
171,,Marcell AtemanM. Ateman OAK,6,151,166,158.5,7.5,,
172,,Bennie FowlerB. Fowler NYG,11,144,185,164.5,20.5,,
173,,Eli RogersE. Rogers PIT,7,149,172,160.5,11.5,,
174,,Marvin HallM. Hall CHI,6,160,175,167.5,7.5,,
175,,Vyncint SmithV. Smith HOU,10,167,184,175.5,8.5,,
176,,Auden TateA. Tate CIN,9,169,173,171.0,2.0,,
