Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
101,,Jared GoffJ. Goff LAR,QB11,9,69,286,106.1,15.1,100.0,-1.0
102,,Matt BreidaM. Breida SF,RB39,4,60,226,106.1,27.7,121.0,+19.0
103,,LeSean McCoyL. McCoy BUF,RB40,6,57,192,106.3,27.9,104.0,+1.0
104,,Darrell HendersonD. Henderson LAR,RB41,9,37,257,106.5,34.6,91.0,-13.0
105,,Geronimo AllisonG. Allison GB,WR43,11,66,157,108.2,17.7,118.0,+13.0
106,,Jameis WinstonJ. Winston TB,QB12,7,59,288,110.0,15.9,115.0,+9.0
107,,Austin HooperA. Hooper ATL,TE11,9,55,211,110.1,20.6,108.0,+1.0
108,,Duke JohnsonD. Johnson HOU,RB42,10,42,216,111.1,31.0,120.0,+12.0
109,,Kalen BallageK. Ballage MIA,RB43,5,68,182,111.7,27.6,116.0,+7.0
110,,Nyheim HinesN. Hines IND,RB44,6,71,230,112.5,25.1,127.0,+17.0
111,,Kyler MurrayK. Murray ARI,QB13,12,69,287,113.2,30.9,102.0,-9.0
112,,Keke CouteeK. Coutee HOU,WR44,10,74,230,113.3,23.7,130.0,+18.0
113,,Anthony MillerA. Miller CHI,WR45,6,87,227,116.5,17.2,138.0,+25.0
114,,Emmanuel SandersE. Sanders DEN,WR46,10,45,195,118.9,22.1,105.0,-9.0
115,,Marquez Valdes-ScantlingM. Valdes-Scantling GB,WR47,11,60,238,119.2,25.7,107.0,-8.0
116,,Ben RoethlisbergerB. Roethlisberger PIT,QB14,7,62,289,121.1,18.4,110.0,-6.0
117,,Ronald Jones IIR. Jones TB,RB45,7,60,214,119.2,28.0,106.0,-11.0
118,,Golden TateG. Tate NYG,WR48,11,74,229,122.7,27.9,143.0,+25.0
119,,Lamar JacksonL. Jackson BAL,QB15,8,62,283,124.8,24.0,122.0,+3.0
120,,Peyton BarberP. Barber TB,RB46,7,65,261,125.7,30.8,119.0,-1.0
121,,Dak PrescottD. Prescott DAL,QB16,8,77,284,126.4,19.3,131.0,+10.0
122,,DeSean JacksonD. Jackson PHI,WR49,10,89,218,126.4,22.8,126.0,+4.0
123,,Donte MoncriefD. Moncrief PIT,WR50,7,63,233,128.4,30.6,128.0,+5.0
124,,Philip RiversP. Rivers LAC,QB17,12,73,294,130.4,18.3,134.0,+10.0
125,,Adrian PetersonA. Peterson WAS,RB47,10,65,225,128.6,29.2,133.0,+8.0
126,,Michael GallupM. Gallup DAL,WR51,8,81,242,132.0,24.6,144.0,+18.0
Tier 9,
127,,Tyrell WilliamsT. Williams OAK,WR52,6,41,265,135.2,35.1,142.0,+15.0
