Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
128,,Ben RoethlisbergerB. Roethlisberger PIT,QB17,,105,275,131.2,18.2
129,,Will DisslyW. Dissly SEA,TE15,,94,255,133.2,22.7
130,,John RossJ. Ross CIN,WR53,,96,160,135.0,11.6
Tier 10,
131,,Daniel JonesD. Jones NYG,QB18,,105,167,136.4,15.5
132,,Baker MayfieldB. Mayfield CLE,QB19,,87,167,137.6,14.8
133,,Jared GoffJ. Goff LAR,QB20,,114,167,137.9,14.8
134,,Justice HillJ. Hill BAL,RB46,,104,186,138.0,14.8
135,,O.J. HowardO. Howard TB,TE16,,53,173,139.1,9.9
136,,Sammy WatkinsS. Watkins KC,WR54,,122,189,139.4,9.3
137,,N'Keal HarryN. Harry NE,WR55,,99,206,140.4,13.9
138,,Adrian PetersonA. Peterson WAS,RB47,,112,181,140.4,12.9
139,,David NjokuD. Njoku CLE,TE17,,108,255,141.4,10.3
140,,Jimmy GaroppoloJ. Garoppolo SF,QB21,,116,158,142.0,15.2
141,,Dede WestbrookD. Westbrook JAC,WR56,,100,189,142.8,13.4
142,,Nyheim HinesN. Hines IND,RB48,,112,199,143.2,19.7
143,,Tyrell WilliamsT. Williams OAK,WR57,,102,194,143.2,9.6
144,,Jack DoyleJ. Doyle IND,TE18,,133,270,144.3,21.6
145,,Jonnu SmithJ. Smith TEN,TE19,,121,260,150.7,25.2
146,,Corey DavisC. Davis TEN,WR58,,107,184,150.8,13.6
147,,Darrell HendersonD. Henderson LAR,RB49,,114,257,152.5,18.4
148,,Pittsburgh (PIT)PIT DST,DST1,,140,230,152.7,18.7
149,,Breshad PerrimanB. Perriman TB,WR59,,96,317,153.2,17.8
150,,San Francisco (SF)SF DST,DST2,,140,323,153.6,39.6
151,,Mecole HardmanM. Hardman KC,WR60,,128,210,154.7,14.7
152,,Cole BeasleyC. Beasley BUF,WR61,,122,216,155.2,8.8
153,,New England (NE)NE DST,DST3,,140,207,156.0,15.3
154,,Baltimore (BAL)BAL DST,DST4,,145,174,158.5,6.0
155,,Eric EbronE. Ebron IND,TE20,,136,260,158.6,17.7
156,,Chase EdmondsC. Edmonds ARI,RB50,,106,237,160.2,25.7
157,,Sam DarnoldS. Darnold NYJ,QB22,,125,206,162.8,18.6
158,,Tom BradyT. Brady NE,QB23,,131,197,164.6,7.1
159,,Kyle RudolphK. Rudolph MIN,TE21,,135,235,165.1,18.2
160,,Hunter RenfrowH. Renfrow OAK,WR62,,113,223,165.4,20.0
161,,Peyton BarberP. Barber TB,RB51,,127,376,166.5,20.3
162,,Los Angeles (LAR)LAR DST,DST5,,152,200,166.6,8.3
163,,James WashingtonJ. Washington PIT,WR63,,109,189,167.8,12.6
164,,Buffalo (BUF)BUF DST,DST6,,159,211,169.2,14.2
165,,Ryan FitzpatrickR. Fitzpatrick MIA,QB24,,117,274,169.6,19.8
166,,Justin JacksonJ. Jackson LAC,RB52,,78,289,171.3,44.9
Tier 11,
167,,Larry FitzgeraldL. Fitzgerald ARI,WR64,,124,203,173.5,14.5
168,,Parris CampbellP. Campbell IND,WR65,,147,212,173.6,13.4
169,,Mitch TrubiskyM. Trubisky CHI,QB25,,131,241,174.2,13.0
170,,Chicago (CHI)CHI DST,DST7,,140,266,174.2,23.6
171,,Ian ThomasI. Thomas CAR,TE22,,136,266,175.2,31.1
172,,Irv Smith Jr.I. Smith MIN,TE23,,161,258,176.8,11.9
