name,pos,tm,dynoECR,dyno2QBECR,dynoSD,dynpECR,dynpSD,redpECR,redpSD
Mack Brown,RB,FA,284.6,354.6,,109.5,9.5,111.6,17.5
C.J. Fiedorowicz,TE,FA,400,484.6,,,,32,2.5
Blake Jarwin,TE,DAL,400,484.6,,,,35.8,5.1
Stephen Anderson,TE,NEP,400,484.6,,,,39.4,12.1
Garrett Celek,TE,SFO,400,484.6,,,,39.8,6.1
Josh Hill,TE,NOS,400,484.6,,,,44.1,10.8
Brian Hoyer,QB,NEP,400,351.6,,,,45.2,2.5
Joshua Dobbs,QB,PIT,400,351.6,,,,46.6,6.6
Marcedes Lewis,TE,GBP,400,484.6,,,,48.6,6.6
Jermaine Gresham,TE,ARI,400,484.6,,,,49.5,6.7
Chase Daniel,QB,CHI,400,351.6,,,,50.2,5.4
Clive Walford,TE,NYJ,400,484.6,,,,50.5,8.3
Jacob Hollister,TE,NEP,400,484.6,,,,51,9.5
Chad Henne,QB,KCC,400,351.6,,,,51.4,5.1
Davis Webb,QB,NYJ,400,351.6,,,,51.6,5.5
Brandon Weeden,QB,HOU,400,351.6,,,,52.2,6.7
Ryan Grant,RB,FA,400,492,,,,52.5,2.5
Demetrius Harris,TE,KCC,400,484.6,,,,54,4.5
Dwayne Allen,TE,NEP,400,484.6,,,,54.1,9.5
Nick O'Leary,TE,MIA,400,484.6,,,,54.4,8.8
Geno Smith,QB,LAC,400,351.6,,,,54.9,5.7
Nick Boyle,TE,BAL,400,484.6,,,,55,9.6
Eric Tomlinson,TE,NYJ,400,484.6,,,,55.9,10.2
Matt Schaub,QB,ATL,400,351.6,,,,56.4,3.2
Drew Stanton,QB,CLE,400,351.6,,,,56.6,9.1
Landry Jones,QB,FA,400,351.6,,,,57.3,15.4
Sean Mannion,QB,LAR,400,351.6,,,,58.7,3.9
Nate Sudfeld,QB,PHI,400,351.6,,,,58.8,5.1
Niles Paul,TE,FA,400,484.6,,,,59.3,8.4
Lance Kendricks,TE,GBP,400,484.6,,,,60,9.6
Matt Cassel,QB,DET,400,351.6,,,,60.4,3.5
Cooper Rush,QB,DAL,400,351.6,,,,61.6,2.8
David Fales,QB,MIA,400,351.6,,,,61.8,14.6
Taylor Heinicke,QB,CAR,400,351.6,,,,63,2.9
Rhett Ellison,TE,NYG,400,484.6,,,,63.3,7
Levine Toilolo,TE,DET,400,484.6,,,,64.1,9.5
Brandon Allen,QB,LAR,400,351.6,,,,65.5,8.5
Kevin Hogan,QB,DEN,400,351.6,,,,65.7,6.8
David Morgan,TE,MIN,400,484.6,,,,66.2,5.5
Taysom Hill,QB,NOS,400,351.6,,,,66.7,9.1
Lee Smith,TE,OAK,400,484.6,,,,67,6.1
Logan Paulsen,TE,ATL,400,484.6,,,,67.9,8.9
Kyle Sloter,QB,MIN,400,351.6,,,,68,10
Logan Thomas,TE,BUF,400,484.6,,,,68.1,11.5
Tom Savage,QB,CIN,400,351.6,,,,69,13
Logan Woodside,QB,FA,400,351.6,,,,69,11
Mike Wallace,WR,PHI,400,496.3,,,,69.2,8.5
Alex Tanney,QB,NYG,400,351.6,,,,69.5,4.5
Hakeem Valles,TE,FA,400,484.6,,,,69.6,21
Ryan Griffin,QB,TBB,400,351.6,,,,70.5,8.5
Jerell Adams,TE,HOU,400,484.6,,,,71.5,3.5
Dion Sims,TE,CHI,400,484.6,,,,72.6,7.9
Connor Cook,QB,DET,400,351.6,,,,73.5,7.5
Sean Culkin,TE,LAC,400,484.6,,,,74.1,5
Neal Sterling,TE,NYJ,400,484.6,,,,74.5,12.8
Derek Carrier,TE,OAK,400,484.6,,,,74.5,10.2
Richard Rodgers,TE,PHI,400,484.6,,,,75.4,7.3
Daniel Brown,TE,CHI,400,484.6,,,,75.7,4
MarQueis Gray,TE,MIA,400,484.6,,,,76,5.1
James O'Shaughnessy,TE,JAC,400,484.6,,,,77.8,7.6
Darrell Daniels,TE,ARI,400,484.6,,,,80.4,12
Xavier Grimble,TE,PIT,400,484.6,,,,80.6,3
Jermaine Kearse,WR,NYJ,400,496.3,,,,81.2,7.4
Durham Smythe,TE,MIA,400,484.6,,,,81.5,2.6
Brandon Marshall,WR,FA,400,496.3,,,,81.9,11.1
Christine Michael,RB,FA,400,492,,,,83.1,10
Joe Williams,RB,FA,400,492,,,,83.8,12.8
Darren Fells,TE,CLE,400,484.6,,,,83.9,6.6
Terrance Williams,WR,DAL,400,496.3,,,,84.7,8.4
Khari Lee,TE,FA,400,484.6,,,,85.3,18.4
Chris Manhertz,TE,CAR,400,484.6,,,,85.5,7.4
Eric Saubert,TE,ATL,400,484.6,,,,85.9,6.5
Gabe Holmes,TE,FA,400,484.6,,,,86.3,12.3
Robert Turbin,RB,FA,400,492,,,,87.1,7.4
Tyler Conklin,TE,NEP,400,484.6,,,,87.3,9.4
Terrance West,RB,FA,400,492,,,,89.3,11.3
MyCole Pruitt,TE,TEN,400,484.6,,,,89.4,2.7
Cole Wick,TE,TEN,400,484.6,,,,89.7,11
Jaron Brown,WR,SEA,400,496.3,,,,91,9.3
Luke Stocker,TE,TEN,400,484.6,,,,91.4,6
Michael Hoomanawanui,TE,NOS,400,484.6,,,,91.4,5.1
Travis Benjamin,WR,LAC,400,496.3,,,,91.6,9.4
Ben Koyack,TE,JAC,400,484.6,,,,91.7,7.4
Cordarrelle Patterson,WR,NEP,400,496.3,,,,92.2,10.5
Cole Hikutini,TE,MIN,400,484.6,,,,92.7,7.4
Orson Charles,TE,CLE,400,484.6,,,,94,6
Tion Green,RB,FA,400,492,,,,94.4,17.5
J.J. Nelson,WR,ARI,400,496.3,,,,94.6,8.8
Antony Auclair,TE,TBB,400,484.6,,,,95,13
Alan Cross,TE,TBB,400,484.6,,,,95,9
Austin Traylor,TE,FA,400,484.6,,,,95.5,4.5
Tavon Austin,WR,DAL,400,496.3,,,,95.9,9.2
Raheem Mostert,RB,SFO,400,492,,,,96.2,9.7
Keith Smith,RB,OAK,400,492,,,,96.4,6.7
Jace Amaro,TE,FA,400,484.6,,,,96.5,4.5
Torrey Smith,WR,CAR,400,496.3,,,,96.6,9.2
Travaris Cadet,RB,CAR,400,492,,,,96.8,7.3
Brice Butler,WR,MIA,400,496.3,,,,97.1,12.5
Ben Braunecker,TE,CHI,400,484.6,,,,97.8,6.1
Braedon Bowman,TE,FA,400,484.6,,,,98,1
Ross Travis,TE,IND,400,484.6,,,,98.3,5.7
Mason Schreck,TE,CIN,400,484.6,,,,98.5,7.5
Blake Bell,TE,JAC,400,484.6,,,,98.5,5.5
Mike Boone,RB,MIN,400,492,,,,98.9,8.9
T.J. Logan,RB,ARI,400,492,,,,99,7.8
Kenny Britt,WR,FA,400,496.3,,,,99,13.1
