"player","pos","team","age","draft_year","ecr_1qb","ecr_2qb","ecr_pos","value_1qb","value_2qb","scrape_date","fp_id"
"Jakobi Meyers","WR","JAC",29.1,2019,82.6,98.6,38.2,1507,1035,"2026-01-02","18598"
"Jayden Higgins","WR","HOU",23,2025,83.6,98.2,41,1472,1045,"2026-01-02","27077"
"Oronde Gadsden II","TE","LAC",22.5,2025,84.4,95,9.2,1445,1126,"2026-01-02","25997"
"Jaylen Warren","RB","PIT",27.2,2022,84.6,99.2,25.3,1438,1020,"2026-01-02","24209"
"Quentin Johnston","WR","LAC",24.3,2023,84.8,100,40.8,1431,1001,"2026-01-02","23123"
"Jaxson Dart","QB","NYG",22.6,2025,86.8,26.6,12.3,1366,5620,"2026-01-02","23160"
"Brock Purdy","QB","SF",26,2022,87,26.2,11.5,1359,5673,"2026-01-02","19797"
"Alec Pierce","WR","IND",25.7,2022,87.6,101.8,40.3,1340,960,"2026-01-02","23791"
"Zach Charbonnet","RB","SEA",25,2023,88.4,106.2,28.3,1315,866,"2026-01-02","23152"
"2026 Pick 1.10","PICK",NA,NA,NA,88.665,79.4925,NA,1307,1621,"2026-01-02",NA
"Woody Marks","RB","HOU",25,2025,90.8,107.2,27.5,1243,846,"2026-01-02","27520"
"Kyle Monangai","RB","CHI",23.6,2025,92.4,109.4,27.3,1197,803,"2026-01-02","27131"
"Rico Dowdle","RB","CAR",27.6,2020,92.4,108.2,28.3,1197,826,"2026-01-02","19647"
"Trey Benson","RB","ARI",23.4,2024,92.6,107.6,30.3,1192,838,"2026-01-02","25388"
"Trevor Lawrence","QB","JAC",26.2,2021,93.8,29.2,13,1158,5287,"2026-01-02","19780"
"Bhayshul Tuten","RB","JAC",22.9,2025,95.8,109.8,28.3,1105,795,"2026-01-02","27297"
"Jayden Reed","WR","GB",25.7,2023,95.8,114.2,48.5,1105,717,"2026-01-02","23020"
"2026 Pick 1.11","PICK",NA,NA,NA,96.275,87.0125,NA,1093,1359,"2026-01-02",NA
"Jordan Love","QB","GB",27.2,2020,96.6,28.7,14.7,1085,5349,"2026-01-02","19246"
"Dak Prescott","QB","DAL",32.4,2016,97.8,33,13.7,1055,4835,"2026-01-02","15600"
"Bo Nix","QB","DEN",25.9,2024,98.8,25.8,12.3,1030,5726,"2026-01-02","22910"
"Jake Ferguson","TE","DAL",27,2022,99,113.2,12.2,1025,734,"2026-01-02","22718"
"Tyreek Hill","WR","MIA",31.8,2016,99.5,113.8,69.7,1013,724,"2026-01-02","15802"
"Josh Downs","WR","IND",24.4,2023,101.8,117.8,48,960,659,"2026-01-02","24706"
"2027 Late 1st","PICK",NA,NA,NA,101.89672026869,92.6835952686898,NA,958,1189,"2026-01-02",NA
"Stefon Diggs","WR","NE",32.1,2015,102.4,117.8,46.7,946,659,"2026-01-02","13981"
"Jauan Jennings","WR","SF",28.5,2020,103.2,121,46.5,929,611,"2026-01-02","19590"
"Michael Wilson","WR","ARI",25.9,2023,103.6,120.4,46.3,920,620,"2026-01-02","25333"
"2026 Pick 1.12","PICK",NA,NA,NA,103.75,94.4025,NA,917,1142,"2026-01-02",NA
"Matthew Golden","WR","GB",22.4,2025,104.4,121,49.5,903,611,"2026-01-02","26024"
"Mike Evans","WR","TB",32.4,2014,104.4,121.2,46.7,903,608,"2026-01-02","12119"
"Khalil Shakir","WR","BUF",25.9,2022,104.6,118.4,48.8,899,650,"2026-01-02","23748"
"Blake Corum","RB","LAR",25.1,2024,105.4,123.4,31.7,882,578,"2026-01-02","23013"
"Troy Franklin","WR","DEN",22.9,2024,106.2,120.2,48.5,866,623,"2026-01-02","23092"
"Baker Mayfield","QB","TB",30.7,2018,110,40.6,15.7,792,4044,"2026-01-02","17237"
"2026 Pick 2.01","PICK",NA,NA,NA,111.09,101.6725,NA,772,963,"2026-01-02",NA
"Tyrone Tracy Jr.","RB","NYG",26.1,2024,111.8,129,34.7,759,507,"2026-01-02","22980"
"David Montgomery","RB","DET",28.6,2019,111.8,129,32.3,759,507,"2026-01-02","18239"
"Chris Godwin Jr.","WR","TB",29.8,2017,115.8,127.2,51.3,691,528,"2026-01-02","16406"
"Brenton Strange","TE","JAC",25,2023,116,132.4,14.4,688,468,"2026-01-02","25345"
"2026 Pick 2.02","PICK",NA,NA,NA,118.29,108.8125,NA,652,814,"2026-01-02",NA
"Dallas Goedert","TE","PHI",31,2018,118.6,133.4,16.6,647,457,"2026-01-02","17270"
"Jared Goff","QB","DET",31.2,2016,119.2,50,17.5,638,3243,"2026-01-02","15501"
"Chuba Hubbard","RB","CAR",26.6,2021,119.6,133.8,34.3,632,453,"2026-01-02","19792"
"Jaylin Noel","WR","HOU",23.3,2025,122,139.2,58.3,597,399,"2026-01-02","27122"
"Tony Pollard","RB","TEN",28.7,2019,123,140,37.5,583,391,"2026-01-02","18705"
"Adonai Mitchell","WR","NYJ",23.2,2024,123.6,139.6,57.2,575,395,"2026-01-02","24357"
"2026 Pick 2.03","PICK",NA,NA,NA,125.355,115.835,NA,552,690,"2026-01-02",NA
"Jacory Croskey-Merritt","RB","WAS",24.7,2025,125.8,143,37.2,546,365,"2026-01-02","27316"
"Sam Darnold","QB","SEA",28.6,2018,127.4,61.4,19.7,526,2481,"2026-01-02","17236"
"Jonathon Brooks","RB","CAR",22.5,2024,128.5,195,57,513,107,"2026-01-02","26148"
"Mason Taylor","TE","NYJ",21.7,2025,129.8,141.6,17.6,497,377,"2026-01-02","26005"
"Deebo Samuel Sr.","WR","WAS",30,2019,130,142.6,57.2,495,368,"2026-01-02","18244"
"Jerry Jeudy","WR","CLE",26.7,2020,131.2,146.4,59.7,481,337,"2026-01-02","19201"
"2027 Early 2nd","PICK",NA,NA,NA,131.24922026869,121.75922026869,NA,480,601,"2026-01-02",NA
"2026 Pick 2.04","PICK",NA,NA,NA,132.28,122.735,NA,469,587,"2026-01-02",NA
"T.J. Hockenson","TE","MIN",28.5,2019,133,147.2,17,461,330,"2026-01-02","18290"
"Terrance Ferguson","TE","LAR",22.8,2025,133.4,150.6,18.4,457,305,"2026-01-02","23091"
"Rashid Shaheed","WR","SEA",27.3,2022,133.6,145,55.8,455,348,"2026-01-02","24687"
"Theo Johnson","TE","NYG",24.8,2024,133.8,148.6,17.8,453,320,"2026-01-02","23104"
"Elic Ayomanor","WR","TEN",22.6,2025,134,147.2,59.3,450,330,"2026-01-02","27059"
"Tre Harris","WR","LAC",23.8,2025,135,150,59.8,440,309,"2026-01-02","26215"
"Isaiah Likely","TE","BAL",25.7,2022,135.4,151.6,18,436,298,"2026-01-02","23781"
"Dylan Sampson","RB","CLE",21.3,2025,135.6,154.2,41.3,434,280,"2026-01-02","27102"
"Tyler Allgeier","RB","ATL",25.7,2022,137.2,151.6,40.8,418,298,"2026-01-02","24172"
"Rhamondre Stevenson","RB","NE",27.9,2021,138.2,153.8,39.5,408,283,"2026-01-02","22726"
"2026 Pick 2.05","PICK",NA,NA,NA,139.07,129.515,NA,400,500,"2026-01-02",NA
"Juwan Johnson","TE","NO",29.3,2020,139.6,154.8,18.2,395,276,"2026-01-02","19562"
"Cam Ward","QB","TEN",23.6,2025,140.8,67.2,19.8,384,2164,"2026-01-02","24755"
"Kenneth Gainwell","RB","PIT",26.8,2021,141.6,150.4,40.2,377,306,"2026-01-02","23310"
"J.K. Dobbins","RB","DEN",27,2020,142.2,157.4,44,371,260,"2026-01-02","19245"
"Romeo Doubs","WR","GB",25.7,2022,142.6,153,61.5,368,288,"2026-01-02","23794"
"Jordan Mason","RB","MIN",26.6,2022,142.6,158.6,44.2,368,253,"2026-01-02","22969"
"Kayshon Boutte","WR","NE",23.7,2023,144.2,158.8,59.8,354,251,"2026-01-02","22989"
"Matthew Stafford","QB","LAR",37.9,2009,145,83.6,22,348,1472,"2026-01-02","9451"
"J.J. McCarthy","QB","MIN",23,2024,145.6,77.4,23.5,343,1703,"2026-01-02","23018"
"2026 Pick 2.06","PICK",NA,NA,NA,145.74,136.1675,NA,342,428,"2026-01-02",NA
"Hunter Henry","TE","NE",31.1,2016,146.6,162,18.4,335,233,"2026-01-02","15561"
"Tyjae Spears","RB","TEN",24.6,2023,146.8,160.4,43.3,333,242,"2026-01-02","25323"
"Kaleb Johnson","RB","PIT",22.4,2025,147.4,161.8,45.7,329,234,"2026-01-02","27165"
"Tank Dell","WR","HOU",26.2,2023,147.6,225.6,91.2,327,52,"2026-01-02","25361"
"Pat Bryant","WR","DEN",23.1,2025,147.8,160,66.7,326,244,"2026-01-02","27211"
"Jalen Coker","WR","CAR",24.2,2024,149.6,158.2,63.3,312,255,"2026-01-02","26403"
"Mark Andrews","TE","BAL",30.3,2018,151.6,161.6,21,298,235,"2026-01-02","17269"
"Anthony Richardson Sr.","QB","IND",23.6,2023,151.6,93,35.8,298,1180,"2026-01-02","24347"
"2026 Pick 2.07","PICK",NA,NA,NA,152.285,142.6925,NA,293,367,"2026-01-02",NA
"Alvin Kamara","RB","NO",30.4,2017,156.2,165.6,47,267,214,"2026-01-02","16421"
"Aaron Jones Sr.","RB","MIN",31.1,2017,156.2,171,46,267,189,"2026-01-02","16673"
"Kyle Williams","WR","NE",23.1,2025,156.2,171.2,68,267,188,"2026-01-02","27487"
"2027 2nd","PICK",NA,NA,NA,157.735053602023,148.23797026869,NA,258,322,"2026-01-02",NA
"Parker Washington","WR","JAC",23.8,2023,158,173.8,66.5,256,177,"2026-01-02","23106"
"2027 Mid 2nd","PICK",NA,NA,NA,158.44297026869,148.86609526869,NA,254,318,"2026-01-02",NA
"2026 Pick 2.08","PICK",NA,NA,NA,158.695,149.1075,NA,252,316,"2026-01-02",NA
"Kimani Vidal","RB","LAC",24.3,2024,159.2,175.6,47.5,249,169,"2026-01-02","26355"
"Rachaad White","RB","TB",27,2022,163,175.2,46.3,228,171,"2026-01-02","23891"
"Darnell Mooney","WR","ATL",28.2,2020,164.2,179.2,71.7,222,156,"2026-01-02","19810"
"Jalen McMillan","WR","TB",24.1,2024,164.2,173,67.8,222,180,"2026-01-02","23179"
"2026 Pick 2.09","PICK",NA,NA,NA,164.955,155.415,NA,218,272,"2026-01-02",NA
"Tyler Shough","QB","NO",26.3,2025,165.2,82,21.8,216,1529,"2026-01-02","23096"
"Isiah Pacheco","RB","KC",26.8,2022,165.8,175,48.5,213,172,"2026-01-02","24333"
"David Njoku","TE","CLE",29.5,2017,167.2,175,22.8,206,172,"2026-01-02","16399"
"2028 2nd","PICK",NA,NA,NA,167.230523870713,157.73344053738,NA,206,258,"2026-01-02",NA
"James Conner","RB","ARI",30.7,2017,167.8,184.4,54.3,204,138,"2026-01-02","16447"
"Chimere Dike","WR","TEN",24.1,2025,168,175.4,68.3,203,170,"2026-01-02","27315"
"Keon Coleman","WR","BUF",22.6,2024,168.6,177.8,71.5,200,161,"2026-01-02","26019"
"AJ Barner","TE","SEA",23.7,2024,169,178.6,25.8,198,158,"2026-01-02","26335"
"Tory Horton","WR","SEA",23.1,2025,169.4,178.4,71.3,196,159,"2026-01-02","26022"
"Keenan Allen","WR","LAC",33.7,2013,170.2,185.8,78,192,133,"2026-01-02","11616"
"Isaac TeSlaa","WR","DET",23.9,2025,170.8,178.4,69.8,190,159,"2026-01-02","27446"
"Tank Bigsby","RB","PHI",24.3,2023,170.8,184.2,51.7,190,138,"2026-01-02","22908"
"Rashod Bateman","WR","BAL",26.1,2021,171,183.4,74.8,189,141,"2026-01-02","19794"
"2026 Pick 2.10","PICK",NA,NA,NA,171.08,161.6175,NA,188,235,"2026-01-02",NA
"Elijah Arroyo","TE","SEA",22.7,2025,171.2,181.4,26.8,188,148,"2026-01-02","23004"
"Daniel Jones","QB","IND",28.6,2019,171.8,92.6,25.7,185,1192,"2026-01-02","18232"
"Kyler Murray","QB","ARI",28.4,2019,175.2,62.8,24.3,171,2400,"2026-01-02","18600"
"Braelon Allen","RB","NYJ",22,2024,176.2,187.4,52.2,167,128,"2026-01-02","24346"
"Michael Penix Jr.","QB","ATL",25.7,2024,176.2,96.4,25.8,167,1090,"2026-01-02","22973"
"Tez Johnson","WR","TB",23.6,2025,176.8,189,81,165,124,"2026-01-02","27147"
"2026 Pick 2.11","PICK",NA,NA,NA,177.075,167.695,NA,164,204,"2026-01-02",NA
"Marvin Mims Jr.","WR","DEN",23.8,2023,177.2,184.4,77.8,163,138,"2026-01-02","23080"
"Ollie Gordon II","RB","MIA",22,2025,177.2,185.6,53.2,163,134,"2026-01-02","25984"
"Devin Neal","RB","NO",22.4,2025,177.6,187.2,52,162,129,"2026-01-02","23682"
"Calvin Ridley","WR","TEN",31,2018,177.8,189,78.5,161,124,"2026-01-02","17258"
"Dalton Schultz","TE","HOU",29.5,2018,180,193.8,24.8,153,110,"2026-01-02","17349"
"Tre Tucker","WR","LV",24.8,2023,181.4,189,77.3,148,124,"2026-01-02","25337"
"Jack Bech","WR","LV",23,2025,182.8,191.6,79.7,143,116,"2026-01-02","27224"
"2026 Pick 2.12","PICK",NA,NA,NA,182.96,173.645,NA,143,177,"2026-01-02",NA
"2027 Late 2nd","PICK",NA,NA,NA,183.51297026869,174.08859526869,NA,141,176,"2026-01-02",NA
"Jacoby Brissett","QB","ARI",33.1,2016,184.7,128,31.7,137,519,"2026-01-02","15642"
"Bryce Young","QB","CAR",24.4,2023,185,90.8,25.3,136,1243,"2026-01-02","22900"
"Travis Kelce","TE","KC",36.2,2013,185,192.4,31,136,114,"2026-01-02","11594"
"Jaylen Wright","RB","MIA",22.8,2024,186.2,200.2,61.3,132,95,"2026-01-02","25987"
"Sean Tucker","RB","TB",24.2,2023,186.4,190,55.7,131,121,"2026-01-02","23679"
"Cedric Tillman","WR","CLE",25.7,2023,186.6,200,80.5,131,96,"2026-01-02","25287"
"Brian Robinson Jr.","RB","SF",26.8,2022,187.6,196.2,53,128,104,"2026-01-02","20094"
"2026 Pick 3.01","PICK",NA,NA,NA,188.74,179.4475,NA,124,155,"2026-01-02",NA
"Kendre Miller","RB","NO",23.6,2023,191.2,202,64,117,91,"2026-01-02","24360"
"Emanuel Wilson","RB","GB",26.7,2023,192,195,65.2,115,107,"2026-01-02","25885"
"2026 Pick 3.02","PICK",NA,NA,NA,194.365,185.1275,NA,109,135,"2026-01-02",NA
"Dontayvion Wicks","WR","GB",24.5,2023,196,201.6,81.8,105,92,"2026-01-02","24354"
"Cooper Kupp","WR","SEA",32.6,2017,196.2,204.6,84.7,104,86,"2026-01-02","16433"
"Brashard Smith","RB","KC",22.7,2025,196.6,202.6,58.2,103,90,"2026-01-02","27259"
"Malik Washington","WR","MIA",25,2024,196.8,209,83.3,103,77,"2026-01-02","26314"
"Michael Mayer","TE","LV",24.5,2023,197.4,206.2,30.8,102,83,"2026-01-02","23056"
"Cade Otton","TE","TB",26.7,2022,197.4,203.4,30.2,102,88,"2026-01-02","23181"
"2026 Pick 3.03","PICK",NA,NA,NA,199.825,190.6975,NA,96,119,"2026-01-02",NA
"Malik Willis","QB","GB",26.6,2022,202.2,111.4,32,91,766,"2026-01-02","23499"
"Xavier Legette","WR","CAR",24.9,2024,202.2,209.6,84.3,91,76,"2026-01-02","26136"
"Jaydon Blue","RB","DAL",22,2025,204,212.5,71.2,87,71,"2026-01-02","24344"
"Joe Mixon","RB","HOU",29.4,2017,204.4,213,67,86,70,"2026-01-02","16420"
"Najee Harris","RB","LAC",27.8,2021,204.6,210.8,67.2,86,74,"2026-01-02","19302"
"2026 Pick 3.04","PICK",NA,NA,NA,205.14,196.1475,NA,85,105,"2026-01-02",NA
"Chig Okonkwo","TE","TEN",26.3,2022,205.6,211.8,30,84,72,"2026-01-02","23982"
"Kareem Hunt","RB","KC",30.4,2017,205.8,219,72.8,83,61,"2026-01-02","16425"
"Gunnar Helm","TE","TEN",23.3,2025,206,208.4,29,83,78,"2026-01-02","27109"
"Isaiah Bond","WR","CLE",21.8,2025,206.2,214,91.7,83,69,"2026-01-02","24371"
"2027 Early 3rd","PICK",NA,NA,NA,206.51297026869,197.35047026869,NA,82,102,"2026-01-02",NA
"Christian Kirk","WR","HOU",29.1,2018,206.8,215.2,89.8,81,67,"2026-01-02","17268"
"Ray Davis","RB","BUF",26.1,2024,208.2,217.8,60.2,79,63,"2026-01-02","26191"
"Dont'e Thornton Jr.","WR","LV",23.1,2025,209.8,219,93.8,76,61,"2026-01-02","27288"
"Ben Sinnott","TE","WAS",23.6,2024,210.2,215.2,30.4,75,67,"2026-01-02","26310"
"2026 Pick 3.05","PICK",NA,NA,NA,210.34,201.485,NA,75,92,"2026-01-02",NA
"Darius Slayton","WR","NYG",29,2019,210.6,213.2,89,74,70,"2026-01-02","18706"
"DJ Giddens","RB","IND",22.4,2025,210.6,219.2,71,74,61,"2026-01-02","27097"
"Chris Rodriguez Jr.","RB","WAS",25.3,2023,211.6,209,62.2,73,77,"2026-01-02","22986"
"Isaiah Davis","RB","NYJ",23.9,2024,212.8,212,63.7,71,72,"2026-01-02","25977"
"Evan Engram","TE","DEN",31.3,2017,212.8,215.8,32,71,66,"2026-01-02","16411"
"DeMario Douglas","WR","NE",25.1,2023,213.4,217.2,88.5,70,64,"2026-01-02","25304"
"Shedeur Sanders","QB","CLE",23.9,2025,213.6,130.2,30.8,69,492,"2026-01-02","25968"
"2026 Pick 3.06","PICK",NA,NA,NA,215.455,206.7,NA,66,82,"2026-01-02",NA
"Marquise Brown","WR","KC",28.6,2019,216,223.8,91.3,66,55,"2026-01-02","18226"
"Mac Jones","QB","SF",27.3,2021,217.2,121.2,31.3,64,608,"2026-01-02","20156"
"Audric Estime","RB","NO",22.3,2024,219.2,230.8,72.4,61,46,"2026-01-02","23054"
