gsis_id,pfr_id,mfl_id,sleeper_id,fantasy_data_id,rotowire_id,sportradar_id,rotoworld_id,yahoo_id,espn_id,stats_id,first_name,last_name,name,mergename,pos,team,age,salary_avg,fa_year,dynoECR,dyno2QBECR,dynoSD,dynpECR,dynpSD,rdpECR,rdpSD,draft_year,college,draft_round,draft_pick,draft_rookieadp,draft_2QBrookieadp,height,weight,armLength,handsize,forty,twenty-split,ten-split,bench,vertical,broad,shuttle,cone,RAS,offSnaps,offSnapsPct,gms,paATTs,paCMPs,paYDs,paTDs,paINTs,pa_aya,tm_paATTs,ruATTs,ruYDs,ruTDs,tm_ruATTs,tm_ruYDs,ms_ruATTs,tgts,recs,reYDs,reTDs,reAYDs,wopr,racr,adot,yac,ms_tgts,ms_AYDs,tm_tgts,tm_AYDs,1Ds,tm_1Ds,ms_1Ds,ppr,ppr/g
00-0033553,ConnJa00,13146,4137,18983,11691,28a084c0-14df-499f-bd1f-b975603626b7,,30218,3045147,742390,James,Conner,"Conner, James",James Conner,RB,PIT,24.3,0.79,2021,23.9,32.7,5.3,11.8,1.8,7.7,2.3,2017,Pittsburgh,3,41,24,27,73,233,31.25,9.875,4.65,2.69,1.63,20,29,113,4.45,7.19,4.71,718,0.6434,13,,,,,,,687,215,973,12,345,1445,0.62,71,55,497,1,23,0.16,21.61,0.32,544,0.11,0,676,5177,76,338,0.22,280,21.54
00-0033040,HillTy00,12801,3321,18082,11222,01d8aee3-e1c4-4988-970a-8c0c2d08bd83,11458,29399,3116406,823156,Tyreek,Hill,"Hill, Tyreek",Tyreek Hill,WR,KCC,25.5,0.65,2020,24.1,32.6,14.8,13.2,10.9,4.8,2.2,2016,West Alabama,5,28,100,,70,185,NA,NA,4.34,2.56,1.55,13,40.5,129,4.11,6.58,9.31,905,0.866,16,,,,,,,583,22,151,1,387,1855,0.06,137,87,1479,12,1898,0.63,0.78,13.85,570,0.25,0.38,559,4977,68,346,0.2,328,20.5
00-0030496,BellLe00,11192,1408,14967,8617,7735c02a-ee75-447c-86e6-6c2168500050,8390,26671,15825,543654,Le'Veon,Bell,"Bell, Le'Veon",LeVeon Bell,RB,NYJ,27.5,13.12,2023,24.3,33.2,5.4,11.5,2.1,8.7,2.9,2013,Michigan State,2,16,1,,73,225,31.625,9.625,4.6,2.64,1.57,24,31.5,118,4.24,6.75,9.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00-0033288,KittGe00,13299,4217,19063,11892,2ada91b0-036e-454f-83c3-6d939ff584a9,12276,30259,3040151,733672,George,Kittle,"Kittle, George",George Kittle,TE,SFO,25.8,0.67,2021,26.6,36.9,4.2,1.8,0.4,2.2,0.4,2017,Iowa,5,2,45,,76,250,33.125,9.25,4.52,2.65,1.59,18,36.75,132,4.12,6.81,9.75,929,0.8789,16,,,,,,,532,,,,422,1892,,135,88,1377,5,960,0.58,1.43,7.11,871,0.26,0.26,510,3627,61,298,0.2,255.7,15.98
00-0031236,CookBr00,11674,2197,16568,9260,b6b954eb-4591-4b7a-86b9-a481f15fdd58,9404,27548,16731,607864,Brandin,Cooks,"Cooks, Brandin",Brandin Cooks,WR,LAR,25.9,16.2,2024,30.1,40.5,6.6,14.2,2.6,15.6,2.9,2014,Oregon State,1,20,3,,70,183,30.75,9.625,4.33,2.53,1.54,16,36,120,3.81,6.76,9.24,989,0.8991,15,,,,,,,565,10,68,1,412,1913,0.02,116,80,1204,5,1469,0.55,0.82,12.66,357,0.22,0.32,536,4644,61,349,0.17,243.2,16.21
00-0033873,MahoPa00,13116,4046,18890,11839,11cad59d-90dd-449c-a839-dddaba4fe16c,12142,30123,3139477,839031,Patrick,Mahomes,"Mahomes, Patrick",Patrick Mahomes,QB,KCC,23.9,4.11,2022,30.5,4.3,8.1,1,0,1.1,0.3,2017,Texas Tech,1,10,33,10,75,230,33.25,9.25,4.8,2.8,1.65,NA,30,114,4.08,6.88,8.45,1032,0.9876,16,580,383,5097,50,12,8.79,583,60,272,2,387,1855,0.16,,,,,,,,,0,,,559,4977,18,346,0.05,419.08,26.19
00-0030035,ThieAd00,11938,1689,15534,8986,2fa2b2da-4aa9-44b5-b27e-56876dfe2ad4,9054,27277,16460,733643,Adam,Thielen,"Thielen, Adam",Adam Thielen,WR,MIN,29,16.05,2025,31,41.6,5.2,14.8,2.1,13.9,2.4,2014,Minnesota State,,,100,,74,200,NA,NA,4.54,2.59,NA,NA,36,120,4.54,6.82,6.63,1011,0.9619,16,,,,,,,606,5,30,,357,1493,0.01,155,113,1373,9,1453,0.63,0.94,9.37,444,0.26,0.34,589,4305,75,284,0.26,307.3,19.21
00-0033932,GollKe00,13277,4131,18977,11857,659d31a3-9c62-4e3d-a0ea-b2e4967d6947,12340,30209,2974858,697295,Kenny,Golladay,"Golladay, Kenny",Kenny Golladay,WR,DET,25.8,0.8,2021,31.7,42.6,7.6,15.6,3.4,18.4,2.9,2017,Northern Illinois,3,31,19,44,76,213,32,9.75,4.5,2.64,1.58,18,35.5,120,4.15,7,9.17,904,0.8409,15,,,,,,,572,1,8,,401,1626,0,118,70,1063,5,1530,0.59,0.69,12.97,365,0.21,0.4,571,3847,56,263,0.21,207.1,13.81
00-0034349,JohnKe06,13612,5068,19822,12525,6faa5a10-56b8-4dd0-b8de-0cf1378b6726,13156,31013,3916925,880548,Kerryon,Johnson,"Johnson, Kerryon",Kerryon Johnson,RB,DET,22.1,1.63,2022,32.7,44.2,6.1,14.6,3,15.6,3.1,2018,Auburn,2,11,5,14,71,206,32.5,9.75,4.57,2.71,1.68,11,40,126,4.29,7.07,6.58,346,0.3219,10,,,,,,,572,118,641,3,401,1626,0.29,39,32,213,1,-25,0.1,-8.52,-0.64,267,0.07,-0.01,571,3847,43,263,0.16,141.4,14.14
00-0029608,HiltT.00,10729,1110,14005,8098,b8426cea-f8b9-4061-8d56-e70d1230103e,7558,25802,14924,468655,T.Y.,Hilton,"Hilton, T.Y.",TY Hilton,WR,IND,29.8,13,2021,33.8,45.3,7,16.9,3.8,9.9,1.4,2012,Florida International,3,29,,,70,183,32,8.5,4.39,2.56,1.58,7,35.5,119,4.41,7.08,4.55,763,0.6717,14,,,,,,,643,,,,405,1726,,120,76,1270,6,1310,0.48,0.97,10.92,465,0.19,0.28,631,4726,55,332,0.17,239,17.07
