"count_col","mfl_id","sleeper_id","pfr_id","gsis_id","pff_id","espn_id","yahoo_id","ras_id","otc_id"
"953","15810","8291","SandMy00","00-0037751",NA,"4360080","34056",NA,NA
"954","15811","8351",NA,NA,NA,"4569511","34017",NA,NA
"955","15812","8360",NA,NA,NA,"4360189","33988",NA,NA
"956","15813","8382","EnagKi00","00-0037083",NA,"4362840","34135",NA,NA
"957","15814","8383",NA,NA,NA,"4361510","34043",NA,NA
"958","15815","8265",NA,NA,NA,"4426349","33956",NA,NA
"959","15816","8279",NA,NA,NA,"4686470","34064",NA,NA
"960","15817","8269",NA,NA,NA,"4381558","33968",NA,NA
"961","15818","8319",NA,NA,NA,"4426359","34040",NA,NA
"962","15819","8270",NA,NA,NA,"4361791","33983",NA,NA
"963","15820","8273",NA,NA,NA,"4241468","34002",NA,NA
"964","15821","8267","DeanNa00","00-0037615",NA,"4426340","34039",NA,NA
"965","15822","8329","LloyDe00","00-0037244",NA,"4243256","33982",NA,NA
"966","15823","8278","HarrCh06","00-0037823",NA,"4567099","34031",NA,NA
"967","15824","8272","TindCh00","00-0037813",NA,"4379414","34058",NA,NA
"968","15825","8292",NA,"00-0037285",NA,"4239121","34138",NA,NA
"969","15826","8309","ClarDa02","00-0037281",NA,"4362636","34132",NA,NA
"970","15827","8340","DomaJo00","00-0037393",NA,NA,"34490",NA,NA
"971","15828","8324","SmitBr08","00-0038113",NA,"4575416","34076",NA,NA
"972","15829","8283","AsamBr00","00-0037822",NA,"4360255","34022",NA,NA
"973","15830","8371","MumaCh00","00-0037811",NA,"4361707","34026",NA,NA
"974","15831","8362","ChenLe00","00-0037819",NA,"4426901","34059",NA,NA
"975","15832","8308",NA,NA,NA,"4426434","33958",NA,NA
"976","15833","8290",NA,NA,NA,NA,"33959",NA,NA
"977","15834","8339",NA,NA,NA,"4575517","33969",NA,NA
"978","15835","8323",NA,NA,NA,"4570044","34003",NA,NA
"979","15836","8286",NA,NA,NA,NA,"33986",NA,NA
"980","15837","8268",NA,NA,NA,"4426536","33987",NA,NA
"981","15838","8353",NA,NA,NA,NA,"34532",NA,NA
"982","15839","8392",NA,NA,NA,"4426403","34052",NA,NA
"983","15840","8219","WoodJe01","00-0037755",NA,"4241410","34029",NA,NA
"984","15841","8235","TourSa00","00-0037098",NA,"4027873","34214",NA,NA
"985","15844","8411",NA,"00-0037039",NA,NA,"33953",NA,NA
"986","15845","8364",NA,NA,NA,"4426405","33976",NA,NA
"987","15846","8266","WalkQu00","00-0037074",NA,"4379416","33977",NA,NA
"988","15847","8296",NA,NA,NA,"4567399","33978",NA,NA
"989","15849","8303",NA,NA,NA,"4371973","33990",NA,NA
"990","15850","8314",NA,NA,NA,"4241223","33992",NA,NA
"991","15851","8325","EbikAr00","00-0038116",NA,"4257591","33993",NA,NA
"992","15852","8365",NA,NA,NA,"4361093","33994",NA,NA
"993","15853","8343",NA,NA,NA,"4240754","33995",NA,NA
"994","15854","8300",NA,NA,NA,"4426344","33997",NA,NA
"995","15855","8358",NA,NA,NA,"4259994","34001",NA,NA
"996","15856","8333",NA,NA,NA,"4369835","34004",NA,NA
"997","15857","8368",NA,NA,NA,"4567242","34011",NA,NA
"998","15858","8388","AndeTr00","00-0037810",NA,"4247807","34015",NA,NA
"999","15859","8341",NA,NA,NA,"4361196","34016",NA,NA
"1000","15860","8294",NA,NA,NA,"4247726","34018",NA,NA
"1001","15861","8280","BoniNi00","00-0037249",NA,"4360259","34020",NA,NA
"1002","15862","8390",NA,NA,NA,"4429568","34024",NA,NA
"1003","15863","8400",NA,NA,NA,"4362139","34032",NA,NA
"1004","15864","8376",NA,NA,NA,"4570119","34034",NA,NA
"1005","15865","8313",NA,NA,NA,"4362917","34035",NA,NA
"1006","15866","8310",NA,NA,NA,NA,"34037",NA,NA
"1007","15867","8372","MaloDe00","00-0037808",NA,"4243457","34038",NA,NA
"1008","15868","8359",NA,NA,NA,"4241720","34041",NA,NA
"1009","15869","8311","BernTe00","00-0037254",NA,"4259166","34045",NA,NA
"1010","15870","8295",NA,NA,NA,"4240619","34051",NA,NA
