Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
180,,Kalen BallageK. Ballage MIA,RB61,,134,233,187.4,6.7
181,,Gerald EverettG. Everett LAR,TE21,,136,259,170.5,10.8
182,,Devante ParkerD. Parker MIA,WR64,,138,260,171.3,18.3
183,,Stephen GostkowskiS. Gostkowski NE,K4,,175,204,191.2,4.9
184,,Albert WilsonA. Wilson MIA,WR65,,129,226,177.2,16.6
185,,Marqise LeeM. Lee JAC,WR66,,127,210,179.7,20.2
186,,Carlos HydeC. Hyde JAC,RB62,,126,226,181.2,13.9
187,,Jaylen SamuelsJ. Samuels PIT,RB63,,72,256,163.0,33.2
188,,Jalen RichardJ. Richard OAK,RB64,,143,257,199.2,27.6
189,,Devin FunchessD. Funchess CAR,WR67,,148,220,183.1,19.5
190,,Mohamed SanuM. Sanu ATL,WR68,,109,229,183.3,30.7
191,,Tre'Quan SmithT. Smith NO,WR69,,113,215,184.5,12.3
192,,Ka'imi FairbairnK. Fairbairn HOU,K5,,180,214,201.1,4.5
193,,Dallas GoedertD. Goedert PHI,TE22,,172,236,187.7,13.9
194,,Eli ManningE. Manning NYG,QB27,,176,241,204.0,16.3
195,,Cleveland (CLE)CLE DST,DST8,,166,207,188.4,13.2
196,,New Orleans (NO)NO DST,DST9,,165,212,188.7,13.1
Tier 11,
197,,Josh RosenJ. Rosen ARI,QB28,,167,254,210.7,26.2
198,,Wil LutzW. Lutz NO,K6,,182,218,211.3,9.4
199,,Giovani BernardG. Bernard CIN,RB65,,177,237,196.6,14.4
200,,Matt BryantM. Bryant ATL,K7,,183,250,211.8,9.6
201,,Denver (DEN)DEN DST,DST10,,176,224,197.7,6.7
202,,Michael CrabtreeM. Crabtree BAL,WR70,,138,231,198.9,21.5
203,,Donte MoncriefD. Moncrief JAC,WR71,,155,207,198.9,10.0
204,,Mike GesickiM. Gesicki MIA,TE23,,166,231,199.4,13.0
205,,Demaryius ThomasD. Thomas HOU,WR72,,132,208,159.0,17.1
206,,Cameron BrateC. Brate TB,TE24,,153,255,182.0,19.6
207,,Nelson AgholorN. Agholor PHI,WR73,,154,228,202.8,13.6
208,,Taywan TaylorT. Taylor TEN,WR74,,194,246,205.5,5.9
209,,Buffalo (BUF)BUF DST,DST11,,181,213,206.7,3.7
210,,Paul RichardsonP. Richardson WAS,WR75,,153,231,208.1,13.6
211,,Tyrell WilliamsT. Williams LAC,WR76,,124,230,208.2,14.2
212,,Dallas (DAL)DAL DST,DST12,,175,225,208.7,9.8
213,,David MooreD. Moore SEA,WR77,,157,223,192.4,18.7
214,,Matt PraterM. Prater DET,K8,,188,238,223.3,7.3
215,,Mason CrosbyM. Crosby GB,K9,,187,252,223.6,9.9
216,,Mike DavisM. Davis SEA,RB66,,141,271,225.1,26.9
217,,Tennessee (TEN)TEN DST,DST13,,183,249,211.9,6.2
218,,Jake ElliottJ. Elliott PHI,K10,,190,250,226.5,6.0
219,,Josh ReynoldsJ. Reynolds LAR,WR78,,200,239,213.4,6.2
220,,New England (NE)NE DST,DST14,,186,266,215.2,3.7
221,,Case KeenumC. Keenum DEN,QB29,,197,282,229.1,17.8
222,,Tyler EifertT. Eifert CIN,TE25,,121,267,200.4,31.5
223,,Josh DoctsonJ. Doctson WAS,WR79,,200,230,218.2,4.6
224,,Equanimeous St. BrownE. St. GB,WR80,,156,216,205.3,8.0
225,,Randall CobbR. Cobb GB,WR81,,202,262,222.7,8.6
226,,Graham GanoG. Gano CAR,K11,,196,283,236.1,14.8
227,,Seattle (SEA)SEA DST,DST15,,189,230,224.0,2.6
228,,D.J. CharkD. Chark JAC,WR82,,210,256,226.5,9.1
229,,Jordy NelsonJ. Nelson OAK,WR83,,101,268,229.9,10.8
230,,Frank GoreF. Gore MIA,RB67,,134,310,232.1,29.4
231,,Atlanta (ATL)ATL DST,DST16,,176,265,232.2,16.8
232,,Chris HoganC. Hogan NE,WR84,,174,256,233.1,11.5
233,,Philadelphia (PHI)PHI DST,DST17,,191,248,233.2,8.1
234,,Brett MaherB. Maher DAL,K12,,200,273,245.3,14.2
235,,Ryan TannehillR. Tannehill MIA,QB30,,178,308,247.5,22.5
236,,Adam VinatieriA. Vinatieri IND,K13,,201,324,236.8,9.6
237,,Robbie GouldR. Gould SF,K14,,198,302,248.8,7.9
238,,Malcolm BrownM. Brown LAR,RB68,,195,313,238.7,15.3
239,,Corey ClementC. Clement PHI,RB69,,216,270,239.5,17.2
240,,Ricky Seals-JonesR. Seals-Jones ARI,TE26,,180,271,228.1,20.8
Tier 12,
241,,Jordan WilkinsJ. Wilkins IND,RB70,,199,271,243.1,9.6
242,,Chase EdmondsC. Edmonds ARI,RB71,,195,316,243.8,16.0
243,,Willie SneadW. Snead BAL,WR85,,193,262,244.0,9.0
244,,Dan BaileyD. Bailey MIN,K15,,202,296,256.3,16.5
245,,Dez BryantD. Bryant NO,WR86,,206,326,234.3,23.0
246,,Mark AndrewsM. Andrews BAL,TE27,,143,259,222.8,31.1
247,,Ryan SuccopR. Succop TEN,K16,,210,288,260.7,17.6
248,,Justin JacksonJ. Jackson LAC,RB72,,198,272,251.0,7.3
249,,Hayden HurstH. Hurst BAL,TE28,,177,259,223.8,17.6
250,,John KellyJ. Kelly LAR,RB73,,193,290,253.7,8.9
251,,Michael BadgleyM. Badgley LAC,K17,,193,288,253.7,25.7
252,,Keelan ColeK. Cole JAC,WR87,,226,287,242.8,0.8
253,,Ted GinnT. Ginn NO,WR88,,137,328,243.0,21.3
254,,Ian ThomasI. Thomas CAR,TE29,,135,260,243.3,21.9
255,,Pittsburgh (PIT)PIT DST,DST18,,199,290,256.9,16.0
256,,Bilal PowellB. Powell NYJ,RB74,,156,322,245.3,30.5
257,,Chris ConleyC. Conley KC,WR89,,225,271,246.1,9.2
258,,Jake ButtJ. Butt DEN,TE30,,204,288,258.3,19.9
259,,Carolina (CAR)CAR DST,DST19,,233,277,249.9,9.8
260,,Theo RiddickT. Riddick DET,RB75,,184,287,261.6,13.1
261,,Jason MyersJ. Myers NYJ,K18,,205,281,256.0,16.5
262,,Rashard HigginsR. Higgins CLE,WR90,,189,351,244.1,24.1
263,,Indianapolis (IND)IND DST,DST20,,207,292,257.2,22.7
264,,Brandon McManusB. McManus DEN,K19,,208,297,277.5,10.6
265,,Arizona (ARI)ARI DST,DST21,,206,322,269.7,14.6
266,,Rod SmithR. Smith DAL,RB76,,237,315,274.0,10.7
267,,Aldrick RosasA. Rosas NYG,K20,,211,304,274.9,22.3
268,,Kelvin BenjaminK. Benjamin KC,WR91,,242,309,254.4,9.0
269,,Alex SmithA. Smith WAS,QB31,,202,320,267.6,22.1
270,,Pierre GarconP. Garcon SF,WR92,,205,290,256.1,13.7
271,,Ryan GrantR. Grant IND,WR93,,244,306,268.2,8.7
272,,Jeff WilsonJ. Wilson SF,RB77,,194,312,268.7,23.9
273,,Austin Seferian-JenkinsA. Seferian-Jenkins FA,TE31,,231,311,257.4,10.0
274,,Wendell SmallwoodW. Smallwood PHI,RB78,,184,316,270.0,21.2
275,,Devontae BookerD. Booker DEN,RB79,,256,298,280.2,8.6
276,,Kansas City (KC)KC DST,DST22,,210,307,260.8,13.8
277,,Nick VannettN. Vannett SEA,TE32,,240,314,261.6,10.0
278,,J'Mon MooreJ. Moore GB,WR94,,243,313,262.6,7.0
279,,Nick FolesN. Foles PHI,QB32,,157,328,279.3,47.7
280,,Cole BeasleyC. Beasley DAL,WR95,,222,304,270.3,12.0
281,,Sebastian JanikowskiS. Janikowski SEA,K21,,251,300,281.7,8.2
282,,Blake BortlesB. Bortles JAC,QB33,,204,326,281.9,15.5
283,,Cameron MeredithC. Meredith NO,WR96,,224,315,272.1,10.1
284,,Chris BoswellC. Boswell PIT,K22,,227,318,284.7,15.0
