PLAYERID,DRAFTYEAR,POSITION,40,20,10,BENCH,VERTICAL,BROAD,SHUTTLE,CONE
11123,2014,DT,,,,22,,,,
11124,2014,LB,4.84,2.82,1.71,15,31.5,810,4.37,7.2
11125,2014,FS,4.54,,,,,,,
11126,2014,LB,4.74,2.79,1.72,17,33.5,907,4.38,7.03
11127,2014,LB,4.58,2.64,1.59,16,36,1000,4.42,7.11
11128,2014,CB,4.59,2.6,1.6,8,32.5,910,4.13,6.65
11129,2014,WR,4.65,2.74,1.65,13,27.5,900,4.2,6.89
11130,2014,WR,4.44,2.59,1.55,23,39,,,
11131,2014,TE,4.61,2.67,1.61,15,39,1008,,
11132,2014,DE,4.69,2.61,1.6,26,36,1000,4.43,7.1
11133,2014,QB,4.66,2.72,1.67,,34,908,4.33,7.07
11134,2014,OG,5.3,3.06,1.82,21,25,805,4.61,7.44
11135,2014,WR,4.51,2.65,1.59,,33,908,4.22,7.16
11136,2014,OC,5.03,2.82,1.78,36,27,811,4.53,7.46
11137,2014,LB,4.6,2.65,1.61,23,33,909,4.48,7.37
11138,2014,WR,4.5,2.63,1.56,14,33,1005,4.42,6.83
11139,2014,OT,,,,,,,,
11140,2014,SS,4.65,2.7,1.6,12,32.5,911,4.35,7.15
11141,2014,DE,4.76,2.75,1.65,24,30.5,907,4.41,7.08
11142,2014,OG,5.5,3.26,1.89,25,25,801,4.93,7.97
11143,2014,TE,4.89,2.89,1.69,18,33.5,1000,4.44,7.42
11144,2014,OG,5.36,3.1,1.82,25,25.5,707,4.83,7.7
11145,2014,OT,5.59,3.19,1.93,21,27.5,800,4.84,7.71
11146,2014,QB,4.74,2.74,1.64,,33.5,908,4.52,7.56
11147,2014,TE,4.95,2.95,1.76,22,32.5,901,4.62,7.46
11148,2014,OG,5.42,3.17,1.95,23,24,805,4.89,8.14
11149,2014,OG,5.15,3.03,1.78,33,27.5,802,4.71,7.94
11150,2014,CB,5,2.87,1.7,9,33,900,4.48,7.3
11151,2014,WR,4.5,2.6,1.54,12,40,1000,3.9,6.53
11152,2014,LB,4.68,2.7,1.64,18,28.5,809,4.42,7.4
11153,2014,RB,4.45,2.61,1.56,16,35.5,1001,4.25,7.37
11154,2014,LB,4.67,2.69,1.63,15,32,1001,4.3,7.1
11155,2014,OG,5.45,3.15,1.95,27,28,806,4.7,7.69
11156,2014,DT,5.3,3.16,1.92,27,20.5,801,5.09,7.99
11157,2014,SS,4.67,2.69,1.6,13,32,906,3.95,6.47
11158,2014,OG,5.8,3.31,1.97,18,23.5,709,5.02,8.4
11159,2014,DT,5.35,3.07,1.85,25,27.5,805,4.78,7.73
11160,2014,CB,4.51,2.65,1.63,15,,,,
11161,2014,RB,4.54,2.69,1.55,20,39.5,1003,4.54,7.07
11162,2014,RB,4.54,2.69,1.55,20,39.5,1003,4.54,7.07
11163,2014,DE,4.96,2.84,1.65,,29.5,901,4.53,7.43
11164,2014,SS,4.49,2.66,1.56,14,35.5,909,4.32,7.32
11165,2014,CB,4.48,2.64,1.57,14,39,1003,3.97,6.65
11166,2014,WR,4.56,2.68,1.64,14,39.5,1003,4.3,6.82
11167,2014,QB,4.99,2.9,1.72,,28,807,4.5,7.55
11168,2014,RB,4.72,2.78,1.66,16,36.5,1000,4.21,6.9
11169,2014,OT,5.28,3.05,1.84,22,33.5,709,4.61,7.5
11170,2014,DE,5.02,,1.72,33,29,809,4.47,7.84
11171,2014,FB,4.76,2.71,1.63,23,36,1003,4.4,7.13
11172,2014,FS,4.46,2.57,1.55,18,38.5,910,4.12,7.01
11173,2014,OG,5.48,3.13,1.86,22,28.5,807,4.86,7.81
11174,2014,FS,4.45,2.56,1.58,10,37.5,,4.52,7.62
11175,2014,DT,5.06,2.89,1.73,24,25.5,807,5.1,7.71
11176,2014,RB,4.5,2.67,1.63,8,32,1004,4.23,6.94
11177,2014,LB,4.63,2.68,1.5,20,30.5,902,4.33,7.16
11178,2014,DE,4.59,2.69,1.67,29,35.5,1004,4.73,7.07
11179,2014,CB,4.52,2.66,1.56,11,36.5,909,4.38,7
11180,2014,CB,4.46,2.59,1.57,13,35.5,1009,4.32,7.12
11181,2014,DE,4.8,2.8,1.68,20,34.5,905,4.31,7.46
11182,2014,CB,4.52,2.67,1.62,11,37,1003,4.34,6.8
11183,2014,OC,4.9,2.85,1.75,24,29,902,4.22,7.59
11184,2014,DT,5.13,2.99,1.74,16,29.5,807,4.84,7.61
11185,2014,DE,5.07,2.87,1.75,14,29.5,907,4.42,7.37
11186,2014,LB,4.74,2.73,1.73,26,29,809,4.61,7.46
11187,2014,SS,4.49,2.6,1.54,19,36.5,1005,4.26,6.96
11188,2014,LB,4.81,2.77,1.69,14,31,909,4.42,7.18
11189,2014,QB,4.69,2.73,1.64,,34.5,902,4.2,
11190,2014,CB,4.51,2.63,1.58,11,31.5,901,4.31,7.21
11191,2014,DE,5.01,2.89,1.74,22,30,808,4.5,
11192,2014,WR,4.65,2.71,1.52,12,37.5,1006,4.36,6.82
11193,2014,SS,4.7,2.72,1.6,18,32.5,906,4.62,7.29
11194,2014,LB,4.61,2.73,1.59,23,32.5,906,4.64,7.27
11195,2014,WR,4.55,2.64,1.58,,37,1004,4.01,6.89
11196,2014,WR,4.62,2.69,1.61,15,32.5,1000,4.19,
11197,2014,LB,4.7,2.73,1.64,23,30,905,4.32,7.25
11198,2014,RB,4.58,2.69,1.66,14,31.5,910,4.26,7.11
11199,2014,CB,4.36,2.58,1.5,9,35,911,4.37,7.28
11200,2014,SS,4.43,2.67,1.58,23,34.5,908,4.33,6.99
11201,2014,CB,4.47,2.63,1.58,,37,1002,4.18,6.84
11202,2014,SS,4.38,2.52,1.5,,42,1004,4.37,6.5
11203,2014,OC,5.06,2.93,1.85,26,30,709,4.65,7.81
11204,2014,FS,4.66,2.71,1.64,14,34,905,4.15,6.97
11205,2014,DT,,,,26,,,,
11206,2014,TE,,,,,,,,
11207,2014,OG,5.55,3.15,1.84,20,32,806,4.88,8
11208,2014,CB,4.45,2.62,1.57,12,38.5,1004,4.24,6.82
11209,2014,WR,4.47,2.56,1.61,14,42,1010,4.3,6.79
11210,2014,WR,4.4,2.57,1.54,13,39.5,1100,4.3,7.02
11211,2014,QB,4.69,2.75,1.65,30,30,811,4.5,7.44
11212,2014,WR,4.26,2.51,1.49,20,38,1002,4.06,6.86
11213,2014,QB,4.95,2.91,1.76,,29,900,4.43,7.25
11214,2014,DE,4.7,2.75,1.64,21,32.5,1003,4.5,7.5
11215,2014,DE,4.94,2.88,1.74,27,28,805,4.61,7.62
11216,2014,CB,4.51,2.59,1.58,15,31.5,907,4.28,7.13
11217,2014,DT,5.16,2.92,1.73,29,28,805,4.61,7.78
11218,2014,FS,4.57,2.67,1.59,15,32.5,909,4.49,7.18
11219,2014,DE,4.98,2.85,1.78,27,28,807,4.75,8.07
11220,2014,DT,5.1,2.89,1.72,24,29.5,803,5.03,7.99
11221,2014,FS,4.66,2.7,1.62,3,36,911,4.35,7.22
11222,2014,TE,4.6,2.71,1.63,24,32,1000,4.45,7.49
11223,2014,FS,4.44,2.63,1.59,25,39.5,1006,4.31,7.02
11224,2014,WR,4.59,2.68,1.58,13,34.5,907,4.3,7.02
11225,2014,WR,4.48,2.64,1.56,,36,911,4.18,6.72
11226,2014,TE,,,,,,,,
11227,2014,OT,5.37,3.05,1.81,27,27,802,4.81,8.19
11228,2014,DE,4.9,2.89,1.75,19,29,902,4.67,7.3
11229,2014,OT,5.25,3.03,1.81,26,24,805,4.7,7.68
11230,2014,DT,5.11,2.98,1.82,29,29.5,805,4.72,
11231,2014,WR,4.59,2.68,1.61,10,40,910,4.31,7.19
11232,2014,OC,5.21,3.01,1.84,25,26,808,4.65,7.66
11233,2014,RB,4.53,2.56,1.59,24,35.5,1002,4.1,6.59
11234,2014,OT,5.12,2.93,1.78,24,28.5,810,4.69,7.66
11235,2014,DT,4.85,2.79,1.66,34,29.5,901,4.58,7.31
11236,2014,WR,4.57,2.67,1.6,7,32,903,4.43,7.56
11237,2014,WR,4.49,2.65,1.6,13,33.5,907,4.36,6.59
11238,2014,OC,5.13,2.96,1.77,22,26,807,4.37,7.3
11239,2014,OG,5.51,3.18,1.86,30,29,900,4.78,8.25
11240,2014,QB,4.83,2.79,1.69,,29.5,909,4.41,7.43
11241,2014,OT,5.05,2.93,1.64,25,33.5,907,4.4,7.09
11242,2014,DT,5.21,2.94,1.88,23,24.5,802,4.75,7.88
11243,2014,OT,5.03,2.91,1.68,19,35,905,4.56,7.59
11244,2014,FB,4.73,2.72,1.59,22,36.5,908,4.53,7.22
11245,2014,RB,4.48,2.64,1.61,19,38,1001,4.46,7.07
11246,2014,DT,4.99,2.93,1.78,18,29.5,902,4.57,7.47
11247,2014,LB,4.7,2.74,1.62,30,35,910,4.25,6.99
11248,2014,RB,4.69,2.75,1.69,22,36.5,1002,4.38,7.3
11249,2014,LB,4.85,2.75,1.77,20,28,807,4.61,7.44
11250,2014,CB,4.34,2.55,1.56,17,35,1006,3.97,6.5
11251,2014,OT,4.92,2.88,1.72,32,28.5,905,4.86,7.8
11252,2014,RB,4.71,2.74,1.63,18,28,1001,4.25,7.22
11253,2014,OC,,,,26,25.5,804,,
11254,2014,FS,4.58,2.68,1.6,11,33,911,4.16,7.16
11255,2014,SS,4.77,2.73,1.65,17,37,906,4.47,6.99
11256,2014,RB,4.43,2.6,1.58,20,34.5,910,4.13,7.07
11257,2014,LB,4.6,2.69,1.63,21,40.5,1004,4.41,7.16
11258,2014,DE,5.01,2.9,1.74,28,34,904,4.65,7.67
11259,2014,TE,4.61,2.6,1.6,15,37,1004,4.4,7.28
11260,2014,WR,4.58,2.67,1.59,16,31,907,3.94,6.74
11261,2014,RB,4.57,2.65,1.55,23,38,908,4.56,7.28
11262,2014,SS,4.6,2.67,1.59,15,36.5,1002,4.47,7.05
11263,2014,FS,4.66,2.7,1.63,16,37,1007,4.34,7.27
11264,2014,DT,5.28,3.1,1.86,19,29,905,4.72,7.56
11265,2014,FB,4.95,2.9,1.74,23,28.5,903,4.58,7.68
11266,2014,CB,4.45,2.6,1.55,16,29.5,904,4.3,7.04
11267,2014,TE,4.74,2.76,1.64,28,33,910,4.3,7.42
11268,2014,OG,5.37,2.94,1.9,28,26,805,4.64,7.79
11269,2014,DE,4.63,2.72,1.63,18,36,1003,4.18,6.97
11270,2014,TE,4.68,2.75,1.63,21,38.5,1007,,
11271,2014,TE,4.89,2.88,1.74,,28.5,903,4.4,7.55
11272,2014,DE,4.53,2.68,1.59,21,37.5,1004,4.43,7.27
11273,2014,OT,5.07,2.94,1.75,24,30.5,809,4.47,7.34
11274,2014,DE,4.99,2.84,1.7,22,28,905,4.91,7.31
11275,2014,TE,4.79,2.81,1.68,24,33,906,4.27,7.18
11276,2014,OT,5.29,3,1.84,,29,811,4.92,7.84
11277,2014,WR,4.44,2.6,1.55,,34,1002,4.34,7.29
11278,2014,WR,4.58,2.63,1.59,18,38,1003,4.34,6.78
11279,2014,QB,4.95,2.84,1.69,,26,,4.56,7.44
11280,2014,DE,4.7,2.76,1.68,26,37,1002,4.27,7.19
11281,2014,OT,5.59,3.25,1.93,20,22,,4.73,
11282,2014,LB,4.8,2.76,1.64,18,34.5,909,4.36,6.94
11283,2014,RB,4.59,2.61,1.57,16,32.5,906,4.22,7.21
11284,2014,OC,5.17,2.99,1.81,22,27.5,809,4.63,8.16
11285,2014,DE,4.85,2.8,1.67,17,32.5,907,4.62,7.75
11286,2014,RB,4.57,2.66,1.6,23,32,906,4.2,7.05
11287,2014,RB,4.86,2.88,1.74,18,35,1001,4.24,6.92
11288,2014,RB,4.86,2.88,1.74,18,35,1001,4.24,6.92
11289,2014,WR,4.45,2.56,1.57,16,38.5,1008,4.32,7.18
11290,2014,DT,5.2,3,1.89,33,30,805,4.43,7.47
11291,2014,WR,4.5,2.65,1.62,4,30.5,909,4.08,6.8
11292,2014,OG,5.29,3.05,1.71,34,30,900,4.69,8.2
11293,2014,WR,4.77,2.84,1.73,12,28.5,902,4.59,7.56
11294,2014,OG,5.65,3.23,1.9,25,21.5,711,5.25,8.16
11295,2014,DE,4.77,2.72,1.63,20,30,810,4.38,7.02
11296,2014,CB,4.38,2.54,1.47,19,39,1008,4,6.69
11297,2014,WR,4.44,2.6,1.58,23,34,910,4.34,6.87
11298,2014,OT,5.34,3.08,1.86,22,29,807,4.56,7.42
11299,2014,DT,5.06,2.93,1.74,26,33.5,810,4.78,7.92
11300,2014,LB,4.75,2.7,1.6,18,31,902,4.4,7.26
11301,2014,OC,4.92,2.86,1.71,28,31.5,903,4.7,7.33
11302,2014,FB,4.72,2.75,1.7,27,32,901,4.4,7.33
11303,2014,CB,4.41,2.56,1.5,22,31.5,910,4.5,7.13
11304,2014,LB,4.75,2.7,1.6,18,31,902,4.4,7.26
11305,2014,WR,4.65,2.68,1.69,15,37,910,4.39,7.13
11306,2014,WR,4.42,2.6,1.55,20,37.5,1003,3.98,6.64
11307,2014,QB,5.26,3.09,1.87,,25.5,809,4.36,7.14
11308,2014,CB,4.55,2.64,1.57,19,37,1005,4.25,7.03
11309,2014,DE,,,,,,,,
11310,2014,LB,4.57,2.65,1.55,,37.5,903,4.68,7.28
11311,2014,LB,4.91,2.86,1.7,28,33,907,4.69,7.46
11312,2014,OT,5.37,3.06,1.91,21,26,806,4.86,7.63
11313,2014,WR,4.6,2.65,1.6,15,36,906,4.28,7.19
11314,2014,FS,4.4,2.63,1.56,18,33.5,1006,4.32,6.99
11315,2014,WR,4.49,2.66,1.6,15,39.5,1010,4.26,7.07
11316,2014,RB,4.66,2.73,1.65,20,29,905,4.59,7.64
11317,2014,RB,4.41,2.57,1.55,32,40.5,1100,4.12,6.83
11318,2014,SS,4.55,2.63,1.59,18,41.5,1102,4.41,6.94
11319,2014,TE,4.7,2.68,1.64,26,34.5,908,4.56,7.66
11320,2014,RB,4.84,2.82,1.68,14,36,910,4.6,7.53
11321,2014,WR,4.65,2.68,1.69,15,37,910,4.39,7.13
11322,2014,SS,4.55,2.6,1.6,27,35,903,4.16,7.05
11323,2014,LB,4.57,2.67,1.6,24,38.5,905,4.5,7.33
11324,2014,SS,4.47,2.54,1.56,9,38,1005,4.24,6.89
11325,2014,QB,4.97,2.91,1.78,,30.5,902,4.26,7.04
11326,2014,DT,,,,30,27,710,,
11327,2014,TE,,,,35,,,,
11328,2014,LB,4.7,2.77,1.58,22,38,909,4.64,7.45
11329,2014,OG,4.97,2.9,1.78,22,32,906,4.44,7.37
11330,2014,WR,4.34,2.55,1.56,8,36.5,911,4.12,6.91
11331,2014,OG,5.19,3.06,1.86,42,24.5,803,4.87,8.21
11332,2014,OG,5.31,3.08,1.84,30,29,806,4.47,7.55
11333,2014,SS,,,,,,,,
11334,2014,QB,4.68,2.72,1.63,,31.5,905,4.03,6.75
11335,2014,OG,5.34,3.06,1.83,,21.5,804,4.83,8.26
11336,2014,LB,5.03,2.96,1.8,16,31,900,4.56,7.77
11337,2014,FS,4.52,2.65,1.57,8,33.5,910,4.24,7.04
11338,2014,WR,4.37,2.53,1.59,13,37.5,1008,4.04,6.94
11339,2014,LB,4.73,2.75,1.64,21,34,909,4.63,7.31
11340,2014,WR,4.65,2.63,1.64,11,31,911,4.19,6.85
11341,2014,OC,5.15,3,1.83,27,27,905,4.86,7.97
11342,2014,RB,4.86,2.88,1.73,10,30.5,807,4.32,7.32
11343,2014,QB,4.76,2.76,1.65,,29.5,901,4.2,6.55
11344,2014,WR,4.46,2.61,1.55,21,35.5,1000,4.18,6.95
11345,2014,TE,4.93,2.85,1.7,18,32.5,904,4.47,7.14
11346,2014,LB,4.67,2.73,1.64,22,37.5,1000,3.96,6.89
11347,2014,LB,4.76,2.77,1.63,,33,908,4.32,6.99
11348,2014,OC,5.16,2.93,1.84,29,32,906,4.56,7.65
11349,2014,OG,5.03,2.8,1.73,25,29.5,800,4.64,7.4
11350,2014,WR,4.51,2.62,1.58,14,35.5,908,4.12,6.96
11351,2014,DE,5.21,3.03,1.8,21,32,908,4.51,7.43
11352,2014,WR,4.69,2.73,1.64,11,35,909,4.33,7.1
11353,2014,OG,5.19,3.01,1.85,23,27.5,709,4.77,8.01
11354,2014,OT,5.25,2.94,1.81,24,32,906,4.59,7.5
11355,2014,DT,4.97,2.87,1.84,28,32,907,4.41,7.5
11356,2014,OT,5.19,3.01,1.81,23,27.5,804,4.69,8.14
11357,2014,DT,5.27,3.1,1.86,25,28,708,4.75,7.81
11358,2014,CB,4.37,2.57,1.54,20,35.5,1006,4.39,6.92
11359,2014,LB,,,,27,39.5,1003,4.29,6.75
11360,2014,OG,5.49,3.02,1.84,32,25.5,803,4.78,7.87
11361,2014,TE,4.76,2.7,1.7,19,30.5,901,4.36,6.98
11362,2014,DT,5.29,3.01,1.89,19,33,808,4.68,7.74
11363,2014,RB,4.57,2.68,1.59,22,35.5,911,4.52,6.97
11364,2014,OT,5.34,3.08,1.86,22,29,807,4.56,7.42
11365,2014,RB,4.7,2.72,1.59,19,32.5,907,4.38,7.08
11366,2014,OG,5.25,3.06,1.87,26,27,803,4.82,7.95
11367,2014,WR,4.47,2.58,1.57,9,33,910,4.6,7.37
11368,2014,WR,4.71,2.74,1.59,11,,,4.42,6.68
11369,2014,DT,,,,36,,,,
11370,2014,DE,5.03,2.88,1.66,14,21.5,909,4.7,7.47
11371,2014,TE,4.84,2.87,1.72,19,33.5,1000,4.58,7.7
11372,2014,RB,4.67,2.65,1.6,24,29,810,4.61,7.5
11373,2014,DE,4.72,2.71,1.64,22,35.5,1009,4.33,7.2
11374,2014,OG,5.64,3.26,1.94,24,26,800,4.73,7.69
11375,2014,FB,4.5,2.67,1.58,21,35,911,4.37,7.03
11376,2014,LB,4.79,2.8,1.7,19,34.5,907,4.35,7.2
11377,2014,RB,4.6,2.61,1.54,22,39,1005,4.11,6.7
11378,2014,CB,4.51,2.65,1.63,12,39,1009,4.18,7.29
11379,2014,QB,4.99,2.86,1.74,,32.5,902,4.33,7.16
11380,2014,CB,,,,22,36,1102,4.31,7.07
11381,2014,LB,4.98,2.87,1.76,26,31,905,4.53,6.87
11382,2014,QB,5,2.88,1.72,,28,804,4.25,7.07
11383,2014,DT,5.03,2.96,1.78,27,23.5,806,4.7,7.6
11384,2014,WR,4.61,2.73,1.62,13,32.5,911,4.39,7.33
11385,2014,DT,5.21,3.02,1.8,31,27.5,802,4.82,8.02
11386,2014,CB,4.44,2.61,1.53,9,39,1000,4.19,6.81
11387,2014,CB,4.5,2.59,1.58,11,36,909,4.37,6.94
11388,2014,DE,4.82,2.83,1.68,23,33.5,909,4.5,7.4
11389,2014,QB,4.78,2.76,1.68,,31,909,4.28,7.36
11390,2014,FS,4.7,2.69,1.58,24,36.5,1007,4.3,7.09
11391,2014,CB,4.46,2.6,1.56,,,,,
11392,2014,DT,5.1,3,1.84,20,29.5,900,4.33,7.23
11393,2014,DE,4.97,2.86,1.72,31,34,905,4.73,7.53
11394,2014,OG,5.79,3.23,1.98,19,21.5,708,4.82,7.94
11395,2014,OT,5.03,3,1.76,27,29,811,4.77,7.53
11396,2014,WR,4.48,2.65,1.6,8,33,1001,4.32,6.68
11397,2014,OT,4.94,2.83,1.77,25,32,900,4.81,7.61
11398,2014,LB,4.51,2.61,1.56,28,39,1008,4.02,6.92
11399,2014,LB,4.7,2.74,1.63,30,36,1000,4.35,7.12
11400,2014,DE,4.65,2.73,1.64,23,40,1008,4.18,7.08
11401,2014,OC,5.4,3.14,1.92,18,28,804,4.98,8.08
11402,2014,DT,5.03,2.94,1.78,28,29,904,4.76,7.83
11403,2014,FB,4.89,2.82,1.67,23,25,806,4.55,7.25
11404,2014,SS,4.56,2.62,1.56,15,34,909,4.36,7.14
11405,2014,DT,,,,23,26,805,4.66,7.97
11406,2014,WR,4.71,2.75,1.65,12,31.5,808,4.31,7.59
11407,2014,DT,4.94,2.8,1.64,27,29,900,4.49,7.19
11408,2014,DE,4.92,2.86,1.71,22,31,906,4.45,6.83
11409,2014,QB,4.7,2.68,1.65,19,32,907,4.4,7.26
11410,2014,DE,5.02,2.91,1.78,28,32.5,906,4.55,7.58
11411,2014,WR,4.63,2.7,1.63,20,33,1001,4.46,7.31
11412,2014,CB,4.53,2.55,1.53,8,36,1006,4.23,6.85
11413,2014,FB,5,2.94,1.84,25,27.5,803,4.58,7.38
11414,2014,CB,4.49,2.61,1.59,12,38.5,1008,4.19,6.9
11415,2014,WR,4.52,2.61,1.59,22,33,1000,4.25,7.23
11416,2014,OG,5.22,3,1.81,30,24.5,800,4.82,8.15
11417,2014,LB,4.71,2.72,1.62,21,32.5,904,4.2,7.22
11418,2014,RB,4.51,2.64,1.6,15,41.5,1102,4.36,6.81
11419,2014,RB,4.46,2.61,1.57,23,35.5,1004,4.3,7.08
11420,2014,CB,4.55,2.68,1.59,14,37.5,1004,4.4,7.26
11421,2014,LB,4.64,2.72,1.64,22,35,1003,4.35,7.24
11422,2014,DE,4.58,2.64,1.58,17,36.5,1003,4.44,7.29
11423,2014,OT,,,,,,,,
11424,2014,CB,4.63,2.7,1.62,15,36,1001,4.27,6.98
11425,2014,DE,5,2.89,1.67,39,31,904,4.64,7.4
11426,2014,WR,4.46,2.65,1.59,8,32,907,4.35,7.19
11427,2014,DT,4.94,2.85,1.69,28,29.5,806,4.66,7.28
11428,2014,DT,5.22,3,1.71,33,28.5,904,4.72,7.75
11429,2014,SS,4.52,2.57,1.53,24,36,1004,4.07,6.77
11430,2014,QB,4.61,2.7,1.63,,35.5,910,4.18,7.05
11431,2014,FS,4.39,2.59,1.51,18,38,1005,4.47,7.18
11432,2014,RB,4.58,2.68,1.6,18,33,910,4.22,6.88
11433,2014,CB,4.47,2.65,1.53,11,36.5,909,4.32,7.11
11434,2014,CB,4.61,2.71,1.61,6,35.5,1000,4.32,7.28
11435,2014,DT,5.42,3.13,1.89,24,25.5,801,4.94,8.29
11436,2014,OC,5.25,3.1,1.85,26,27,803,4.75,7.53
11437,2014,RB,5.02,,,23,26.5,805,4.53,7.46
11438,2014,CB,4.62,2.75,1.62,13,33.5,910,4.27,7.2
11439,2014,TE,4.85,2.83,1.66,24,35,907,4.6,7.38
11440,2014,WR,4.6,2.7,1.63,20,36,1004,4.25,7.07
11441,2014,OC,5.22,3.07,1.81,23,,,4.93,
11442,2014,CB,4.61,2.65,1.56,8,37.5,1000,4.08,6.84
11443,2014,DE,4.68,2.72,1.64,23,35,1001,4.47,7.48
11444,2014,LB,4.66,2.78,1.77,18,33,1005,4.34,7.42
11445,2014,CB,4.57,2.65,1.59,15,35,909,4.27,7.18
11446,2014,RB,4.67,2.69,1.65,14,32,907,4.41,7.06
11447,2014,FS,4.48,2.59,1.52,14,33,1001,4.25,6.93
11448,2014,WR,4.52,2.65,1.59,11,38,1007,4.01,6.96
11449,2014,FS,4.49,2.61,1.54,15,35.5,910,4.19,7.26
11450,2014,LB,4.51,2.58,1.58,24,37.5,908,4.32,7.06
11451,2014,LB,4.53,2.67,1.64,21,34.5,909,4.46,7.33
11452,2014,WR,4.42,2.59,1.57,16,39,1004,4.15,7.18
11453,2014,DE,4.81,2.78,1.67,18,31,810,4.47,7.62
11454,2014,OC,5.36,3.01,1.8,24,32,810,,
11455,2014,OT,5.37,3.11,1.88,36,26.5,807,4.86,8.13
11456,2014,OT,5.48,3.14,1.9,32,27.5,805,4.88,7.77
11457,2014,WR,4.5,2.62,1.58,15,36.5,910,4.2,7.08
11458,2014,OC,5.34,3.1,1.85,23,26,807,4.46,7.6
11459,2014,OT,4.97,2.88,1.72,22,33.5,905,4.63,7.45
11460,2014,OC,5.47,3.13,1.91,29,24.5,706,5.09,8.25
11461,2014,SS,4.54,2.66,1.56,,38,1003,4.51,7.05
11462,2014,FB,5.09,2.96,1.83,30,27,800,4.58,7.76
11463,2014,LB,4.78,2.78,1.65,30,31,904,4.3,7.22
11464,2014,LB,4.91,2.84,1.71,16,31.5,906,4.6,7.53
11465,2014,DT,5.11,2.93,1.79,32,29,809,4.76,7.51
11466,2014,WR,4.46,2.62,1.56,20,39,1002,4.01,6.77
11467,2014,DE,4.78,2.77,1.65,24,32.5,905,4.69,7.72
11468,2014,TE,4.74,2.81,1.72,14,,907,4.34,7.21
11469,2014,DE,4.91,2.85,1.74,17,25.5,906,4.7,7.8
11470,2014,OT,5.01,2.93,1.73,,24,709,4.57,7.62
11471,2014,WR,4.5,2.6,1.57,10,32.5,909,4.39,7.11
11472,2014,WR,4.53,2.66,1.6,12,37,,4.26,7.08
11473,2014,OC,5.04,2.9,1.69,26,28,902,4.53,7.46
11474,2014,TE,4.81,2.73,1.62,26,34,908,4.5,6.97
11475,2014,DT,5.23,3.03,1.82,23,28.5,806,4.84,7.94
11476,2014,OT,5.12,3.05,1.83,14,27,807,4.88,7.47
11477,2014,CB,4.52,2.6,1.58,13,39,1100,4.13,6.5
11478,2014,LB,4.6,2.7,1.59,26,35.5,906,,
11479,2014,OT,5.35,3.19,1.98,,21.5,810,4.95,7.93
11480,2014,SS,4.49,2.56,1.55,15,39,1011,4.26,6.97
11481,2014,CB,4.43,2.6,1.51,11,30.5,1008,4.37,7.22
11482,2014,SS,4.71,2.74,1.63,15,35.5,909,4.22,7.08
11483,2014,LB,4.46,2.56,1.54,18,38,1006,4.4,7.13
11484,2014,K,,,,,,,,
11485,2014,TE,4.98,2.87,1.76,,29,811,,
11486,2014,CB,4.48,2.66,1.59,16,33,1000,4.4,7.12
11487,2014,TE,4.76,2.81,1.68,15,35,909,4.72,7.4
11488,2014,FS,,,,,,,,
11489,2014,DE,4.72,2.74,1.64,18,31.5,906,4.42,7.25
11490,2014,FB,4.82,2.81,1.69,43,33,900,4.34,6.91
11491,2014,WR,4.69,2.65,1.65,13,37.5,1001,4.34,7
11492,2014,WR,4.43,2.58,1.57,7,38.5,1002,3.94,6.69
11493,2014,RB,4.46,2.59,1.59,15,37.5,1004,4.29,6.9
11494,2014,CB,4.71,2.69,1.7,,31,901,4.28,7.28
11495,2014,OT,5.34,3.03,1.88,29,30.5,806,4.78,7.93
11496,2014,FS,4.52,2.69,1.56,7,32,1002,4.25,6.8
11497,2014,RB,4.88,2.81,1.67,15,31.5,904,4.24,7.56
11498,2014,OC,5.32,3.02,1.84,17,26,805,4.63,7.46
11499,2014,P,,,,,,,,
11500,2014,FB,4.7,2.66,1.63,19,31.5,903,4.46,7.33
11501,2014,FB,4.84,2.79,1.62,20,31.5,908,4.47,7.31
11502,2014,WR,4.4,2.58,1.56,,38,1004,4.23,7.09
11503,2014,CB,4.38,2.57,1.49,11,36.5,1002,4.04,6.62
11504,2014,OT,5.25,3,1.88,26,33.5,806,4.81,7.53
11505,2014,CB,4.59,2.67,1.59,11,35,1101,4.3,6.86
11506,2014,OG,5.4,3.11,1.9,32,23.5,,4.82,7.91
11507,2014,FS,4.59,2.71,1.59,8,35,1005,4.51,7.38
11508,2014,LB,4.86,2.85,1.72,23,33,908,4.26,6.98
11509,2014,LB,4.71,2.72,1.63,26,38.5,1002,4.31,7.29
11510,2014,WR,4.45,2.6,1.57,19,,,,
11511,2014,OG,4.82,,,28,27.5,803,4.62,7.56
11512,2014,RB,4.57,2.7,1.63,,38,911,4.34,7.19
11513,2014,DE,4.93,2.75,1.62,20,34.5,908,4.41,7.14
11514,2014,LB,4.6,2.64,1.66,23,38.5,1000,4.36,7.21
11515,2014,CB,4.51,2.62,1.51,20,37.5,1003,4,6.72
11516,2014,WR,4.49,2.53,1.53,12,39,1007,4.03,6.8
11517,2014,DT,5.02,2.93,1.75,32,35.5,906,4.5,7.87
11518,2014,FB,4.75,2.7,1.62,17,32.5,910,4.26,7.11
11519,2014,CB,,,,14,34.5,1004,,
11520,2014,WR,4.37,2.46,1.48,10,40,1001,4.17,6.89
