PLAYERID,DRAFTYEAR,POSITION,40,20,10,BENCH,VERTICAL,BROAD,SHUTTLE,CONE
245,1987,CB,4.42,2.58,1.54,13,32,910,4.6,
246,1987,LB,,,,,,,,
247,1987,LB,4.85,2.76,1.63,17,28,904,4.41,
248,1987,P,,,,,,,,
249,1987,QB,5.13,2.95,1.78,2,26.5,803,4.49,
250,1987,OG,5.28,3.02,1.79,27,25.5,803,4.55,
251,1987,CB,4.53,2.63,1.58,12,34.5,910,4.22,
252,1987,SS,,,,,,,,
253,1987,CB,4.43,2.54,1.57,18,33.5,911,4.3,
254,1987,FS,4.64,2.65,1.59,6,,,,
255,1987,CB,,,,,,,,
256,1987,WR,4.53,2.6,1.55,10,31,908,4.25,
257,1987,LB,4.71,2.73,1.63,19,29.5,902,4.35,
258,1987,WR,4.75,2.73,1.59,,31.5,908,4.34,
259,1987,DT,,,,,,,,
260,1987,WR,,,,,,,,
261,1987,OG,5.11,2.97,1.79,,26,709,4.95,
262,1987,LB,,,,,,,,
263,1987,OG,5.39,,,,24,709,4.62,
264,1987,OC,,,,,,,,
265,1987,RB,4.53,2.63,1.57,11,30,908,4.22,
266,1987,CB,4.67,2.65,1.6,8,29,807,4.21,
267,1987,OG,5.27,2.97,1.71,17,23,804,4.54,
268,1987,LB,,,,,,,,
269,1987,OT,5.28,3.02,1.78,21,24.5,803,4.94,
270,1987,OG,5.28,3.12,1.82,24,25,706,5.17,
271,1987,DE,,,,,,,,
272,1987,LB,4.85,2.82,1.7,22,28.5,809,4.47,
273,1987,WR,,,,,,,,
274,1987,OC,,,,,,,,
275,1987,DE,4.76,2.88,1.67,,29,807,4.91,
276,1987,RB,,,,,,,,
277,1987,QB,4.58,2.64,1.6,7,32.5,902,4.11,
278,1987,RB,,,,,,,,
279,1987,FB,4.79,2.76,1.62,28,29.5,805,4.46,
280,1987,LB,4.66,2.69,1.57,18,34,1002,4.02,
281,1987,WR,4.41,2.57,1.54,,32,908,,
282,1987,CB,4.48,2.55,1.53,16,30.5,910,4.17,
283,1987,SS,,,,,,,,
284,1987,TE,4.86,2.77,1.68,,28,900,4.45,
285,1987,DT,4.98,2.89,1.75,18,,,,
286,1987,WR,4.58,2.62,1.56,4,28.5,906,4.58,
287,1987,RB,4.68,2.68,1.67,18,29.5,904,4.39,
288,1987,TE,4.85,2.86,1.73,14,24,900,4.47,
289,1987,DE,4.99,2.86,1.7,16,30.5,906,4.68,
290,1987,CB,4.33,2.51,1.51,10,36,1005,3.98,
291,1987,FB,4.61,2.69,1.58,12,34,911,4.25,
292,1987,DE,5.18,3,1.83,13,21.5,707,4.59,
293,1987,CB,4.49,2.6,1.58,9,32,1008,4.15,
294,1987,DT,5.12,2.93,1.74,13,24.5,807,4.54,
295,1987,LB,,,,,,,,
296,1987,CB,4.49,2.65,1.59,8,34,907,4.06,
297,1987,TE,4.71,2.72,1.61,20,28.5,903,4.14,
298,1987,DE,4.99,2.86,1.73,20,24,906,4.68,
299,1987,WR,4.59,2.72,1.6,8,31.5,908,4.29,
300,1987,LB,,,,,,,,
301,1987,LB,4.8,2.69,1.63,20,30.5,908,,
302,1987,WR,4.52,2.61,1.54,4,32,906,4.26,
303,1987,P,,,,,,,,
304,1987,QB,,,,,,,,
305,1987,LB,,,,,,,,
306,1987,DT,,,,,,,,
307,1987,TE,4.57,2.49,1.55,19,31,908,4.2,
308,1987,LB,,,,,,,,
309,1987,DT,,,,,,,,
310,1987,WR,4.47,2.55,1.53,,33.5,908,4.16,
311,1987,LB,,,,,,,,
312,1987,DE,,,,,,,,
313,1987,LB,,,,,,,,
314,1987,QB,5.14,2.94,1.8,10,23.5,710,4.53,
315,1987,DE,,,,23,,,,
316,1987,FS,,,,,,,,
317,1987,DE,5.12,2.95,1.73,12,28,904,4.52,
318,1987,CB,4.6,2.63,1.64,11,31.5,910,4.4,
319,1987,FS,4.6,2.66,1.56,19,30.5,810,,
320,1987,RB,4.58,2.65,1.57,18,27,807,4.21,
321,1987,WR,4.55,2.56,1.59,7,33.5,907,4.52,
322,1987,DT,,,,,,,,
323,1987,OG,,,,,,,,
324,1987,WR,4.6,2.61,1.58,,31,908,4.41,
325,1987,CB,4.55,2.69,1.64,7,28.5,903,4.1,
326,1987,DE,4.86,2.76,1.69,18,28.5,900,4.49,
327,1987,RB,4.83,2.7,1.61,14,28.5,906,4.05,
