Rank,WSID,Running Backs (Team),Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
91,,Rod SmithR. Smith NYG,11,68,126,91.8,8.8,133.0,+42.0
92,,Mike WeberM. Weber DAL,8,61,128,91.6,13.4,86.0,-6.0
93,,Ameer AbdullahA. Abdullah MIN,12,82,131,95.4,11.4,250.0,+157.0
94,,Zach ZennerZ. Zenner DET,5,71,135,98.4,10.1,122.0,+28.0
95,,Bilal PowellB. Powell NYJ,4,66,130,93.1,13.6,95.0,0.0
96,,Myles GaskinM. Gaskin MIA,5,46,112,90.1,11.3,93.0,-3.0
Tier 9,
97,,Trenton CannonT. Cannon NYJ,4,70,129,96.9,10.9,135.0,+38.0
98,,Jeff WilsonJ. Wilson SF,4,81,146,97.1,13.9,144.0,+46.0
99,,Trayveon WilliamsT. Williams CIN,9,44,119,92.8,11.1,80.0,-19.0
100,,Jay AjayiJ. Ajayi FA,,36,135,86.0,17.0,71.0,-29.0
101,,Bruce AndersonB. Anderson TB,7,48,114,81.0,16.0,83.0,-18.0
102,,Marcus MurphyM. Murphy BUF,6,77,144,103.8,12.9,187.0,+85.0
103,,Bryce LoveB. Love WAS,10,57,142,93.5,17.9,76.0,-27.0
104,,Mark WaltonM. Walton MIA,5,82,132,101.3,11.5,257.0,+153.0
105,,Qadree OllisonQ. Ollison ATL,9,55,115,88.7,14.0,89.0,-16.0
106,,Rodney AndersonR. Anderson CIN,9,69,113,95.0,12.3,81.0,-25.0
107,,Jordan ScarlettJ. Scarlett CAR,7,57,132,95.7,16.8,100.0,-7.0
108,,Javorius AllenJ. Allen NO,9,62,148,97.9,17.6,124.0,+16.0
109,,Travis HomerT. Homer SEA,11,62,131,97.8,16.4,131.0,+22.0
110,,Andre EllingtonA. Ellington TB,7,64,112,92.5,13.1,254.0,+144.0
111,,Boston ScottB. Scott PHI,10,75,139,107.5,14.3,258.0,+147.0
112,,Darrel WilliamsD. Williams KC,12,76,124,105.3,12.5,252.0,+140.0
113,,LeGarrette BlountL. Blount FA,,87,137,103.9,15.0,113.0,0.0
114,,Mike BooneM. Boone MIN,12,80,126,101.9,11.3,253.0,+139.0
115,,Darren SprolesD. Sproles PHI,10,67,135,99.6,17.6,91.0,-24.0
116,,Brian HillB. Hill ATL,9,70,145,104.2,18.9,127.0,+11.0
Tier 10,
117,,Kyle JuszczykK. Juszczyk SF,4,71,120,99.9,11.3,98.0,-19.0
118,,Karan HigdonK. Higdon HOU,10,51,136,108.9,11.8,136.0,+18.0
119,,Chris Warren IIIC. Warren FA,,82,122,102.5,13.7,245.0,+126.0
120,,Alex CollinsA. Collins FA,,64,162,103.4,24.2,103.0,-17.0
121,,Elijah HolyfieldE. Holyfield CAR,7,41,136,105.7,21.9,90.0,-31.0
122,,DeAndre WashingtonD. Washington OAK,6,94,133,111.2,11.0,181.0,+59.0
123,,Cordarrelle PattersonC. Patterson CHI,6,67,85,79.4,3.8,,
124,,J.D. McKissicJ. McKissic SEA,11,67,140,108.6,18.9,256.0,+132.0
125,,Raheem MostertR. Mostert SF,4,91,128,109.6,13.2,202.0,+77.0
126,,Alex BarnesA. Barnes TEN,11,80,137,109.9,17.3,126.0,0.0
127,,Devine OzigboD. Ozigbo NO,9,94,139,111.8,13.8,96.0,-31.0
128,,T.J. LoganT. Logan ARI,12,86,133,116.2,11.1,237.0,+109.0
129,,Corey GrantC. Grant GB,11,91,141,117.7,16.2,209.0,+80.0
130,,Tavon AustinT. Austin DAL,8,76,150,103.2,23.7,,
131,,Chris IvoryC. Ivory FA,,91,136,110.4,17.3,141.0,+10.0
132,,Benny CunninghamB. Cunningham JAC,10,76,145,115.9,14.9,255.0,+123.0
133,,Darius JacksonD. Jackson DAL,8,74,115,99.8,15.5,108.0,-25.0
134,,Dwayne WashingtonD. Washington NO,9,102,126,115.9,8.1,153.0,+19.0
135,,James DevelinJ. Develin NE,10,90,113,104.6,7.8,102.0,-33.0
136,,C.J. ProsiseC. Prosise SEA,11,87,148,118.4,15.9,215.0,+79.0
137,,Samaje PerineS. Perine WAS,10,79,138,113.8,17.3,242.0,+105.0
138,,Elijhaa PennyE. Penny NYG,11,91,142,116.2,17.9,241.0,+103.0
139,,Jeremy HillJ. Hill FA,,95,140,116.3,18.1,129.0,-10.0
140,,Jacquizz RodgersJ. Rodgers FA,,73,141,117.8,18.6,234.0,+94.0
141,,Alfred MorrisA. Morris FA,,69,151,124.0,19.5,230.0,+89.0
142,,Kenneth FarrowK. Farrow MIA,5,90,139,113.2,16.6,224.0,+82.0
143,,Dontrell HilliardD. Hilliard CLE,7,99,140,121.7,14.0,117.0,-26.0
144,,Ty JohnsonT. Johnson DET,5,85,136,107.0,20.1,111.0,-33.0
145,,Roc ThomasR. Thomas FA,,115,133,122.2,5.8,189.0,+44.0
