Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
146,,Carlos HydeC. Hyde KC,RB47,12,83,264,152.0,32.8
147,,Sam DarnoldS. Darnold NYJ,QB22,4,117,172,156.0,14.6
148,,D'Onta ForemanD. Foreman HOU,RB48,10,110,193,156.9,22.2
149,,Robert FosterR. Foster BUF,WR59,6,58,260,158.3,35.2
150,,Isaiah CrowellI. Crowell OAK,RB49,6,83,244,160.7,26.2
151,,Gus EdwardsG. Edwards BAL,RB50,8,104,273,162.2,50.3
152,,Chris ThompsonC. Thompson WAS,RB51,10,83,244,163.0,17.9
153,,Matthew StaffordM. Stafford DET,QB23,5,131,202,164.3,9.8
154,,Jacksonville (JAC)JAC DST,DST2,10,145,165,153.5,7.2
155,,Dallas GoedertD. Goedert PHI,TE20,10,108,209,164.4,18.1
156,,Devante ParkerD. Parker MIA,WR60,5,79,208,164.6,19.8
157,,Mike DavisM. Davis CHI,RB52,6,76,237,166.2,46.4
158,,Tyrell WilliamsT. Williams OAK,WR61,6,107,262,166.8,41.7
159,,Derek CarrD. Carr OAK,QB24,6,125,202,168.7,12.6
160,,Baltimore (BAL)BAL DST,DST3,8,140,213,159.0,19.9
161,,Antonio CallawayA. Callaway CLE,WR62,7,124,222,170.5,24.0
162,,Los Angeles (LAR)LAR DST,DST4,9,145,176,160.0,8.0
163,,Quincy EnunwaQ. Enunwa NYJ,WR63,4,122,226,170.9,26.2
164,,Minnesota (MIN)MIN DST,DST5,12,152,166,160.5,3.9
165,,Jamaal WilliamsJ. Williams GB,RB53,11,120,258,173.1,27.5
166,,C.J. AndersonC. Anderson DET,RB54,5,115,199,173.2,21.3
167,,Donte MoncriefD. Moncrief PIT,WR64,7,73,222,173.4,37.3
168,,Adrian PetersonA. Peterson WAS,RB55,10,100,229,173.7,27.4
169,,Mike GesickiM. Gesicki MIA,TE21,5,121,246,174.0,21.5
170,,Houston (HOU)HOU DST,DST6,10,152,211,169.3,12.1
171,,Tre'Quan SmithT. Smith NO,WR65,9,109,211,179.6,19.8
172,,Taylor GabrielT. Gabriel CHI,WR66,6,137,226,181.6,19.3
173,,Greg ZuerleinG. Zuerlein LAR,K1,9,164,179,172.2,2.9
174,,Andy DaltonA. Dalton CIN,QB25,9,162,229,182.8,13.7
175,,Mohamed SanuM. Sanu ATL,WR67,9,107,244,183.2,21.2
Tier 10,
176,,Gerald EverettG. Everett LAR,TE22,9,127,264,176.3,27.7
177,,Peyton BarberP. Barber TB,RB56,7,132,295,186.6,25.7
178,,Stephen GostkowskiS. Gostkowski NE,K2,10,171,215,187.1,9.6
179,,Marcus MariotaM. Mariota TEN,QB26,11,165,241,187.1,20.6
180,,John RossJ. Ross CIN,WR68,9,128,206,178.3,25.0
181,,Kalen BallageK. Ballage MIA,RB57,5,132,258,188.2,25.2
182,,Giovani BernardG. Bernard CIN,RB58,9,112,265,188.6,25.9
183,,Marqise LeeM. Lee JAC,WR69,10,113,240,189.0,28.1
184,,Cleveland (CLE)CLE DST,DST7,7,152,218,179.4,16.6
185,,Los Angeles (LAC)LAC DST,DST8,12,145,342,182.5,49.8
186,,Zay JonesZ. Jones BUF,WR70,6,111,248,193.1,25.1
187,,Justin TuckerJ. Tucker BAL,K3,8,171,204,184.1,9.7
188,,Albert WilsonA. Wilson MIA,WR71,5,107,247,194.8,32.1
189,,Mark AndrewsM. Andrews BAL,TE23,8,127,281,197.7,38.1
190,,Harrison ButkerH. Butker KC,K4,12,175,204,188.8,7.0
191,,Josh AdamsJ. Adams PHI,RB59,10,120,283,188.9,43.2
192,,New Orleans (NO)NO DST,DST9,9,176,213,194.9,11.7
193,,Cameron BrateC. Brate TB,TE24,7,166,272,204.9,27.8
194,,David MooreD. Moore SEA,WR72,11,129,240,205.6,12.4
195,,Hayden HurstH. Hurst BAL,TE25,8,139,267,208.4,31.0
196,,Tyler EifertT. Eifert CIN,TE26,9,136,267,210.2,39.5
197,,Josh JacobsJ. Jacobs OAK,RB60,6,19,332,141.5,101.2
198,,Denver (DEN)DEN DST,DST10,10,198,240,204.4,8.9
199,,Wil LutzW. Lutz NO,K5,9,179,218,206.5,11.2
200,,Jaylen SamuelsJ. Samuels PIT,RB61,7,89,293,188.2,45.2
201,,Nick FolesN. Foles JAC,QB27,10,158,328,219.1,40.9
202,,Buffalo (BUF)BUF DST,DST11,6,196,248,211.3,10.0
203,,Taywan TaylorT. Taylor TEN,WR73,11,193,296,220.5,21.4
204,,Jay AjayiJ. Ajayi FA,RB62,,100,256,156.2,46.6
205,,Randall CobbR. Cobb DAL,WR74,8,151,285,215.4,30.8
206,,New England (NE)NE DST,DST12,10,166,238,215.6,12.7
207,,Dallas (DAL)DAL DST,DST13,8,203,250,215.6,10.6
208,,Frank GoreF. Gore BUF,RB63,6,181,356,223.9,41.4
209,,Josh ReynoldsJ. Reynolds LAR,WR75,9,200,265,219.3,14.0
210,,Ka'imi FairbairnK. Fairbairn FA,K6,,183,285,211.2,20.2
211,,Nelson AgholorN. Agholor PHI,WR76,10,196,269,220.0,20.9
212,,Mason CrosbyM. Crosby GB,K7,11,207,238,220.5,6.3
Tier 11,
213,,Seattle (SEA)SEA DST,DST14,11,176,248,222.1,11.0
214,,Jalen RichardJ. Richard OAK,RB64,6,93,274,205.8,37.4
215,,Matt PraterM. Prater DET,K8,5,210,249,224.0,8.3
216,,Josh DoctsonJ. Doctson WAS,WR77,10,175,268,224.7,18.8
217,,Tennessee (TEN)TEN DST,DST15,11,211,266,226.7,16.4
218,,Jake ElliottJ. Elliott PHI,K9,10,213,235,227.1,5.4
219,,Malcolm BrownM. Brown LAR,RB65,9,177,277,227.7,28.8
220,,Brett MaherB. Maher DAL,K10,8,209,251,228.2,12.1
221,,Ian ThomasI. Thomas CAR,TE27,7,173,270,228.6,28.9
222,,Pittsburgh (PIT)PIT DST,DST16,7,200,279,236.1,19.7
223,,Equanimeous St. BrownE. St. GB,WR78,11,174,283,225.7,22.1
224,,Philadelphia (PHI)PHI DST,DST17,10,219,266,233.8,11.9
225,,Chase EdmondsC. Edmonds ARI,RB66,12,144,282,218.0,26.9
226,,Kyler MurrayK. Murray ARI,QB28,12,70,305,155.7,55.5
227,,Theo RiddickT. Riddick DET,RB67,5,168,285,235.4,31.2
228,,Josh RosenJ. Rosen MIA,QB29,5,172,338,242.7,35.5
229,,Robbie GouldR. Gould SF,K11,4,213,299,236.0,17.9
230,,Ricky Seals-JonesR. Seals-Jones ARI,TE28,12,133,267,238.8,19.9
231,,Ted GinnT. Ginn NO,WR79,9,138,374,239.3,38.4
232,,Michael BadgleyM. Badgley LAC,K12,12,218,281,240.5,14.6
233,,Kansas City (KC)KC DST,DST18,12,166,313,247.5,27.4
234,,D.J. CharkD. Chark JAC,WR80,10,151,270,233.7,16.9
235,,Paul RichardsonP. Richardson WAS,WR81,10,201,270,234.5,18.3
236,,Indianapolis (IND)IND DST,DST19,6,200,279,248.6,18.9
237,,T.J. YeldonT. Yeldon BUF,RB68,6,156,282,195.8,28.2
238,,Eli ManningE. Manning NYG,QB30,11,192,333,243.2,28.8
239,,Joe FlaccoJ. Flacco DEN,QB31,10,172,315,251.1,34.5
240,,Willie SneadW. Snead BAL,WR82,8,196,284,239.1,22.3
