Rank,WSID,Overall (Team),Pos,Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
107,,Jordan HowardJ. Howard PHI,RB37,10,66,195,112.8,24.6,95.0,-12.0
108,,Dak PrescottD. Prescott DAL,QB15,8,77,160,116.5,16.9,126.0,+18.0
109,,Lamar JacksonL. Jackson BAL,QB16,8,54,178,117.3,21.4,131.0,+22.0
110,,Delanie WalkerD. Walker TEN,TE12,11,69,282,118.7,22.9,133.0,+23.0
111,,Dion LewisD. Lewis TEN,RB38,11,71,217,118.7,22.7,155.0,+44.0
112,,DeSean JacksonD. Jackson PHI,WR46,10,65,226,119.4,24.8,119.0,+7.0
113,,Philip RiversP. Rivers LAC,QB17,12,82,175,120.9,17.5,120.0,+7.0
114,,LeSean McCoyL. McCoy BUF,RB39,6,76,193,121.0,28.8,100.0,-14.0
115,,Nyheim HinesN. Hines IND,RB40,6,80,272,122.6,21.5,124.0,+9.0
116,,Trey BurtonT. Burton CHI,TE13,6,72,184,123.3,16.0,127.0,+11.0
117,,Marquez Valdes-ScantlingM. Valdes-Scantling GB,WR47,11,60,223,123.3,30.8,110.0,-7.0
118,,Darrell HendersonD. Henderson LAR,RB41,9,61,378,123.4,39.7,85.0,-33.0
119,,Emmanuel SandersE. Sanders DEN,WR48,10,48,220,124.0,26.9,109.0,-10.0
120,,Matt BreidaM. Breida SF,RB42,4,76,259,127.3,27.6,135.0,+15.0
121,,Ronald Jones IIR. Jones TB,RB43,7,60,238,128.8,29.7,104.0,-17.0
122,,Jack DoyleJ. Doyle IND,TE14,6,69,246,129.3,23.0,177.0,+55.0
123,,Donte MoncriefD. Moncrief PIT,WR49,7,49,222,131.2,36.6,130.0,+7.0
124,,Mitch TrubiskyM. Trubisky CHI,QB18,6,68,181,131.2,19.9,149.0,+25.0
Tier 9,
125,,Devin FunchessD. Funchess IND,WR50,6,41,212,131.4,32.4,147.0,+22.0
126,,Michael GallupM. Gallup DAL,WR51,8,88,226,128.2,26.1,159.0,+33.0
127,,Jordan ReedJ. Reed WAS,TE15,10,69,179,131.8,19.2,143.0,+16.0
128,,Duke JohnsonD. Johnson HOU,RB44,10,76,227,132.7,31.4,174.0,+46.0
129,,Tyrell WilliamsT. Williams OAK,WR52,6,41,240,137.6,37.1,141.0,+12.0
130,,Jamison CrowderJ. Crowder NYJ,WR53,4,90,223,139.5,27.3,176.0,+46.0
131,,DaeSean HamiltonD. Hamilton DEN,WR54,10,73,242,136.7,31.3,206.0,+75.0
132,,Kirk CousinsK. Cousins MIN,QB19,12,77,171,129.9,21.5,150.0,+18.0
133,,Peyton BarberP. Barber TB,RB45,7,76,257,137.8,30.4,115.0,-18.0
134,,Kyle RudolphK. Rudolph MIN,TE16,12,94,202,142.3,19.3,139.0,+5.0
135,,John BrownJ. Brown BUF,WR55,6,58,244,139.4,28.6,172.0,+37.0
136,,Kalen BallageK. Ballage MIA,RB46,5,71,217,140.5,27.3,121.0,-15.0
137,,N'Keal HarryN. Harry NE,WR56,10,45,270,140.8,43.1,108.0,-29.0
138,,Kenny StillsK. Stills MIA,WR57,5,67,214,144.2,29.3,195.0,+57.0
139,,Mark AndrewsM. Andrews BAL,TE17,8,72,299,144.4,37.7,152.0,+13.0
140,,Josh AllenJ. Allen BUF,QB20,6,88,253,141.9,25.0,178.0,+38.0
141,,Jimmy GrahamJ. Graham GB,TE18,11,63,267,146.9,31.6,154.0,+13.0
142,,Adrian PetersonA. Peterson WAS,RB47,10,60,256,144.7,28.6,137.0,-5.0
143,,Greg OlsenG. Olsen CAR,TE19,7,70,345,148.4,35.5,142.0,-1.0
144,,Tom BradyT. Brady NE,QB21,10,91,350,148.5,28.4,123.0,-21.0
145,,Jimmy GaroppoloJ. Garoppolo SF,QB22,4,95,360,150.2,29.9,158.0,+13.0
146,,Carlos HydeC. Hyde KC,RB48,12,76,312,153.8,40.0,129.0,-17.0
147,,James WashingtonJ. Washington PIT,WR58,7,74,268,154.6,43.9,117.0,-30.0
148,,Ito SmithI. Smith ATL,RB49,9,98,259,153.7,30.5,145.0,-3.0
149,,Jaylen SamuelsJ. Samuels PIT,RB50,7,83,316,157.8,43.2,116.0,-33.0
150,,Chris ThompsonC. Thompson WAS,RB51,10,96,227,157.6,25.0,197.0,+47.0
151,,Chris Herndon IVC. Herndon NYJ,TE20,4,92,255,161.5,29.9,179.0,+28.0
152,,D.K. MetcalfD. Metcalf SEA,WR59,11,39,296,159.6,41.7,113.0,-39.0
153,,Mohamed SanuM. Sanu ATL,WR60,9,75,266,163.5,37.3,187.0,+34.0
Tier 10,
154,,Damien HarrisD. Harris NE,RB52,10,83,317,170.1,48.9,128.0,-26.0
155,,Albert WilsonA. Wilson MIA,WR61,5,64,265,171.2,34.6,220.0,+65.0
156,,Matthew StaffordM. Stafford DET,QB23,5,105,202,166.3,16.3,190.0,+34.0
157,,Jerick McKinnonJ. McKinnon SF,RB53,4,80,337,157.4,53.3,138.0,-19.0
158,,Sam DarnoldS. Darnold NYJ,QB24,4,103,241,165.9,17.8,184.0,+26.0
159,,T.J. HockensonT. Hockenson DET,TE21,5,78,356,166.8,45.7,153.0,-6.0
160,,Chicago (CHI)CHI DST,DST1,6,131,246,143.4,17.5,86.0,-74.0
161,,Dallas GoedertD. Goedert PHI,TE22,10,121,267,170.9,29.5,191.0,+30.0
162,,Parris CampbellP. Campbell IND,WR62,6,64,302,171.1,40.7,151.0,-11.0
163,,Kareem HuntK. Hunt CLE,RB54,7,98,283,174.4,32.6,99.0,-64.0
164,,Devin SingletaryD. Singletary BUF,RB55,6,59,324,171.5,43.6,146.0,-18.0
165,,Derek CarrD. Carr OAK,QB25,6,113,275,173.6,23.3,186.0,+21.0
166,,Giovani BernardG. Bernard CIN,RB56,9,123,288,183.2,30.7,221.0,+55.0
