Rank,WSID,Wide Receivers (Team),Bye,Best,Worst,Avg,Std Dev,ADP,vs. ADP,Notes
&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp,&nbsp
126,,Kelvin BenjaminK. Benjamin FA,,90,188,125.2,25.6,159.0,+33.0
127,,Rishard MatthewsR. Matthews FA,,96,192,131.1,24.2,,
128,,Pierre GarconP. Garcon FA,,85,189,124.7,29.1,,
129,,Jakeem GrantJ. Grant MIA,5,93,132,116.1,12.2,145.0,+16.0
130,,Dontrelle InmanD. Inman NE,10,65,176,120.2,23.6,107.0,-23.0
131,,Dez BryantD. Bryant FA,,80,187,121.8,33.7,127.0,-4.0
Tier 11,
132,,Corey ColemanC. Coleman NYG,11,84,162,135.9,15.9,126.0,-6.0
133,,Ryan SwitzerR. Switzer PIT,7,43,150,126.5,17.1,154.0,+21.0
134,,Hunter RenfrowH. Renfrow OAK,6,60,190,110.8,38.2,119.0,-15.0
135,,Jarius WrightJ. Wright CAR,7,88,139,121.0,13.5,129.0,-6.0
136,,Kelvin HarmonK. Harmon WAS,10,81,140,115.3,16.7,90.0,-46.0
137,,Riley RidleyR. Ridley CHI,6,92,192,124.8,26.1,91.0,-46.0
138,,Gary JenningsG. Jennings SEA,11,78,174,131.8,22.6,120.0,-18.0
139,,KeeSean JohnsonK. Johnson ARI,12,96,185,132.6,23.8,115.0,-24.0
140,,Josh GordonJ. Gordon FA,,74,142,115.7,18.0,78.0,-62.0
141,,Torrey SmithT. Smith CAR,7,99,139,127.8,10.5,,
142,,Cody LatimerC. Latimer NYG,11,93,166,120.7,22.4,,
143,,Chad WilliamsC. Williams ARI,12,98,148,130.6,11.3,,
144,,J.J. NelsonJ. Nelson OAK,6,108,156,131.6,13.5,,
145,,Brice ButlerB. Butler MIA,5,113,160,136.4,13.6,,
146,,Isaiah McKenzieI. McKenzie BUF,6,102,163,130.9,20.4,138.0,-8.0
147,,Chad BeebeC. Beebe MIN,12,99,169,124.5,22.8,,
148,,Justin HardyJ. Hardy ATL,9,111,154,134.9,12.1,,
149,,Tavon AustinT. Austin DAL,8,112,161,129.8,16.6,,
150,,Bruce EllingtonB. Ellington FA,,99,174,130.0,24.0,,
151,,Tajae SharpeT. Sharpe TEN,11,111,177,146.1,15.4,135.0,-16.0
152,,Chris MooreC. Moore BAL,8,84,143,131.0,9.0,117.0,-35.0
153,,Jordan LasleyJ. Lasley BAL,8,95,183,142.4,28.6,,
154,,Zach PascalZ. Pascal IND,6,104,154,137.3,11.0,140.0,-14.0
155,,Mack HollinsM. Hollins PHI,10,129,169,153.8,13.1,,
156,,Alex EricksonA. Erickson CIN,9,113,162,141.0,15.0,,
157,,Brandon PowellB. Powell DET,5,117,125,121.5,3.2,,
158,,Eli RogersE. Rogers PIT,7,114,171,148.2,15.6,158.0,0.0
159,,Noah BrownN. Brown DAL,8,143,169,155.6,9.6,,
160,,Josh BellamyJ. Bellamy NYJ,4,135,179,150.8,15.1,,
161,,Austin CarrA. Carr NO,9,112,167,151.5,10.4,,
162,,Cody CoreC. Core CIN,9,116,191,145.0,27.0,,
163,,DeAndre CarterD. Carter HOU,10,131,158,145.4,10.8,,
164,,Maurice HarrisM. Harris NE,10,114,162,134.0,18.6,,
165,,Trent SherfieldT. Sherfield ARI,12,135,180,153.7,14.1,,
Tier 12,
166,,Richie JamesR. James SF,4,134,178,147.6,15.6,,
167,,Damion RatleyD. Ratley CLE,7,134,175,149.0,14.9,,
168,,Bennie FowlerB. Fowler NYG,11,139,184,157.0,16.6,,
